,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,94,121,7.0,0,0.9453125,1.0,0.9718875502008032
1,KYPROLIS,adverse reactions,exact-meddra,104,94,100,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,94,21,,56,,0.2727272727272727,
3,KYPROLIS,adverse reactions,discontinuous,3,94,2,,88,,0.022222222222222223,
4,KYPROLIS,warnings and precautions,all,65,21,45,20.0,0,0.6923076923076923,1.0,0.8181818181818181
5,KYPROLIS,warnings and precautions,exact-meddra,44,21,33,,1,,0.9705882352941176,
6,KYPROLIS,warnings and precautions,non-meddra,22,21,12,,9,,0.5714285714285714,
7,KYPROLIS,warnings and precautions,discontinuous,1,21,1,,20,,0.047619047619047616,
8,KYPROLIS,warnings and precautions,hypothetical,3,21,0,,21,,0.0,
9,KYPROLIS,all-concat,all,158,16,65,93.0,0,0.41139240506329117,1.0,0.5829596412556054
10,KYPROLIS,all-concat,exact-meddra,119,16,48,,0,,1.0,
11,KYPROLIS,all-concat,non-meddra,40,16,17,,6,,0.7391304347826086,
12,KYPROLIS,all-concat,discontinuous,4,16,2,,14,,0.125,
13,KYPROLIS,all-concat,hypothetical,3,16,0,,16,,0.0,
14,MULTAQ,adverse reactions,all,39,27,36,3.0,0,0.9230769230769231,1.0,0.9600000000000001
15,MULTAQ,adverse reactions,exact-meddra,26,27,26,,1,,0.9629629629629629,
16,MULTAQ,adverse reactions,non-meddra,13,27,10,,18,,0.35714285714285715,
17,MULTAQ,adverse reactions,discontinuous,5,27,5,,25,,0.16666666666666666,
18,MULTAQ,warnings and precautions,all,25,12,17,8.0,0,0.68,1.0,0.8095238095238095
19,MULTAQ,warnings and precautions,exact-meddra,13,12,11,,0,,1.0,
20,MULTAQ,warnings and precautions,non-meddra,12,12,6,,6,,0.5,
21,MULTAQ,warnings and precautions,discontinuous,3,12,2,,8,,0.2,
22,MULTAQ,warnings and precautions,hypothetical,8,12,7,,4,,0.6363636363636364,
23,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
24,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
25,MULTAQ,boxed warnings,hypothetical,3,3,3,,0,,1.0,
26,MULTAQ,all-concat,all,57,30,47,10.0,0,0.8245614035087719,1.0,0.9038461538461539
27,MULTAQ,all-concat,exact-meddra,32,30,31,,1,,0.96875,
28,MULTAQ,all-concat,non-meddra,25,30,16,,19,,0.45714285714285713,
29,MULTAQ,all-concat,discontinuous,8,30,7,,27,,0.20588235294117646,
30,MULTAQ,all-concat,hypothetical,9,30,6,,24,,0.2,
31,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
32,JUBLIA,adverse reactions,exact-meddra,3,4,3,,1,,0.75,
33,JUBLIA,adverse reactions,non-meddra,2,4,2,,3,,0.4,
34,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
35,JUBLIA,all-concat,exact-meddra,3,4,3,,1,,0.75,
36,JUBLIA,all-concat,non-meddra,2,4,2,,3,,0.4,
37,TEFLARO,adverse reactions,all,30,31,30,0.0,1,1.0,0.967741935483871,0.9836065573770492
38,TEFLARO,adverse reactions,exact-meddra,26,31,26,,3,,0.896551724137931,
