,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2998.0,389.0,2339.0,0.8851490994980808,0.5617388045718569,0.6872994039431453,0.8516874519933586,0.6233926706402186,0.6957458208062615
1,adverse reactions,discontinuous,34.0,,354.0,,0.08762886597938144,,,0.10865366659484307,
2,adverse reactions,exact-meddra,2648.0,,1515.0,,0.6360797501801585,,,0.7017694437022041,
3,adverse reactions,negated,11.0,,21.0,,0.34375,,,0.36507936507936506,
4,adverse reactions,non-meddra,350.0,,825.0,,0.2978723404255319,,,0.3888466407302303,
5,all-concat,all,2201.0,424.0,4837.0,0.8384761904761905,0.31273088945723215,0.45555210597123047,0.8104525825725402,0.4216649556222063,0.506720535716893
6,all-concat,discontinuous,28.0,,714.0,,0.03773584905660377,,,0.057127664329953136,
7,all-concat,exact-meddra,1905.0,,2922.0,,0.39465506525792415,,,0.5187293687678857,
8,all-concat,negated,20.0,,39.0,,0.3389830508474576,,,0.37373737373737376,
9,all-concat,non-meddra,296.0,,1916.0,,0.13381555153707053,,,0.22370531003362418,
10,boxed warnings,all,144.0,134.0,118.0,0.5179856115107914,0.549618320610687,0.5333333333333334,0.5445930058933155,0.6687903850249052,0.5712390015084193
11,boxed warnings,discontinuous,3.0,,30.0,,0.09090909090909091,,,0.14935064935064934,
12,boxed warnings,exact-meddra,103.0,,33.0,,0.7573529411764706,,,0.7975643202298551,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,41.0,,85.0,,0.3253968253968254,,,0.44466089466089465,
15,warnings and precautions,all,873.0,650.0,1579.0,0.5732107682206172,0.3560358890701468,0.43924528301886795,0.5490615712244636,0.42094742658517,0.43832064665165493
16,warnings and precautions,discontinuous,42.0,,308.0,,0.12,,,0.15523448773448772,
17,warnings and precautions,exact-meddra,592.0,,621.0,,0.4880461665292663,,,0.6046139814324059,
18,warnings and precautions,negated,11.0,,16.0,,0.4074074074074074,,,0.4264705882352941,
19,warnings and precautions,non-meddra,281.0,,959.0,,0.22661290322580646,,,0.2697930363856323,
0,all,all,4015.0,1173.0,4036.0,0.7739013107170393,0.49869581418457337,0.5779121783311579,0.676239012542768,0.5474940455269914,0.5704746647914999
