,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3461.0,167.0,1876.0,0.9539691289966924,0.6484916619823871,0.7721137757947574,0.9341336396300441,0.7294136651400464,0.7859037628491743
1,adverse reactions,discontinuous,143.0,,245.0,,0.36855670103092786,,,0.3913865872689402,
2,adverse reactions,exact-meddra,2878.0,,1285.0,,0.691328368964689,,,0.7779229038122275,
3,adverse reactions,negated,19.0,,13.0,,0.59375,,,0.634920634920635,
4,adverse reactions,non-meddra,583.0,,592.0,,0.49617021276595746,,,0.5764377809684502,
5,all-concat,all,3323.0,202.0,3715.0,0.9426950354609929,0.47215117931230466,0.6291773170500805,0.9282722442970662,0.5333879431463836,0.6350238202286542
6,all-concat,discontinuous,214.0,,528.0,,0.2884097035040431,,,0.2736735892458542,
7,all-concat,exact-meddra,2600.0,,2227.0,,0.5386368344727575,,,0.6087467664352334,
8,all-concat,negated,33.0,,26.0,,0.559322033898305,,,0.5757575757575758,
9,all-concat,non-meddra,723.0,,1489.0,,0.3268535262206148,,,0.3722404284416138,
10,boxed warnings,all,191.0,109.0,71.0,0.6366666666666667,0.7290076335877863,0.6797153024911032,0.6745343826144706,0.8532523411973876,0.6896182213151555
11,boxed warnings,discontinuous,17.0,,16.0,,0.5151515151515151,,,0.4193722943722944,
12,boxed warnings,exact-meddra,108.0,,28.0,,0.7941176470588235,,,0.9030647337947848,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,83.0,,43.0,,0.6587301587301587,,,0.7227633477633478,
15,warnings and precautions,all,1264.0,495.0,1188.0,0.7185901080159182,0.5154975530179445,0.6003324625979578,0.690085030619947,0.6040791121922598,0.6092132974295278
16,warnings and precautions,discontinuous,143.0,,207.0,,0.4085714285714286,,,0.4579493522350665,
17,warnings and precautions,exact-meddra,724.0,,489.0,,0.5968672712283595,,,0.7257498485322853,
18,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.6764705882352942,
19,warnings and precautions,non-meddra,540.0,,700.0,,0.43548387096774194,,,0.5128924196036653,
0,all,all,4916.0,771.0,3135.0,0.8644276419905047,0.6106073779654702,0.69775816136477,0.7907460552467742,0.6978391653698924,0.6985343406561866
