,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,83,122,6.0,0,0.953125,1.0,0.976
1,KYPROLIS,adverse reactions,exact-meddra,104,83,101,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,83,21,,35,,0.375,
3,KYPROLIS,adverse reactions,discontinuous,3,83,2,,75,,0.025974025974025976,
4,KYPROLIS,warnings and precautions,all,65,23,53,12.0,0,0.8153846153846154,1.0,0.8983050847457628
5,KYPROLIS,warnings and precautions,exact-meddra,44,23,38,,1,,0.9743589743589743,
6,KYPROLIS,warnings and precautions,non-meddra,22,23,15,,7,,0.6818181818181818,
7,KYPROLIS,warnings and precautions,discontinuous,1,23,1,,21,,0.045454545454545456,
8,KYPROLIS,all-concat,all,158,16,86,72.0,0,0.5443037974683544,1.0,0.7049180327868853
9,KYPROLIS,all-concat,exact-meddra,119,16,67,,0,,1.0,
10,KYPROLIS,all-concat,non-meddra,40,16,19,,4,,0.8260869565217391,
11,KYPROLIS,all-concat,discontinuous,4,16,2,,14,,0.125,
12,MULTAQ,adverse reactions,all,39,12,20,19.0,1,0.5128205128205128,0.9523809523809523,0.6666666666666666
13,MULTAQ,adverse reactions,exact-meddra,26,12,15,,2,,0.8823529411764706,
14,MULTAQ,adverse reactions,non-meddra,13,12,5,,8,,0.38461538461538464,
15,MULTAQ,adverse reactions,discontinuous,5,12,1,,11,,0.08333333333333333,
16,MULTAQ,warnings and precautions,all,25,21,21,4.0,0,0.84,1.0,0.9130434782608696
17,MULTAQ,warnings and precautions,exact-meddra,13,21,13,,1,,0.9285714285714286,
18,MULTAQ,warnings and precautions,non-meddra,12,21,8,,7,,0.5333333333333333,
19,MULTAQ,warnings and precautions,discontinuous,3,21,3,,15,,0.16666666666666666,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,24,48,9.0,0,0.8421052631578947,1.0,0.9142857142857143
23,MULTAQ,all-concat,exact-meddra,32,24,30,,1,,0.967741935483871,
24,MULTAQ,all-concat,non-meddra,25,24,18,,9,,0.6666666666666666,
25,MULTAQ,all-concat,discontinuous,8,24,7,,17,,0.2916666666666667,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,1,,0.75,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,3,,0.4,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,1,,0.75,
31,JUBLIA,all-concat,non-meddra,2,4,2,,3,,0.4,
32,TEFLARO,adverse reactions,all,30,25,28,2.0,0,0.9333333333333333,1.0,0.9655172413793104
33,TEFLARO,adverse reactions,exact-meddra,26,25,25,,1,,0.9615384615384616,
34,TEFLARO,adverse reactions,non-meddra,4,25,3,,15,,0.16666666666666666,
35,TEFLARO,warnings and precautions,all,12,9,12,0.0,0,1.0,1.0,1.0
36,TEFLARO,warnings and precautions,exact-meddra,2,9,2,,7,,0.2222222222222222,
37,TEFLARO,warnings and precautions,non-meddra,10,9,10,,0,,1.0,
38,TEFLARO,warnings and precautions,negated,1,9,1,,8,,0.1111111111111111,
39,TEFLARO,warnings and precautions,discontinuous,2,9,2,,6,,0.25,
40,TEFLARO,all-concat,all,38,7,26,12.0,0,0.6842105263157895,1.0,0.8125000000000001
41,TEFLARO,all-concat,exact-meddra,27,7,18,,1,,0.9473684210526315,
42,TEFLARO,all-concat,non-meddra,11,7,8,,1,,0.8888888888888888,
43,TEFLARO,all-concat,negated,1,7,0,,7,,0.0,
44,TEFLARO,all-concat,discontinuous,2,7,2,,6,,0.25,
45,DATSCAN,adverse reactions,all,11,7,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,7,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,7,3,,5,,0.375,
48,DATSCAN,warnings and precautions,all,3,5,3,0.0,1,1.0,0.75,0.8571428571428571
49,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,3,,0.25,
50,DATSCAN,warnings and precautions,non-meddra,2,5,2,,1,,0.6666666666666666,
51,DATSCAN,all-concat,all,12,13,12,0.0,2,1.0,0.8571428571428571,0.923076923076923
52,DATSCAN,all-concat,exact-meddra,9,13,9,,2,,0.8181818181818182,
53,DATSCAN,all-concat,non-meddra,3,13,3,,7,,0.3,
54,TIVICAY,adverse reactions,all,45,34,45,0.0,0,1.0,1.0,1.0
55,TIVICAY,adverse reactions,exact-meddra,30,34,30,,7,,0.8108108108108109,
56,TIVICAY,adverse reactions,non-meddra,15,34,15,,20,,0.42857142857142855,
57,TIVICAY,adverse reactions,discontinuous,8,34,8,,22,,0.26666666666666666,
58,TIVICAY,warnings and precautions,all,29,35,25,4.0,8,0.8620689655172413,0.7575757575757576,0.8064516129032258
59,TIVICAY,warnings and precautions,exact-meddra,10,35,9,,17,,0.34615384615384615,
60,TIVICAY,warnings and precautions,non-meddra,19,35,16,,14,,0.5333333333333333,
61,TIVICAY,warnings and precautions,discontinuous,2,35,2,,31,,0.06060606060606061,
62,TIVICAY,all-concat,all,71,5,14,57.0,0,0.19718309859154928,1.0,0.32941176470588235
63,TIVICAY,all-concat,exact-meddra,37,5,5,,1,,0.8333333333333334,
64,TIVICAY,all-concat,non-meddra,34,5,9,,2,,0.8181818181818182,
65,TIVICAY,all-concat,discontinuous,10,5,2,,4,,0.3333333333333333,
66,TAFINLAR,adverse reactions,all,112,70,106,6.0,0,0.9464285714285714,1.0,0.9724770642201834
67,TAFINLAR,adverse reactions,exact-meddra,94,70,91,,7,,0.9285714285714286,
68,TAFINLAR,adverse reactions,non-meddra,18,70,15,,51,,0.22727272727272727,
69,TAFINLAR,warnings and precautions,all,63,15,41,22.0,0,0.6507936507936508,1.0,0.7884615384615385
70,TAFINLAR,warnings and precautions,exact-meddra,28,15,20,,1,,0.9523809523809523,
71,TAFINLAR,warnings and precautions,non-meddra,35,15,21,,2,,0.9130434782608695,
72,TAFINLAR,warnings and precautions,discontinuous,2,15,2,,11,,0.15384615384615385,
73,TAFINLAR,all-concat,all,158,11,61,97.0,0,0.3860759493670886,1.0,0.5570776255707762
74,TAFINLAR,all-concat,exact-meddra,110,11,44,,1,,0.9777777777777777,
75,TAFINLAR,all-concat,non-meddra,48,11,17,,2,,0.8947368421052632,
76,TAFINLAR,all-concat,discontinuous,2,11,2,,8,,0.2,
77,HORIZANT,adverse reactions,all,27,24,26,1.0,0,0.9629629629629629,1.0,0.9811320754716981
