,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4691,718.0,45,0.8672582732482899,0.9904983108108109,0.9247905372104485,0.8983710363951262,0.9809726031770881,0.9269105778692386
1,adverse reactions,discontinuous,314,,2190,,0.1253993610223642,,,0.15036699627179753,
2,adverse reactions,exact-meddra,3663,,249,,0.9363496932515337,,,0.9178791768706872,
3,adverse reactions,negated,64,,1144,,0.052980132450331126,,,0.08591943298295365,
4,adverse reactions,non-meddra,1028,,2067,,0.3321486268174475,,,0.3422461133861778,
5,all-concat,all,5100,2282.0,45,0.6908696830127337,0.9912536443148688,0.8142412389239243,0.7493654516555074,0.9836197739682835,0.8288378453130317
6,all-concat,discontinuous,476,,1730,,0.2157751586582049,,,0.23826937313780513,
7,all-concat,exact-meddra,3493,,192,,0.9478968792401629,,,0.9311394990270162,
8,all-concat,negated,101,,1133,,0.08184764991896272,,,0.11956278822627797,
9,all-concat,non-meddra,1607,,1316,,0.5497776257269928,,,0.5481223094534877,
10,boxed warnings,all,253,21.0,51,0.9233576642335767,0.8322368421052632,0.8754325259515571,0.9543650793650793,0.8398940058479533,0.870345227814268
11,boxed warnings,discontinuous,34,,53,,0.39080459770114945,,,0.4153846153846154,
12,boxed warnings,exact-meddra,128,,73,,0.6368159203980099,,,0.6136371142652631,
13,boxed warnings,negated,5,,44,,0.10204081632653061,,,0.36041666666666666,
14,boxed warnings,non-meddra,125,,126,,0.49800796812749004,,,0.5646436423913204,
15,warnings and precautions,all,2079,648.0,183,0.7623762376237624,0.9190981432360743,0.8334335538184005,0.8122369439672104,0.870580427021792,0.8210722637035763
16,warnings and precautions,discontinuous,256,,892,,0.2229965156794425,,,0.2548428747786161,
17,warnings and precautions,exact-meddra,993,,419,,0.703257790368272,,,0.6384369407843978,
18,warnings and precautions,negated,40,,322,,0.11049723756906077,,,0.14436695803379848,
19,warnings and precautions,non-meddra,1086,,516,,0.6779026217228464,,,0.6512818902158791,
0,all,all,7023,1387.0,279,0.835077288941736,0.9617912900575185,0.8799088497215625,0.8719844544771194,0.9128835023907709,0.8745277631373558
