,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,83,93,0.0,35,1.0,0.7265625,0.8416289592760181
1,KYPROLIS,adverse reactions,exact-meddra,104,83,81,,23,,0.7788461538461539,
2,KYPROLIS,adverse reactions,non-meddra,25,83,12,,13,,0.48,
3,KYPROLIS,adverse reactions,discontinuous,3,83,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,23,32,0.0,33,1.0,0.49230769230769234,0.6597938144329897
5,KYPROLIS,warnings and precautions,exact-meddra,44,23,24,,20,,0.5454545454545454,
6,KYPROLIS,warnings and precautions,non-meddra,22,23,8,,14,,0.36363636363636365,
7,KYPROLIS,warnings and precautions,discontinuous,1,23,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,16,26,0.0,132,1.0,0.16455696202531644,0.2826086956521739
9,KYPROLIS,all-concat,exact-meddra,119,16,20,,99,,0.16806722689075632,
10,KYPROLIS,all-concat,non-meddra,40,16,6,,34,,0.15,
11,KYPROLIS,all-concat,discontinuous,4,16,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,12,14,1.0,25,0.9333333333333333,0.358974358974359,0.5185185185185185
13,MULTAQ,adverse reactions,exact-meddra,26,12,11,,15,,0.4230769230769231,
14,MULTAQ,adverse reactions,non-meddra,13,12,3,,10,,0.23076923076923078,
15,MULTAQ,adverse reactions,discontinuous,5,12,1,,4,,0.2,
16,MULTAQ,warnings and precautions,all,25,21,19,3.0,6,0.8636363636363636,0.76,0.8085106382978724
17,MULTAQ,warnings and precautions,exact-meddra,13,21,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,21,7,,5,,0.5833333333333334,
19,MULTAQ,warnings and precautions,discontinuous,3,21,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,24,38,0.0,19,1.0,0.6666666666666666,0.8
23,MULTAQ,all-concat,exact-meddra,32,24,22,,10,,0.6875,
24,MULTAQ,all-concat,non-meddra,25,24,16,,9,,0.64,
25,MULTAQ,all-concat,discontinuous,8,24,8,,0,,1.0,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,25,24,1.0,6,0.96,0.8,0.8727272727272728
33,TEFLARO,adverse reactions,exact-meddra,26,25,21,,5,,0.8076923076923077,
34,TEFLARO,adverse reactions,non-meddra,4,25,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,9,9,1.0,3,0.9,0.75,0.8181818181818182
36,TEFLARO,warnings and precautions,exact-meddra,2,9,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,7,,3,,0.7,
