,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,83,79,4.0,49,0.9518072289156626,0.6171875,0.7488151658767773
1,KYPROLIS,adverse reactions,exact-meddra,104,83,70,,34,,0.6730769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,83,9,,16,,0.36,
3,KYPROLIS,adverse reactions,discontinuous,3,83,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,23,23,0.0,42,1.0,0.35384615384615387,0.5227272727272727
5,KYPROLIS,warnings and precautions,exact-meddra,44,23,19,,25,,0.4318181818181818,
6,KYPROLIS,warnings and precautions,non-meddra,22,23,4,,18,,0.18181818181818182,
7,KYPROLIS,warnings and precautions,discontinuous,1,23,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,16,16,0.0,142,1.0,0.10126582278481013,0.18390804597701146
9,KYPROLIS,all-concat,exact-meddra,119,16,13,,106,,0.1092436974789916,
10,KYPROLIS,all-concat,non-meddra,40,16,3,,37,,0.075,
11,KYPROLIS,all-concat,discontinuous,4,16,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,12,11,1.0,28,0.9166666666666666,0.28205128205128205,0.4313725490196078
13,MULTAQ,adverse reactions,exact-meddra,26,12,10,,16,,0.38461538461538464,
14,MULTAQ,adverse reactions,non-meddra,13,12,1,,12,,0.07692307692307693,
15,MULTAQ,adverse reactions,discontinuous,5,12,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,21,14,7.0,11,0.6666666666666666,0.56,0.6086956521739131
17,MULTAQ,warnings and precautions,exact-meddra,13,21,11,,2,,0.8461538461538461,
18,MULTAQ,warnings and precautions,non-meddra,12,21,3,,9,,0.25,
19,MULTAQ,warnings and precautions,discontinuous,3,21,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,24,23,1.0,34,0.9583333333333334,0.40350877192982454,0.5679012345679012
23,MULTAQ,all-concat,exact-meddra,32,24,21,,11,,0.65625,
24,MULTAQ,all-concat,non-meddra,25,24,2,,23,,0.08,
25,MULTAQ,all-concat,discontinuous,8,24,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,25,23,2.0,7,0.92,0.7666666666666667,0.8363636363636363
33,TEFLARO,adverse reactions,exact-meddra,26,25,21,,5,,0.8076923076923077,
34,TEFLARO,adverse reactions,non-meddra,4,25,2,,2,,0.5,
35,TEFLARO,warnings and precautions,all,12,9,4,5.0,8,0.4444444444444444,0.3333333333333333,0.380952380952381
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,4,,6,,0.4,
38,TEFLARO,warnings and precautions,negated,1,9,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,9,2,,0,,1.0,
40,TEFLARO,all-concat,all,38,7,6,1.0,32,0.8571428571428571,0.15789473684210525,0.26666666666666666
41,TEFLARO,all-concat,exact-meddra,27,7,3,,24,,0.1111111111111111,
42,TEFLARO,all-concat,non-meddra,11,7,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,7,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,7,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,7,7,0.0,4,1.0,0.6363636363636364,0.7777777777777778
46,DATSCAN,adverse reactions,exact-meddra,8,7,6,,2,,0.75,
47,DATSCAN,adverse reactions,non-meddra,3,7,1,,2,,0.3333333333333333,
48,DATSCAN,warnings and precautions,all,3,5,3,2.0,0,0.6,1.0,0.7499999999999999
49,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,5,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,13,10,3.0,2,0.7692307692307693,0.8333333333333334,0.8
52,DATSCAN,all-concat,exact-meddra,9,13,8,,1,,0.8888888888888888,
53,DATSCAN,all-concat,non-meddra,3,13,2,,1,,0.6666666666666666,
54,TIVICAY,adverse reactions,all,45,34,27,7.0,18,0.7941176470588235,0.6,0.6835443037974683
55,TIVICAY,adverse reactions,exact-meddra,30,34,23,,7,,0.7666666666666667,
56,TIVICAY,adverse reactions,non-meddra,15,34,4,,11,,0.26666666666666666,
57,TIVICAY,adverse reactions,discontinuous,8,34,3,,5,,0.375,
58,TIVICAY,warnings and precautions,all,29,35,16,19.0,13,0.45714285714285713,0.5517241379310345,0.5
59,TIVICAY,warnings and precautions,exact-meddra,10,35,6,,4,,0.6,
60,TIVICAY,warnings and precautions,non-meddra,19,35,10,,9,,0.5263157894736842,
61,TIVICAY,warnings and precautions,discontinuous,2,35,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,5,3,2.0,68,0.6,0.04225352112676056,0.07894736842105261
63,TIVICAY,all-concat,exact-meddra,37,5,2,,35,,0.05405405405405406,
64,TIVICAY,all-concat,non-meddra,34,5,1,,33,,0.029411764705882353,
65,TIVICAY,all-concat,discontinuous,10,5,0,,10,,0.0,
66,TAFINLAR,adverse reactions,all,112,70,63,7.0,49,0.9,0.5625,0.6923076923076923
67,TAFINLAR,adverse reactions,exact-meddra,94,70,54,,40,,0.574468085106383,
68,TAFINLAR,adverse reactions,non-meddra,18,70,9,,9,,0.5,
69,TAFINLAR,warnings and precautions,all,63,15,10,5.0,53,0.6666666666666666,0.15873015873015872,0.2564102564102564
70,TAFINLAR,warnings and precautions,exact-meddra,28,15,7,,21,,0.25,
71,TAFINLAR,warnings and precautions,non-meddra,35,15,3,,32,,0.08571428571428572,
72,TAFINLAR,warnings and precautions,discontinuous,2,15,0,,2,,0.0,
73,TAFINLAR,all-concat,all,158,11,7,4.0,151,0.6363636363636364,0.04430379746835443,0.08284023668639053
74,TAFINLAR,all-concat,exact-meddra,110,11,5,,105,,0.045454545454545456,
75,TAFINLAR,all-concat,non-meddra,48,11,2,,46,,0.041666666666666664,
76,TAFINLAR,all-concat,discontinuous,2,11,0,,2,,0.0,
77,HORIZANT,adverse reactions,all,27,24,24,0.0,3,1.0,0.8888888888888888,0.9411764705882353
78,HORIZANT,adverse reactions,exact-meddra,26,24,23,,3,,0.8846153846153846,
79,HORIZANT,adverse reactions,non-meddra,1,24,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,12,9,3.0,31,0.75,0.225,0.3461538461538462
81,HORIZANT,warnings and precautions,exact-meddra,17,12,6,,11,,0.35294117647058826,
82,HORIZANT,warnings and precautions,non-meddra,23,12,3,,20,,0.13043478260869565,
83,HORIZANT,warnings and precautions,negated,2,12,0,,2,,0.0,
84,HORIZANT,warnings and precautions,discontinuous,12,12,1,,11,,0.08333333333333333,
85,HORIZANT,all-concat,all,62,26,24,2.0,38,0.9230769230769231,0.3870967741935484,0.5454545454545454
86,HORIZANT,all-concat,exact-meddra,38,26,23,,15,,0.6052631578947368,
87,HORIZANT,all-concat,non-meddra,24,26,1,,23,,0.041666666666666664,
88,HORIZANT,all-concat,negated,2,26,0,,2,,0.0,
89,HORIZANT,all-concat,discontinuous,12,26,0,,12,,0.0,
90,IMBRUVICA,adverse reactions,all,70,50,46,4.0,24,0.92,0.6571428571428571,0.7666666666666667
91,IMBRUVICA,adverse reactions,exact-meddra,55,50,42,,13,,0.7636363636363637,
92,IMBRUVICA,adverse reactions,non-meddra,15,50,4,,11,,0.26666666666666666,
