,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4641,768.0,51,0.8580144204104271,0.9891304347826086,0.918918918918919,0.8944480598473101,0.978480595203278,0.9222378844815071
1,adverse reactions,discontinuous,313,,2102,,0.12960662525879918,,,0.15502600157184146,
2,adverse reactions,exact-meddra,3630,,253,,0.9348441926345609,,,0.9147892578418623,
3,adverse reactions,negated,65,,1157,,0.05319148936170213,,,0.086209331280125,
4,adverse reactions,non-meddra,1011,,2026,,0.3328943035890682,,,0.3454959619066993,
5,all-concat,all,5149,2233.0,51,0.6975074505554051,0.9901923076923077,0.8184708313463678,0.7568702812507017,0.98042079335709,0.8317616031304842
6,all-concat,discontinuous,490,,1729,,0.22082018927444794,,,0.2289764327449297,
7,all-concat,exact-meddra,3533,,197,,0.9471849865951742,,,0.9252957160730853,
8,all-concat,negated,100,,1123,,0.08176614881439084,,,0.12851286494573322,
9,all-concat,non-meddra,1616,,1332,,0.5481682496607869,,,0.5358227324537764,
10,boxed warnings,all,253,21.0,56,0.9233576642335767,0.8187702265372169,0.8679245283018868,0.9566207184628237,0.8193019943019944,0.8582817373123465
11,boxed warnings,discontinuous,34,,58,,0.3695652173913043,,,0.3870629370629371,
12,boxed warnings,exact-meddra,129,,77,,0.6262135922330098,,,0.5908155892728122,
13,boxed warnings,negated,5,,40,,0.1111111111111111,,,0.31547619047619047,
14,boxed warnings,non-meddra,124,,134,,0.4806201550387597,,,0.5599906725339252,
15,warnings and precautions,all,2089,638.0,177,0.766043270993766,0.9218887908208296,0.8367714800721009,0.8297635840379275,0.8716727677359658,0.8167803353863035
16,warnings and precautions,discontinuous,273,,887,,0.2353448275862069,,,0.253620750444163,
17,warnings and precautions,exact-meddra,986,,425,,0.6987951807228916,,,0.6331706586109788,
18,warnings and precautions,negated,41,,293,,0.12275449101796407,,,0.1578304941955837,
19,warnings and precautions,non-meddra,1103,,503,,0.686799501867995,,,0.6459276981522992,
0,all,all,6983,1427.0,284,0.830321046373365,0.9609192238888125,0.8770461468450035,0.8778724957535787,0.9089503151245574,0.8685950206905628
