,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3494.0,184.0,1843.0,0.9499728113104948,0.6546749109986884,0.7751525235718247,0.9380855649783003,0.7368632410068848,0.7950881342575612
1,adverse reactions,discontinuous,144.0,,244.0,,0.3711340206185567,,,0.39882248470483767,
2,adverse reactions,exact-meddra,2912.0,,1251.0,,0.6994955560893586,,,0.7872834498909271,
3,adverse reactions,negated,19.0,,13.0,,0.59375,,,0.634920634920635,
4,adverse reactions,non-meddra,582.0,,593.0,,0.49531914893617024,,,0.576388487335752,
5,all-concat,all,2948.0,188.0,4090.0,0.9400510204081632,0.41886899687411194,0.5795164143896206,0.9234528707225498,0.5192626655627575,0.61491592432795
6,all-concat,discontinuous,189.0,,553.0,,0.25471698113207547,,,0.2783427967746925,
7,all-concat,exact-meddra,2291.0,,2536.0,,0.47462191837580275,,,0.5823358850132837,
8,all-concat,negated,28.0,,31.0,,0.4745762711864407,,,0.5303030303030303,
9,all-concat,non-meddra,657.0,,1555.0,,0.29701627486437615,,,0.3760838601453892,
10,boxed warnings,all,201.0,86.0,61.0,0.7003484320557491,0.767175572519084,0.73224043715847,0.713937104347321,0.8590130035369974,0.7313362744838621
11,boxed warnings,discontinuous,20.0,,13.0,,0.6060606060606061,,,0.4756493506493506,
12,boxed warnings,exact-meddra,113.0,,23.0,,0.8308823529411765,,,0.9030647337947848,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,88.0,,38.0,,0.6984126984126984,,,0.7374819624819625,
15,warnings and precautions,all,1235.0,446.0,1217.0,0.734681737061273,0.5036704730831973,0.5976288410355673,0.6836838895875113,0.5952240978303492,0.5856474686487254
16,warnings and precautions,discontinuous,133.0,,217.0,,0.38,,,0.396906783692498,
17,warnings and precautions,exact-meddra,717.0,,496.0,,0.5910964550700742,,,0.7144394441852056,
18,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.6862745098039216,
19,warnings and precautions,non-meddra,518.0,,722.0,,0.41774193548387095,,,0.4961343364708177,
0,all,all,4930.0,716.0,3121.0,0.8731845554374779,0.612346292386039,0.6999221287519256,0.796002681952961,0.6983153346001912,0.698739340886978
