,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,84,81.0,3.0,47.0,0.9642857142857143,0.6328125,0.7641509433962264
1,KYPROLIS,adverse reactions,exact-meddra,104,84,75.0,,29.0,,0.7211538461538461,
2,KYPROLIS,adverse reactions,non-meddra,25,84,6.0,,19.0,,0.24,
3,KYPROLIS,adverse reactions,negated,0,84,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,84,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,23,23.0,0.0,42.0,1.0,0.35384615384615387,0.5227272727272727
6,KYPROLIS,warnings and precautions,exact-meddra,44,23,19.0,,25.0,,0.4318181818181818,
7,KYPROLIS,warnings and precautions,non-meddra,22,23,4.0,,18.0,,0.18181818181818182,
8,KYPROLIS,warnings and precautions,negated,0,23,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,23,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,16,16.0,0.0,142.0,1.0,0.10126582278481013,0.18390804597701146
16,KYPROLIS,all-concat,exact-meddra,119,16,13.0,,106.0,,0.1092436974789916,
17,KYPROLIS,all-concat,non-meddra,40,16,3.0,,37.0,,0.075,
18,KYPROLIS,all-concat,negated,0,16,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,16,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,27,27.0,0.0,12.0,1.0,0.6923076923076923,0.8181818181818181
21,MULTAQ,adverse reactions,exact-meddra,26,27,24.0,,2.0,,0.9230769230769231,
