,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,26,104,24.0,0,0.8125,1.0,0.896551724137931
1,KYPROLIS,adverse reactions,exact-meddra,104,26,83,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,26,21,,9,,0.7,
3,KYPROLIS,adverse reactions,discontinuous,3,26,2,,24,,0.07692307692307693,
4,KYPROLIS,warnings and precautions,all,65,64,65,0.0,6,1.0,0.9154929577464789,0.9558823529411764
5,KYPROLIS,warnings and precautions,exact-meddra,44,64,44,,12,,0.7857142857142857,
6,KYPROLIS,warnings and precautions,non-meddra,22,64,22,,29,,0.43137254901960786,
7,KYPROLIS,warnings and precautions,discontinuous,1,64,1,,62,,0.015873015873015872,
8,KYPROLIS,all-concat,all,158,86,148,10.0,0,0.9367088607594937,1.0,0.9673202614379084
9,KYPROLIS,all-concat,exact-meddra,119,86,116,,0,,1.0,
10,KYPROLIS,all-concat,non-meddra,40,86,32,,38,,0.45714285714285713,
11,KYPROLIS,all-concat,discontinuous,4,86,3,,76,,0.0379746835443038,
12,MULTAQ,adverse reactions,all,39,32,39,0.0,1,1.0,0.975,0.9873417721518987
13,MULTAQ,adverse reactions,exact-meddra,26,32,26,,3,,0.896551724137931,
14,MULTAQ,adverse reactions,non-meddra,13,32,13,,14,,0.48148148148148145,
15,MULTAQ,adverse reactions,discontinuous,5,32,5,,27,,0.15625,
16,MULTAQ,warnings and precautions,all,25,20,21,4.0,0,0.84,1.0,0.9130434782608696
17,MULTAQ,warnings and precautions,exact-meddra,13,20,13,,1,,0.9285714285714286,
18,MULTAQ,warnings and precautions,non-meddra,12,20,8,,6,,0.5714285714285714,
19,MULTAQ,warnings and precautions,discontinuous,3,20,3,,14,,0.17647058823529413,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,28,48,9.0,0,0.8421052631578947,1.0,0.9142857142857143
23,MULTAQ,all-concat,exact-meddra,32,28,30,,4,,0.8823529411764706,
24,MULTAQ,all-concat,non-meddra,25,28,18,,9,,0.6666666666666666,
25,MULTAQ,all-concat,discontinuous,8,28,7,,18,,0.28,
26,JUBLIA,adverse reactions,all,5,6,5,0.0,1,1.0,0.8333333333333334,0.9090909090909091
27,JUBLIA,adverse reactions,exact-meddra,3,6,3,,3,,0.5,
