,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,79,119,9.0,0,0.9296875,1.0,0.9635627530364372
1,KYPROLIS,adverse reactions,exact-meddra,104,79,98,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,79,21,,50,,0.29577464788732394,
3,KYPROLIS,adverse reactions,discontinuous,3,79,2,,73,,0.02666666666666667,
4,KYPROLIS,warnings and precautions,all,65,39,55,10.0,1,0.8461538461538461,0.9821428571428571,0.9090909090909091
5,KYPROLIS,warnings and precautions,exact-meddra,44,39,35,,8,,0.813953488372093,
6,KYPROLIS,warnings and precautions,non-meddra,22,39,21,,14,,0.6,
7,KYPROLIS,warnings and precautions,discontinuous,1,39,1,,38,,0.02564102564102564,
8,KYPROLIS,warnings and precautions,hypothetical,3,39,3,,36,,0.07692307692307693,
9,KYPROLIS,all-concat,all,158,82,140,18.0,0,0.8860759493670886,1.0,0.9395973154362416
10,KYPROLIS,all-concat,exact-meddra,119,82,110,,0,,1.0,
11,KYPROLIS,all-concat,non-meddra,40,82,30,,48,,0.38461538461538464,
12,KYPROLIS,all-concat,discontinuous,4,82,3,,75,,0.038461538461538464,
13,KYPROLIS,all-concat,hypothetical,3,82,0,,82,,0.0,
14,MULTAQ,adverse reactions,all,39,32,38,1.0,2,0.9743589743589743,0.95,0.9620253164556962
15,MULTAQ,adverse reactions,exact-meddra,26,32,26,,6,,0.8125,
16,MULTAQ,adverse reactions,non-meddra,13,32,12,,20,,0.375,
17,MULTAQ,adverse reactions,discontinuous,5,32,5,,30,,0.14285714285714285,
18,MULTAQ,warnings and precautions,all,25,13,18,7.0,0,0.72,1.0,0.8372093023255813
19,MULTAQ,warnings and precautions,exact-meddra,13,13,11,,1,,0.9166666666666666,
20,MULTAQ,warnings and precautions,non-meddra,12,13,7,,6,,0.5384615384615384,
21,MULTAQ,warnings and precautions,discontinuous,3,13,3,,8,,0.2727272727272727,
22,MULTAQ,warnings and precautions,hypothetical,8,13,7,,5,,0.5833333333333334,
23,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
24,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
25,MULTAQ,boxed warnings,hypothetical,3,3,3,,0,,1.0,
26,MULTAQ,all-concat,all,57,31,45,12.0,0,0.7894736842105263,1.0,0.8823529411764706
27,MULTAQ,all-concat,exact-meddra,32,31,28,,6,,0.8235294117647058,
28,MULTAQ,all-concat,non-meddra,25,31,17,,16,,0.5151515151515151,
29,MULTAQ,all-concat,discontinuous,8,31,7,,25,,0.21875,
30,MULTAQ,all-concat,hypothetical,9,31,6,,26,,0.1875,
31,JUBLIA,adverse reactions,all,5,5,5,0.0,1,1.0,0.8333333333333334,0.9090909090909091
32,JUBLIA,adverse reactions,exact-meddra,3,5,3,,2,,0.6,
33,JUBLIA,adverse reactions,non-meddra,2,5,2,,4,,0.3333333333333333,
34,JUBLIA,all-concat,all,5,5,5,0.0,1,1.0,0.8333333333333334,0.9090909090909091
35,JUBLIA,all-concat,exact-meddra,3,5,3,,2,,0.6,
36,JUBLIA,all-concat,non-meddra,2,5,2,,4,,0.3333333333333333,
37,TEFLARO,adverse reactions,all,30,31,30,0.0,1,1.0,0.967741935483871,0.9836065573770492
38,TEFLARO,adverse reactions,exact-meddra,26,31,26,,3,,0.896551724137931,
39,TEFLARO,adverse reactions,non-meddra,4,31,4,,24,,0.14285714285714285,
40,TEFLARO,warnings and precautions,all,12,8,11,1.0,0,0.9166666666666666,1.0,0.9565217391304348
41,TEFLARO,warnings and precautions,exact-meddra,2,8,1,,7,,0.125,
42,TEFLARO,warnings and precautions,non-meddra,10,8,10,,0,,1.0,
43,TEFLARO,warnings and precautions,negated,1,8,1,,7,,0.125,
44,TEFLARO,warnings and precautions,discontinuous,2,8,2,,6,,0.25,
45,TEFLARO,warnings and precautions,hypothetical,3,8,3,,4,,0.42857142857142855,
46,TEFLARO,all-concat,all,38,30,37,1.0,0,0.9736842105263158,1.0,0.9866666666666666
47,TEFLARO,all-concat,exact-meddra,27,30,27,,3,,0.9,
48,TEFLARO,all-concat,non-meddra,11,30,10,,22,,0.3125,
49,TEFLARO,all-concat,negated,1,30,1,,29,,0.03333333333333333,
50,TEFLARO,all-concat,discontinuous,2,30,2,,28,,0.06666666666666667,
51,TEFLARO,all-concat,hypothetical,3,30,3,,27,,0.1,
52,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
53,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
54,DATSCAN,adverse reactions,non-meddra,3,10,3,,5,,0.375,
55,DATSCAN,warnings and precautions,all,3,5,3,0.0,1,1.0,0.75,0.8571428571428571
56,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,4,,0.2,
57,DATSCAN,warnings and precautions,non-meddra,2,5,2,,2,,0.5,
58,DATSCAN,all-concat,all,12,12,12,0.0,1,1.0,0.9230769230769231,0.9600000000000001
59,DATSCAN,all-concat,exact-meddra,9,12,9,,1,,0.9,
60,DATSCAN,all-concat,non-meddra,3,12,3,,7,,0.3,
61,TIVICAY,adverse reactions,all,45,35,43,2.0,1,0.9555555555555556,0.9772727272727273,0.9662921348314608
62,TIVICAY,adverse reactions,exact-meddra,30,35,28,,7,,0.8,
63,TIVICAY,adverse reactions,non-meddra,15,35,15,,22,,0.40540540540540543,
64,TIVICAY,adverse reactions,discontinuous,8,35,8,,23,,0.25806451612903225,
65,TIVICAY,warnings and precautions,all,29,44,28,1.0,10,0.9655172413793104,0.7368421052631579,0.835820895522388
66,TIVICAY,warnings and precautions,exact-meddra,10,44,10,,23,,0.30303030303030304,
67,TIVICAY,warnings and precautions,non-meddra,19,44,18,,20,,0.47368421052631576,
68,TIVICAY,warnings and precautions,discontinuous,2,44,2,,40,,0.047619047619047616,
69,TIVICAY,warnings and precautions,hypothetical,18,44,17,,21,,0.4473684210526316,
70,TIVICAY,all-concat,all,71,23,38,33.0,2,0.5352112676056338,0.95,0.6846846846846846
71,TIVICAY,all-concat,exact-meddra,37,23,15,,9,,0.625,
72,TIVICAY,all-concat,non-meddra,34,23,23,,5,,0.8214285714285714,
73,TIVICAY,all-concat,discontinuous,10,23,5,,18,,0.21739130434782608,
74,TIVICAY,all-concat,hypothetical,18,23,13,,9,,0.5909090909090909,
75,TAFINLAR,adverse reactions,all,112,44,78,34.0,1,0.6964285714285714,0.9873417721518988,0.8167539267015707
76,TAFINLAR,adverse reactions,exact-meddra,94,44,72,,5,,0.935064935064935,
77,TAFINLAR,adverse reactions,non-meddra,18,44,6,,37,,0.13953488372093023,
78,TAFINLAR,warnings and precautions,all,63,16,37,26.0,0,0.5873015873015873,1.0,0.74
79,TAFINLAR,warnings and precautions,exact-meddra,28,16,16,,5,,0.7619047619047619,
80,TAFINLAR,warnings and precautions,non-meddra,35,16,21,,6,,0.7777777777777778,
81,TAFINLAR,warnings and precautions,discontinuous,2,16,2,,11,,0.15384615384615385,
82,TAFINLAR,warnings and precautions,hypothetical,25,16,15,,5,,0.75,
83,TAFINLAR,all-concat,all,158,53,89,69.0,4,0.5632911392405063,0.956989247311828,0.7091633466135459
84,TAFINLAR,all-concat,exact-meddra,110,53,56,,17,,0.7671232876712328,
85,TAFINLAR,all-concat,non-meddra,48,53,33,,22,,0.6,
86,TAFINLAR,all-concat,discontinuous,2,53,2,,38,,0.05,
87,TAFINLAR,all-concat,hypothetical,25,53,24,,16,,0.6,
88,HORIZANT,adverse reactions,all,27,24,26,1.0,0,0.9629629629629629,1.0,0.9811320754716981
89,HORIZANT,adverse reactions,exact-meddra,26,24,25,,1,,0.9615384615384616,
90,HORIZANT,adverse reactions,non-meddra,1,24,1,,23,,0.041666666666666664,
91,HORIZANT,warnings and precautions,all,40,10,15,25.0,1,0.375,0.9375,0.5357142857142857
92,HORIZANT,warnings and precautions,exact-meddra,17,10,6,,4,,0.6,
93,HORIZANT,warnings and precautions,non-meddra,23,10,9,,4,,0.6923076923076923,
94,HORIZANT,warnings and precautions,negated,2,10,1,,7,,0.125,
95,HORIZANT,warnings and precautions,discontinuous,12,10,3,,8,,0.2727272727272727,
96,HORIZANT,warnings and precautions,hypothetical,12,10,6,,6,,0.5,
97,HORIZANT,all-concat,all,62,31,34,28.0,3,0.5483870967741935,0.918918918918919,0.6868686868686869
98,HORIZANT,all-concat,exact-meddra,38,31,28,,4,,0.875,
99,HORIZANT,all-concat,non-meddra,24,31,6,,27,,0.18181818181818182,
100,HORIZANT,all-concat,negated,2,31,1,,28,,0.034482758620689655,
101,HORIZANT,all-concat,discontinuous,12,31,3,,28,,0.0967741935483871,
102,HORIZANT,all-concat,hypothetical,12,31,5,,27,,0.15625,
103,IMBRUVICA,adverse reactions,all,70,52,61,9.0,2,0.8714285714285714,0.9682539682539683,0.9172932330827068
104,IMBRUVICA,adverse reactions,exact-meddra,55,52,52,,4,,0.9285714285714286,
105,IMBRUVICA,adverse reactions,non-meddra,15,52,9,,38,,0.19148936170212766,
106,IMBRUVICA,adverse reactions,discontinuous,2,52,0,,52,,0.0,
107,IMBRUVICA,warnings and precautions,all,32,24,29,3.0,0,0.90625,1.0,0.9508196721311475
108,IMBRUVICA,warnings and precautions,exact-meddra,16,24,15,,9,,0.625,
109,IMBRUVICA,warnings and precautions,non-meddra,16,24,14,,10,,0.5833333333333334,
110,IMBRUVICA,warnings and precautions,hypothetical,3,24,3,,17,,0.15,
111,IMBRUVICA,all-concat,all,89,20,40,49.0,0,0.449438202247191,1.0,0.6201550387596899
112,IMBRUVICA,all-concat,exact-meddra,62,20,27,,2,,0.9310344827586207,
113,IMBRUVICA,all-concat,non-meddra,27,20,13,,9,,0.5909090909090909,
114,IMBRUVICA,all-concat,discontinuous,2,20,0,,20,,0.0,
115,IMBRUVICA,all-concat,hypothetical,3,20,1,,16,,0.058823529411764705,
116,ULORIC,adverse reactions,all,210,185,208,2.0,0,0.9904761904761905,1.0,0.9952153110047847
117,ULORIC,adverse reactions,exact-meddra,187,185,186,,5,,0.9738219895287958,
118,ULORIC,adverse reactions,non-meddra,23,185,22,,139,,0.13664596273291926,
119,ULORIC,adverse reactions,discontinuous,18,185,18,,133,,0.11920529801324503,
120,ULORIC,warnings and precautions,all,11,13,10,1.0,5,0.9090909090909091,0.6666666666666666,0.7692307692307692
121,ULORIC,warnings and precautions,exact-meddra,2,13,2,,8,,0.2,
122,ULORIC,warnings and precautions,non-meddra,9,13,8,,6,,0.5714285714285714,
123,ULORIC,all-concat,all,218,5,31,187.0,0,0.14220183486238533,1.0,0.24899598393574301
124,ULORIC,all-concat,exact-meddra,188,5,25,,0,,1.0,
125,ULORIC,all-concat,non-meddra,30,5,6,,3,,0.6666666666666666,
126,ULORIC,all-concat,discontinuous,18,5,0,,5,,0.0,
127,CIMZIA,adverse reactions,all,107,54,89,18.0,0,0.8317757009345794,1.0,0.9081632653061225
128,CIMZIA,adverse reactions,exact-meddra,76,54,66,,2,,0.9705882352941176,
129,CIMZIA,adverse reactions,non-meddra,31,54,23,,27,,0.46,
130,CIMZIA,adverse reactions,negated,1,54,1,,49,,0.02,
131,CIMZIA,adverse reactions,discontinuous,10,54,2,,47,,0.04081632653061224,
132,CIMZIA,adverse reactions,hypothetical,8,54,6,,43,,0.12244897959183673,
133,CIMZIA,warnings and precautions,all,72,16,49,23.0,0,0.6805555555555556,1.0,0.8099173553719008
134,CIMZIA,warnings and precautions,exact-meddra,25,16,16,,4,,0.8,
135,CIMZIA,warnings and precautions,non-meddra,47,16,33,,1,,0.9705882352941176,
136,CIMZIA,warnings and precautions,negated,2,16,1,,15,,0.0625,
137,CIMZIA,warnings and precautions,discontinuous,10,16,5,,11,,0.3125,
138,CIMZIA,warnings and precautions,hypothetical,39,16,27,,0,,1.0,
139,CIMZIA,boxed warnings,all,27,17,24,3.0,1,0.8888888888888888,0.96,0.923076923076923
140,CIMZIA,boxed warnings,exact-meddra,13,17,13,,3,,0.8125,
141,CIMZIA,boxed warnings,non-meddra,14,17,11,,6,,0.6470588235294118,
142,CIMZIA,boxed warnings,discontinuous,8,17,6,,8,,0.42857142857142855,
