,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,79,93,0.0,35,1.0,0.7265625,0.8416289592760181
1,KYPROLIS,adverse reactions,exact-meddra,104,79,83,,21,,0.7980769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,79,10,,15,,0.4,
3,KYPROLIS,adverse reactions,discontinuous,3,79,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,39,44,3.0,21,0.9361702127659575,0.676923076923077,0.7857142857142858
5,KYPROLIS,warnings and precautions,exact-meddra,44,39,29,,15,,0.6590909090909091,
6,KYPROLIS,warnings and precautions,non-meddra,22,39,16,,6,,0.7272727272727273,
7,KYPROLIS,warnings and precautions,discontinuous,1,39,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,82,101,0.0,57,1.0,0.6392405063291139,0.7799227799227799
9,KYPROLIS,all-concat,exact-meddra,119,82,86,,33,,0.7226890756302521,
10,KYPROLIS,all-concat,non-meddra,40,82,15,,25,,0.375,
11,KYPROLIS,all-concat,discontinuous,4,82,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,32,38,2.0,1,0.95,0.9743589743589743,0.9620253164556962
13,MULTAQ,adverse reactions,exact-meddra,26,32,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,32,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,32,5,,0,,1.0,
16,MULTAQ,warnings and precautions,all,24,13,15,1.0,9,0.9375,0.625,0.75
17,MULTAQ,warnings and precautions,exact-meddra,13,13,8,,5,,0.6153846153846154,
18,MULTAQ,warnings and precautions,non-meddra,11,13,7,,4,,0.6363636363636364,
19,MULTAQ,warnings and precautions,discontinuous,3,13,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,56,31,38,0.0,18,1.0,0.6785714285714286,0.8085106382978724
23,MULTAQ,all-concat,exact-meddra,32,31,25,,7,,0.78125,
24,MULTAQ,all-concat,non-meddra,24,31,13,,11,,0.5416666666666666,
25,MULTAQ,all-concat,discontinuous,8,31,6,,2,,0.75,
26,JUBLIA,adverse reactions,all,5,5,5,1.0,0,0.8333333333333334,1.0,0.9090909090909091
27,JUBLIA,adverse reactions,exact-meddra,3,5,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,5,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,5,5,1.0,0,0.8333333333333334,1.0,0.9090909090909091
30,JUBLIA,all-concat,exact-meddra,3,5,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,5,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,31,30,1.0,0,0.967741935483871,1.0,0.9836065573770492
33,TEFLARO,adverse reactions,exact-meddra,26,31,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,31,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,10,8,7,2.0,3,0.7777777777777778,0.7,0.7368421052631577
36,TEFLARO,warnings and precautions,exact-meddra,2,8,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,8,8,5,,3,,0.625,
38,TEFLARO,warnings and precautions,discontinuous,2,8,2,,0,,1.0,
39,TEFLARO,all-concat,all,36,30,31,1.0,5,0.96875,0.8611111111111112,0.911764705882353
40,TEFLARO,all-concat,exact-meddra,27,30,27,,0,,1.0,
41,TEFLARO,all-concat,non-meddra,9,30,4,,5,,0.4444444444444444,
42,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
43,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
44,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
45,DATSCAN,adverse reactions,non-meddra,3,10,3,,0,,1.0,
46,DATSCAN,warnings and precautions,all,3,5,3,2.0,0,0.6,1.0,0.7499999999999999
47,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,0,,1.0,
48,DATSCAN,warnings and precautions,non-meddra,2,5,2,,0,,1.0,
49,DATSCAN,all-concat,all,12,12,11,2.0,1,0.8461538461538461,0.9166666666666666,0.8799999999999999
50,DATSCAN,all-concat,exact-meddra,9,12,8,,1,,0.8888888888888888,
51,DATSCAN,all-concat,non-meddra,3,12,3,,0,,1.0,
52,TIVICAY,adverse reactions,all,45,35,34,4.0,11,0.8947368421052632,0.7555555555555555,0.8192771084337349
53,TIVICAY,adverse reactions,exact-meddra,30,35,28,,2,,0.9333333333333333,
54,TIVICAY,adverse reactions,non-meddra,15,35,6,,9,,0.4,
55,TIVICAY,adverse reactions,discontinuous,8,35,5,,3,,0.625,
56,TIVICAY,warnings and precautions,all,20,44,18,25.0,2,0.4186046511627907,0.9,0.5714285714285715
57,TIVICAY,warnings and precautions,exact-meddra,10,44,10,,0,,1.0,
58,TIVICAY,warnings and precautions,non-meddra,10,44,8,,2,,0.8,
59,TIVICAY,all-concat,all,62,23,19,11.0,43,0.6333333333333333,0.3064516129032258,0.4130434782608696
60,TIVICAY,all-concat,exact-meddra,37,23,13,,24,,0.35135135135135137,
61,TIVICAY,all-concat,non-meddra,25,23,6,,19,,0.24,
62,TIVICAY,all-concat,discontinuous,8,23,0,,8,,0.0,
63,TAFINLAR,adverse reactions,all,112,44,63,1.0,49,0.984375,0.5625,0.7159090909090909
64,TAFINLAR,adverse reactions,exact-meddra,94,44,57,,37,,0.6063829787234043,
65,TAFINLAR,adverse reactions,non-meddra,18,44,6,,12,,0.3333333333333333,
66,TAFINLAR,warnings and precautions,all,60,16,23,1.0,37,0.9583333333333334,0.38333333333333336,0.5476190476190476
67,TAFINLAR,warnings and precautions,exact-meddra,28,16,11,,17,,0.39285714285714285,
68,TAFINLAR,warnings and precautions,non-meddra,32,16,12,,20,,0.375,
69,TAFINLAR,warnings and precautions,discontinuous,2,16,2,,0,,1.0,
70,TAFINLAR,all-concat,all,155,53,52,9.0,103,0.8524590163934426,0.33548387096774196,0.48148148148148145
71,TAFINLAR,all-concat,exact-meddra,110,53,31,,79,,0.2818181818181818,
72,TAFINLAR,all-concat,non-meddra,45,53,21,,24,,0.4666666666666667,
73,TAFINLAR,all-concat,discontinuous,2,53,2,,0,,1.0,
74,HORIZANT,adverse reactions,all,27,24,24,0.0,3,1.0,0.8888888888888888,0.9411764705882353
75,HORIZANT,adverse reactions,exact-meddra,26,24,23,,3,,0.8846153846153846,
76,HORIZANT,adverse reactions,non-meddra,1,24,1,,0,,1.0,
77,HORIZANT,warnings and precautions,all,35,10,11,2.0,24,0.8461538461538461,0.3142857142857143,0.45833333333333337
78,HORIZANT,warnings and precautions,exact-meddra,17,10,7,,10,,0.4117647058823529,
79,HORIZANT,warnings and precautions,non-meddra,18,10,4,,14,,0.2222222222222222,
80,HORIZANT,warnings and precautions,negated,1,10,0,,1,,0.0,
81,HORIZANT,warnings and precautions,discontinuous,11,10,3,,8,,0.2727272727272727,
82,HORIZANT,all-concat,all,57,31,30,3.0,27,0.9090909090909091,0.5263157894736842,0.6666666666666666
83,HORIZANT,all-concat,exact-meddra,38,31,26,,12,,0.6842105263157895,
84,HORIZANT,all-concat,non-meddra,19,31,4,,15,,0.21052631578947367,
85,HORIZANT,all-concat,negated,1,31,0,,1,,0.0,
86,HORIZANT,all-concat,discontinuous,11,31,2,,9,,0.18181818181818182,
87,IMBRUVICA,adverse reactions,all,70,52,49,4.0,21,0.9245283018867925,0.7,0.7967479674796748
88,IMBRUVICA,adverse reactions,exact-meddra,55,52,44,,11,,0.8,
89,IMBRUVICA,adverse reactions,non-meddra,15,52,5,,10,,0.3333333333333333,
90,IMBRUVICA,adverse reactions,discontinuous,2,52,0,,2,,0.0,
91,IMBRUVICA,warnings and precautions,all,31,24,27,2.0,4,0.9310344827586207,0.8709677419354839,0.9
92,IMBRUVICA,warnings and precautions,exact-meddra,16,24,14,,2,,0.875,
93,IMBRUVICA,warnings and precautions,non-meddra,15,24,13,,2,,0.8666666666666667,
94,IMBRUVICA,all-concat,all,88,20,30,1.0,58,0.967741935483871,0.3409090909090909,0.5042016806722689
95,IMBRUVICA,all-concat,exact-meddra,62,20,18,,44,,0.2903225806451613,
96,IMBRUVICA,all-concat,non-meddra,26,20,12,,14,,0.46153846153846156,
97,IMBRUVICA,all-concat,discontinuous,2,20,0,,2,,0.0,
98,ULORIC,adverse reactions,all,210,185,190,2.0,20,0.9895833333333334,0.9047619047619048,0.945273631840796
99,ULORIC,adverse reactions,exact-meddra,187,185,172,,15,,0.9197860962566845,
100,ULORIC,adverse reactions,non-meddra,23,185,18,,5,,0.782608695652174,
101,ULORIC,adverse reactions,discontinuous,18,185,5,,13,,0.2777777777777778,
102,ULORIC,warnings and precautions,all,11,13,8,6.0,3,0.5714285714285714,0.7272727272727273,0.64
103,ULORIC,warnings and precautions,exact-meddra,2,13,2,,0,,1.0,
