,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3447.0,200.0,1890.0,0.945160405812997,0.6458684654300169,0.7673642030276047,0.9270890871252927,0.7417261353755427,0.7935229786456086
1,adverse reactions,discontinuous,152.0,,236.0,,0.3917525773195876,,,0.40764421852657146,
2,adverse reactions,exact-meddra,2826.0,,1337.0,,0.6788373768916647,,,0.7881397985321569,
3,adverse reactions,negated,23.0,,9.0,,0.71875,,,0.7579365079365079,
4,adverse reactions,non-meddra,621.0,,554.0,,0.5285106382978724,,,0.603159473455878,
5,all-concat,all,3596.0,250.0,3442.0,0.9349973998959958,0.5109406081273089,0.6607864755604558,0.9237587999625603,0.5839707539419536,0.6831951800113881
6,all-concat,discontinuous,214.0,,528.0,,0.2884097035040431,,,0.30130105368706794,
7,all-concat,exact-meddra,2798.0,,2029.0,,0.5796561010979905,,,0.665873192768686,
8,all-concat,negated,34.0,,25.0,,0.576271186440678,,,0.6313131313131313,
9,all-concat,non-meddra,798.0,,1414.0,,0.36075949367088606,,,0.40681054572945635,
10,boxed warnings,all,204.0,91.0,58.0,0.6915254237288135,0.7786259541984732,0.7324955116696589,0.7189722232541457,0.876729436713957,0.7394323266537324
11,boxed warnings,discontinuous,17.0,,16.0,,0.5151515151515151,,,0.5178571428571428,
12,boxed warnings,exact-meddra,118.0,,18.0,,0.8676470588235294,,,0.9372600235079013,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,86.0,,40.0,,0.6825396825396826,,,0.7715728715728716,
15,warnings and precautions,all,1304.0,492.0,1148.0,0.7260579064587973,0.531810766721044,0.6139359698681731,0.6778434072493031,0.6115529828260734,0.5952502815552398
16,warnings and precautions,discontinuous,153.0,,197.0,,0.43714285714285717,,,0.37199783925347835,
17,warnings and precautions,exact-meddra,720.0,,493.0,,0.5935696619950536,,,0.7288020056880604,
18,warnings and precautions,negated,15.0,,12.0,,0.5555555555555556,,,0.5686274509803921,
19,warnings and precautions,non-meddra,584.0,,656.0,,0.47096774193548385,,,0.5161746284720923,
0,all,all,4955.0,783.0,3096.0,0.8635413035901011,0.6154514967084834,0.7042061058199485,0.7897124812060352,0.7099605830601242,0.7033200278258752
