,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,41,41,1.0,5,0.9761904761904762,0.8913043478260869,0.9318181818181818
1,XEOMIN,adverse reactions,exact-meddra,40,41,36,,4,,0.9,
2,XEOMIN,adverse reactions,non-meddra,6,41,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,41,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,41,5,,0,,1.0,
5,XEOMIN,warnings and precautions,all,35,27,23,5.0,12,0.8214285714285714,0.6571428571428571,0.73015873015873
6,XEOMIN,warnings and precautions,exact-meddra,16,27,13,,3,,0.8125,
7,XEOMIN,warnings and precautions,non-meddra,19,27,10,,9,,0.5263157894736842,
8,XEOMIN,warnings and precautions,discontinuous,5,27,3,,2,,0.6,
9,XEOMIN,warnings and precautions,hypothetical,24,27,14,,10,,0.5833333333333334,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,34,37,3.0,44,0.925,0.4567901234567901,0.6115702479338843
16,XEOMIN,all-concat,exact-meddra,53,34,30,,23,,0.5660377358490566,
17,XEOMIN,all-concat,non-meddra,28,34,7,,21,,0.25,
18,XEOMIN,all-concat,negated,1,34,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,34,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,34,15,,18,,0.45454545454545453,
21,QUTENZA,adverse reactions,all,40,34,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,34,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,34,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,9,3,6.0,3,0.3333333333333333,0.5,0.4
25,QUTENZA,warnings and precautions,exact-meddra,3,9,2,,1,,0.6666666666666666,
26,QUTENZA,warnings and precautions,non-meddra,3,9,1,,2,,0.3333333333333333,
27,QUTENZA,warnings and precautions,hypothetical,4,9,2,,2,,0.5,
28,QUTENZA,all-concat,all,45,35,37,0.0,8,1.0,0.8222222222222222,0.9024390243902439
29,QUTENZA,all-concat,exact-meddra,37,35,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,35,2,,6,,0.25,
31,QUTENZA,all-concat,hypothetical,4,35,1,,3,,0.25,
32,ZYTIGA,adverse reactions,all,61,49,52,0.0,9,1.0,0.8524590163934426,0.9203539823008848
33,ZYTIGA,adverse reactions,exact-meddra,43,49,41,,2,,0.9534883720930233,
34,ZYTIGA,adverse reactions,non-meddra,18,49,11,,7,,0.6111111111111112,
35,ZYTIGA,adverse reactions,negated,3,49,3,,0,,1.0,
36,ZYTIGA,adverse reactions,discontinuous,1,49,1,,0,,1.0,
37,ZYTIGA,warnings and precautions,all,15,25,10,14.0,5,0.4166666666666667,0.6666666666666666,0.5128205128205129
38,ZYTIGA,warnings and precautions,exact-meddra,6,25,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,25,6,,3,,0.6666666666666666,
40,ZYTIGA,warnings and precautions,negated,1,25,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,25,1,,0,,1.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,25,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,51,54,1.0,14,0.9818181818181818,0.7941176470588235,0.8780487804878049
44,ZYTIGA,all-concat,exact-meddra,44,51,43,,1,,0.9772727272727273,
45,ZYTIGA,all-concat,non-meddra,24,51,11,,13,,0.4583333333333333,
46,ZYTIGA,all-concat,negated,3,51,3,,0,,1.0,
47,ZYTIGA,all-concat,discontinuous,2,51,1,,1,,0.5,
48,ZYTIGA,all-concat,hypothetical,3,51,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,38,30,8.0,7,0.7894736842105263,0.8108108108108109,0.8
50,TOVIAZ,adverse reactions,exact-meddra,33,38,28,,5,,0.8484848484848485,
51,TOVIAZ,adverse reactions,non-meddra,4,38,2,,2,,0.5,
52,TOVIAZ,warnings and precautions,all,13,12,9,7.0,4,0.5625,0.6923076923076923,0.6206896551724138
53,TOVIAZ,warnings and precautions,exact-meddra,4,12,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,12,5,,4,,0.5555555555555556,
55,TOVIAZ,warnings and precautions,discontinuous,5,12,3,,2,,0.6,
56,TOVIAZ,all-concat,all,46,45,41,8.0,5,0.8367346938775511,0.8913043478260869,0.8631578947368421
