,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4370,366.0,1039,0.9227195945945946,0.8079127380292106,0.8615081320847708,0.9276317011010649,0.8460388981006708,0.877051420381417
1,adverse reactions,discontinuous,189,,208,,0.4760705289672544,,,0.4811374119978158,
2,adverse reactions,exact-meddra,3647,,516,,0.8760509248138362,,,0.9063662199434257,
3,adverse reactions,hypothetical,72,,8,,0.9,,,0.8450738916256157,
4,adverse reactions,negated,33,,40,,0.4520547945205479,,,0.4142857142857143,
5,adverse reactions,non-meddra,723,,524,,0.5797914995990376,,,0.6640968037338193,
6,all-concat,all,4704,415.0,2678,0.9189294784137527,0.6372256840964509,0.7525797936165107,0.9107965747994938,0.6949616299924226,0.7706880152508739
7,all-concat,discontinuous,280,,521,,0.3495630461922597,,,0.3513224901991652,
8,all-concat,exact-meddra,3674,,1153,,0.761135280712658,,,0.8126519578769771,
9,all-concat,hypothetical,474,,546,,0.4647058823529412,,,0.5388761956710719,
10,all-concat,negated,55,,77,,0.4166666666666667,,,0.4217687074829932,
11,all-concat,non-meddra,1031,,1525,,0.40336463223787167,,,0.46690440631136504,
12,boxed warnings,all,236,230.0,38,0.5064377682403434,0.8613138686131386,0.6378378378378378,0.5973170065275328,0.8777446617423399,0.6556175970643675
13,boxed warnings,discontinuous,30,,7,,0.8108108108108109,,,0.739010989010989,
14,boxed warnings,exact-meddra,135,,1,,0.9926470588235294,,,0.9975186104218362,
15,boxed warnings,hypothetical,108,,13,,0.8925619834710744,,,0.8944313262495082,
16,boxed warnings,negated,3,,2,,0.6,,,0.5,
17,boxed warnings,non-meddra,101,,37,,0.7318840579710145,,,0.7372899159663866,
18,warnings and precautions,all,1540,353.0,1187,0.8135235076597993,0.5647231389805647,0.6666666666666666,0.7769297779872302,0.6447760487786711,0.673801354618281
19,warnings and precautions,discontinuous,163,,236,,0.40852130325814534,,,0.4385065032123856,
20,warnings and precautions,exact-meddra,824,,389,,0.6793075020610058,,,0.777347542301591,
21,warnings and precautions,hypothetical,538,,371,,0.5918591859185919,,,0.670780704762249,
22,warnings and precautions,negated,30,,28,,0.5172413793103449,,,0.6226851851851852,
23,warnings and precautions,non-meddra,716,,799,,0.4726072607260726,,,0.551502158611653,
0,all,all,6146,949.0,2264,0.8662438336856941,0.7307966706302021,0.7562591460164226,0.8125043920509115,0.7684216211267278,0.7582152859162726
