,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,41,35,6.0,11,0.8536585365853658,0.7608695652173914,0.8045977011494252
1,XEOMIN,adverse reactions,exact-meddra,40,41,32,,8,,0.8,
2,XEOMIN,adverse reactions,non-meddra,6,41,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,41,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,41,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,27,20,7.0,15,0.7407407407407407,0.5714285714285714,0.6451612903225806
6,XEOMIN,warnings and precautions,exact-meddra,16,27,12,,4,,0.75,
7,XEOMIN,warnings and precautions,non-meddra,19,27,8,,11,,0.42105263157894735,
8,XEOMIN,warnings and precautions,discontinuous,5,27,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,27,12,,12,,0.5,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,34,31,3.0,50,0.9117647058823529,0.38271604938271603,0.5391304347826087
16,XEOMIN,all-concat,exact-meddra,53,34,28,,25,,0.5283018867924528,
17,XEOMIN,all-concat,non-meddra,28,34,3,,25,,0.10714285714285714,
18,XEOMIN,all-concat,negated,1,34,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,34,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,34,13,,20,,0.3939393939393939,
21,QUTENZA,adverse reactions,all,40,34,34,0.0,6,1.0,0.85,0.9189189189189189
22,QUTENZA,adverse reactions,exact-meddra,34,34,31,,3,,0.9117647058823529,
23,QUTENZA,adverse reactions,non-meddra,6,34,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,9,2,7.0,4,0.2222222222222222,0.3333333333333333,0.26666666666666666
25,QUTENZA,warnings and precautions,exact-meddra,3,9,2,,1,,0.6666666666666666,
26,QUTENZA,warnings and precautions,non-meddra,3,9,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,9,2,,2,,0.5,
28,QUTENZA,all-concat,all,45,35,35,0.0,10,1.0,0.7777777777777778,0.8750000000000001
29,QUTENZA,all-concat,exact-meddra,37,35,34,,3,,0.918918918918919,
30,QUTENZA,all-concat,non-meddra,8,35,1,,7,,0.125,
31,QUTENZA,all-concat,hypothetical,4,35,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,49,48,1.0,13,0.9795918367346939,0.7868852459016393,0.8727272727272727
33,ZYTIGA,adverse reactions,exact-meddra,43,49,40,,3,,0.9302325581395349,
34,ZYTIGA,adverse reactions,non-meddra,18,49,8,,10,,0.4444444444444444,
35,ZYTIGA,adverse reactions,negated,3,49,2,,1,,0.6666666666666666,
36,ZYTIGA,adverse reactions,discontinuous,1,49,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,25,8,17.0,7,0.32,0.5333333333333333,0.4
38,ZYTIGA,warnings and precautions,exact-meddra,6,25,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,25,4,,5,,0.4444444444444444,
40,ZYTIGA,warnings and precautions,negated,1,25,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,25,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,25,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,51,49,2.0,19,0.9607843137254902,0.7205882352941176,0.823529411764706
44,ZYTIGA,all-concat,exact-meddra,44,51,41,,3,,0.9318181818181818,
45,ZYTIGA,all-concat,non-meddra,24,51,8,,16,,0.3333333333333333,
46,ZYTIGA,all-concat,negated,3,51,2,,1,,0.6666666666666666,
47,ZYTIGA,all-concat,discontinuous,2,51,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,51,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,38,29,9.0,8,0.7631578947368421,0.7837837837837838,0.7733333333333334
50,TOVIAZ,adverse reactions,exact-meddra,33,38,27,,6,,0.8181818181818182,
51,TOVIAZ,adverse reactions,non-meddra,4,38,2,,2,,0.5,
52,TOVIAZ,warnings and precautions,all,13,12,5,7.0,8,0.4166666666666667,0.38461538461538464,0.4
53,TOVIAZ,warnings and precautions,exact-meddra,4,12,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,12,1,,8,,0.1111111111111111,
55,TOVIAZ,warnings and precautions,discontinuous,5,12,0,,5,,0.0,
56,TOVIAZ,all-concat,all,46,45,34,11.0,12,0.7555555555555555,0.7391304347826086,0.7472527472527473
57,TOVIAZ,all-concat,exact-meddra,33,45,32,,1,,0.9696969696969697,
58,TOVIAZ,all-concat,non-meddra,13,45,2,,11,,0.15384615384615385,
59,TOVIAZ,all-concat,discontinuous,5,45,0,,5,,0.0,
60,STRIBILD,adverse reactions,all,100,72,61,11.0,39,0.8472222222222222,0.61,0.7093023255813953
61,STRIBILD,adverse reactions,exact-meddra,59,72,54,,5,,0.9152542372881356,
62,STRIBILD,adverse reactions,non-meddra,41,72,7,,34,,0.17073170731707318,
63,STRIBILD,adverse reactions,negated,1,72,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,72,1,,17,,0.05555555555555555,
65,STRIBILD,warnings and precautions,all,50,41,23,18.0,27,0.5609756097560976,0.46,0.5054945054945056
66,STRIBILD,warnings and precautions,exact-meddra,22,41,14,,8,,0.6363636363636364,
67,STRIBILD,warnings and precautions,non-meddra,28,41,9,,19,,0.32142857142857145,
68,STRIBILD,warnings and precautions,discontinuous,5,41,0,,5,,0.0,
69,STRIBILD,warnings and precautions,hypothetical,9,41,6,,3,,0.6666666666666666,
70,STRIBILD,boxed warnings,all,6,13,1,12.0,5,0.07692307692307693,0.16666666666666666,0.10526315789473684
71,STRIBILD,boxed warnings,exact-meddra,2,13,1,,1,,0.5,
72,STRIBILD,boxed warnings,non-meddra,4,13,0,,4,,0.0,
73,STRIBILD,all-concat,all,136,56,43,13.0,93,0.7678571428571429,0.3161764705882353,0.44791666666666663
74,STRIBILD,all-concat,exact-meddra,73,56,38,,35,,0.5205479452054794,
75,STRIBILD,all-concat,non-meddra,63,56,5,,58,,0.07936507936507936,
76,STRIBILD,all-concat,negated,1,56,0,,1,,0.0,
77,STRIBILD,all-concat,discontinuous,22,56,1,,21,,0.045454545454545456,
78,STRIBILD,all-concat,hypothetical,9,56,2,,7,,0.2222222222222222,
79,FARXIGA,adverse reactions,all,86,32,26,6.0,60,0.8125,0.3023255813953488,0.44067796610169485
80,FARXIGA,adverse reactions,exact-meddra,48,32,17,,31,,0.3541666666666667,
81,FARXIGA,adverse reactions,non-meddra,38,32,9,,29,,0.23684210526315788,
82,FARXIGA,adverse reactions,discontinuous,11,32,0,,11,,0.0,
83,FARXIGA,adverse reactions,hypothetical,1,32,0,,1,,0.0,
84,FARXIGA,warnings and precautions,all,13,6,6,0.0,7,1.0,0.46153846153846156,0.631578947368421
85,FARXIGA,warnings and precautions,exact-meddra,3,6,3,,0,,1.0,
86,FARXIGA,warnings and precautions,non-meddra,10,6,3,,7,,0.3,
87,FARXIGA,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
88,FARXIGA,warnings and precautions,hypothetical,4,6,2,,2,,0.5,
89,FARXIGA,all-concat,all,94,29,25,4.0,69,0.8620689655172413,0.26595744680851063,0.4065040650406504
90,FARXIGA,all-concat,exact-meddra,48,29,17,,31,,0.3541666666666667,
91,FARXIGA,all-concat,non-meddra,46,29,8,,38,,0.17391304347826086,
92,FARXIGA,all-concat,discontinuous,12,29,0,,12,,0.0,
93,FARXIGA,all-concat,hypothetical,5,29,2,,3,,0.4,
94,VICTRELIS,adverse reactions,all,47,42,33,9.0,14,0.7857142857142857,0.7021276595744681,0.7415730337078651
95,VICTRELIS,adverse reactions,exact-meddra,36,42,33,,3,,0.9166666666666666,
96,VICTRELIS,adverse reactions,non-meddra,11,42,0,,11,,0.0,
97,VICTRELIS,adverse reactions,discontinuous,7,42,1,,6,,0.14285714285714285,
98,VICTRELIS,warnings and precautions,all,24,15,10,5.0,14,0.6666666666666666,0.4166666666666667,0.5128205128205129
99,VICTRELIS,warnings and precautions,exact-meddra,12,15,8,,4,,0.6666666666666666,
100,VICTRELIS,warnings and precautions,non-meddra,12,15,2,,10,,0.16666666666666666,
101,VICTRELIS,warnings and precautions,discontinuous,1,15,0,,1,,0.0,
102,VICTRELIS,warnings and precautions,hypothetical,4,15,2,,2,,0.5,
103,VICTRELIS,all-concat,all,64,63,37,26.0,27,0.5873015873015873,0.578125,0.5826771653543307
104,VICTRELIS,all-concat,exact-meddra,41,63,34,,7,,0.8292682926829268,
105,VICTRELIS,all-concat,non-meddra,23,63,3,,20,,0.13043478260869565,
106,VICTRELIS,all-concat,discontinuous,8,63,0,,8,,0.0,
107,VICTRELIS,all-concat,hypothetical,4,63,0,,4,,0.0,
108,VIMIZIM,adverse reactions,all,9,17,9,8.0,0,0.5294117647058824,1.0,0.6923076923076924
109,VIMIZIM,adverse reactions,exact-meddra,8,17,8,,0,,1.0,
110,VIMIZIM,adverse reactions,non-meddra,1,17,1,,0,,1.0,
111,VIMIZIM,warnings and precautions,all,21,29,19,10.0,2,0.6551724137931034,0.9047619047619048,0.7599999999999999
112,VIMIZIM,warnings and precautions,exact-meddra,17,29,16,,1,,0.9411764705882353,
113,VIMIZIM,warnings and precautions,non-meddra,4,29,3,,1,,0.75,
114,VIMIZIM,warnings and precautions,hypothetical,1,29,1,,0,,1.0,
115,VIMIZIM,boxed warnings,all,17,30,16,14.0,1,0.5333333333333333,0.9411764705882353,0.6808510638297872
116,VIMIZIM,boxed warnings,exact-meddra,15,30,15,,0,,1.0,
117,VIMIZIM,boxed warnings,non-meddra,2,30,1,,1,,0.5,
118,VIMIZIM,boxed warnings,hypothetical,1,30,1,,0,,1.0,
119,VIMIZIM,all-concat,all,25,32,23,9.0,2,0.71875,0.92,0.8070175438596492
120,VIMIZIM,all-concat,exact-meddra,21,32,20,,1,,0.9523809523809523,
121,VIMIZIM,all-concat,non-meddra,4,32,3,,1,,0.75,
122,VIMIZIM,all-concat,hypothetical,2,32,2,,0,,1.0,
123,BEPREVE,adverse reactions,all,10,10,9,1.0,1,0.9,0.9,0.9
124,BEPREVE,adverse reactions,exact-meddra,6,10,6,,0,,1.0,
125,BEPREVE,adverse reactions,non-meddra,4,10,3,,1,,0.75,
126,BEPREVE,adverse reactions,discontinuous,2,10,2,,0,,1.0,
127,BEPREVE,all-concat,all,10,10,7,3.0,3,0.7,0.7,0.7
128,BEPREVE,all-concat,exact-meddra,6,10,5,,1,,0.8333333333333334,
129,BEPREVE,all-concat,non-meddra,4,10,2,,2,,0.5,
130,BEPREVE,all-concat,discontinuous,2,10,0,,2,,0.0,
131,PRISTIQ,adverse reactions,all,88,65,61,4.0,27,0.9384615384615385,0.6931818181818182,0.7973856209150327
132,PRISTIQ,adverse reactions,exact-meddra,66,65,57,,9,,0.8636363636363636,
133,PRISTIQ,adverse reactions,non-meddra,22,65,4,,18,,0.18181818181818182,
134,PRISTIQ,adverse reactions,negated,2,65,0,,2,,0.0,
135,PRISTIQ,adverse reactions,discontinuous,10,65,0,,10,,0.0,
136,PRISTIQ,warnings and precautions,all,83,55,45,10.0,38,0.8181818181818182,0.5421686746987951,0.6521739130434783
137,PRISTIQ,warnings and precautions,exact-meddra,46,55,32,,14,,0.6956521739130435,
138,PRISTIQ,warnings and precautions,non-meddra,37,55,13,,24,,0.35135135135135137,
139,PRISTIQ,warnings and precautions,negated,4,55,1,,3,,0.25,
140,PRISTIQ,warnings and precautions,discontinuous,4,55,0,,4,,0.0,
141,PRISTIQ,warnings and precautions,hypothetical,55,55,36,,19,,0.6545454545454545,
142,PRISTIQ,boxed warnings,all,4,13,2,11.0,2,0.15384615384615385,0.5,0.23529411764705882
143,PRISTIQ,boxed warnings,non-meddra,4,13,2,,2,,0.5,
144,PRISTIQ,boxed warnings,negated,2,13,1,,1,,0.5,
145,PRISTIQ,boxed warnings,discontinuous,2,13,1,,1,,0.5,
146,PRISTIQ,boxed warnings,hypothetical,3,13,1,,2,,0.3333333333333333,
147,PRISTIQ,all-concat,all,148,67,63,4.0,85,0.9402985074626866,0.42567567567567566,0.586046511627907
148,PRISTIQ,all-concat,exact-meddra,92,67,58,,34,,0.6304347826086957,
149,PRISTIQ,all-concat,non-meddra,56,67,5,,51,,0.08928571428571429,
150,PRISTIQ,all-concat,negated,8,67,1,,7,,0.125,
151,PRISTIQ,all-concat,discontinuous,14,67,0,,14,,0.0,
152,PRISTIQ,all-concat,hypothetical,56,67,12,,44,,0.21428571428571427,
153,TAFINLAR,adverse reactions,all,112,65,60,5.0,52,0.9230769230769231,0.5357142857142857,0.6779661016949152
154,TAFINLAR,adverse reactions,exact-meddra,94,65,53,,41,,0.5638297872340425,
155,TAFINLAR,adverse reactions,non-meddra,18,65,7,,11,,0.3888888888888889,
