,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3822,563.0,1587,0.8716077537058152,0.7066001109262341,0.7804778435777006,0.867161564196422,0.748442804085463,0.8007089603014887
1,adverse reactions,discontinuous,44,,353,,0.11083123425692695,,,0.1146703457502404,
2,adverse reactions,exact-meddra,3356,,807,,0.8061494114821043,,,0.8368390414537632,
3,adverse reactions,hypothetical,54,,26,,0.675,,,0.605952380952381,
4,adverse reactions,negated,19,,54,,0.2602739726027397,,,0.22095238095238096,
5,adverse reactions,non-meddra,466,,781,,0.3736968724939856,,,0.4911615241698869,
6,all-concat,all,3801,650.0,3581,0.8539654010334756,0.5149011108100786,0.6424406321304825,0.8364261147817338,0.5747316370296413,0.6678492130457216
7,all-concat,discontinuous,55,,746,,0.0686641697877653,,,0.07681704154523313,
8,all-concat,exact-meddra,3291,,1536,,0.6817899316345556,,,0.732943535608979,
9,all-concat,hypothetical,313,,707,,0.30686274509803924,,,0.367639119775502,
10,all-concat,negated,32,,100,,0.24242424242424243,,,0.2329365079365079,
11,all-concat,non-meddra,510,,2046,,0.19953051643192488,,,0.27240759446676077,
12,boxed warnings,all,168,279.0,106,0.37583892617449666,0.6131386861313869,0.46601941747572817,0.4268635066072739,0.5804418427289944,0.47622643822775784
13,boxed warnings,discontinuous,7,,30,,0.1891891891891892,,,0.1456043956043956,
14,boxed warnings,exact-meddra,123,,13,,0.9044117647058824,,,0.8555809498933438,
15,boxed warnings,hypothetical,72,,49,,0.5950413223140496,,,0.5914010232192051,
16,boxed warnings,negated,2,,3,,0.4,,,0.375,
17,boxed warnings,non-meddra,45,,93,,0.32608695652173914,,,0.3167717086834734,
18,warnings and precautions,all,1090,566.0,1637,0.6582125603864735,0.3997066373303997,0.49737622632899836,0.6367192545979736,0.4659614597527215,0.5065608303942692
19,warnings and precautions,discontinuous,46,,353,,0.11528822055137844,,,0.1599064974064974,
20,warnings and precautions,exact-meddra,697,,516,,0.5746084089035449,,,0.6652812756441272,
21,warnings and precautions,hypothetical,394,,515,,0.43344334433443343,,,0.5043358751672701,
22,warnings and precautions,negated,14,,44,,0.2413793103448276,,,0.3020833333333333,
23,warnings and precautions,non-meddra,393,,1122,,0.2594059405940594,,,0.31696284158089627,
0,all,all,5080,1408.0,3330,0.782983970406905,0.6040428061831153,0.6350173053107563,0.7015504191988071,0.6052871814929981,0.6293015631427283
