,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5222,187.0,50,0.965427990386393,0.9905159332321699,0.9778110663795524,0.9712374961233424,0.9870090618112193,0.9778659799878706
1,adverse reactions,discontinuous,355,,2850,,0.11076443057722309,,,0.1440205812393564,
2,adverse reactions,exact-meddra,4092,,273,,0.9374570446735395,,,0.9202772899872668,
3,adverse reactions,negated,68,,1438,,0.0451527224435591,,,0.06834841591413704,
4,adverse reactions,non-meddra,1131,,2616,,0.3018414731785428,,,0.32210624066114,
5,all-concat,all,6911,471.0,105,0.9361961528041182,0.9850342075256556,0.9599944436727322,0.9382756849888811,0.9718534529391835,0.952229084806729
6,all-concat,discontinuous,693,,3435,,0.16787790697674418,,,0.17229500927243457,
7,all-concat,exact-meddra,4696,,399,,0.9216879293424927,,,0.8929595948078222,
8,all-concat,negated,117,,2330,,0.047813649366571315,,,0.06150197277620768,
9,all-concat,non-meddra,2215,,2409,,0.479022491349481,,,0.45178630114468693,
10,boxed warnings,all,268,6.0,65,0.9781021897810219,0.8048048048048048,0.8830313014827017,0.9896616541353382,0.8426077820814663,0.8903351886769434
11,boxed warnings,discontinuous,36,,65,,0.3564356435643564,,,0.4214785214785215,
12,boxed warnings,exact-meddra,136,,99,,0.5787234042553191,,,0.5881196760229018,
13,boxed warnings,negated,5,,43,,0.10416666666666667,,,0.6724806201550387,
14,boxed warnings,non-meddra,132,,149,,0.4697508896797153,,,0.5641906091642024,
15,warnings and precautions,all,2449,278.0,292,0.8980564723138981,0.8934695366654506,0.89575713240673,0.9239546099894718,0.8294622336989413,0.8511873734052341
16,warnings and precautions,discontinuous,334,,1405,,0.19206440483036227,,,0.229007648318806,
17,warnings and precautions,exact-meddra,1144,,686,,0.6251366120218579,,,0.5501913596559149,
18,warnings and precautions,negated,51,,615,,0.07657657657657657,,,0.09970865841879067,
19,warnings and precautions,non-meddra,1305,,808,,0.6176053005205868,,,0.5910867521386934,
0,all,all,7939,471.0,407,0.9439952437574316,0.9512341241313204,0.9283590599637662,0.9547700302312678,0.8990035916560432,0.9117049846135868
