,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4475,144.0,934,0.9688244208703183,0.8273248289887225,0.8925009972078182,0.9658936732726469,0.8583127081100616,0.9042298395386206
1,adverse reactions,discontinuous,180,,217,,0.4534005037783375,,,0.4285320912625566,
2,adverse reactions,exact-meddra,3727,,436,,0.895267835695412,,,0.9217254062302594,
3,adverse reactions,negated,34,,39,,0.4657534246575342,,,0.43809523809523804,
4,adverse reactions,non-meddra,748,,499,,0.5998396150761829,,,0.6786496555355478,
5,all-concat,all,5277,287.0,2105,0.9484184040258806,0.7148469249525874,0.8152325042484165,0.9376953902626699,0.7591543407949406,0.8304366698954884
6,all-concat,discontinuous,311,,490,,0.3882646691635456,,,0.393238545706552,
7,all-concat,exact-meddra,4110,,717,,0.8514605344934743,,,0.8855018187687971,
8,all-concat,negated,60,,72,,0.45454545454545453,,,0.45102040816326533,
9,all-concat,non-meddra,1167,,1389,,0.4565727699530516,,,0.5250830829080405,
10,boxed warnings,all,241,87.0,33,0.7347560975609756,0.8795620437956204,0.8006644518272426,0.7871568343936765,0.9267630410238769,0.8241323012368913
11,boxed warnings,discontinuous,25,,12,,0.6756756756756757,,,0.6254578754578755,
12,boxed warnings,exact-meddra,132,,4,,0.9705882352941176,,,0.9588089330024814,
13,boxed warnings,negated,5,,0,,1.0,,,1.0,
14,boxed warnings,non-meddra,109,,29,,0.7898550724637681,,,0.8360294117647059,
15,warnings and precautions,all,1914,603.0,813,0.7604290822407628,0.7018701870187019,0.7299771167048054,0.7141695134087332,0.7603075826364506,0.7002619181802624
16,warnings and precautions,discontinuous,192,,207,,0.48120300751879697,,,0.5393951283657166,
17,warnings and precautions,exact-meddra,1042,,171,,0.8590272052761748,,,0.8939245728526813,
18,warnings and precautions,negated,32,,26,,0.5517241379310345,,,0.6921296296296297,
19,warnings and precautions,non-meddra,872,,643,,0.5755775577557756,,,0.6606897376364589,
0,all,all,6630,834.0,1780,0.8882636655948553,0.7883472057074911,0.8163498192183558,0.833651116559933,0.8290526042108443,0.8074985055249491
