,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,82,80,2.0,48,0.975609756097561,0.625,0.7619047619047619
1,KYPROLIS,adverse reactions,exact-meddra,104,82,72,,32,,0.6923076923076923,
2,KYPROLIS,adverse reactions,non-meddra,25,82,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,82,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,55,46,9.0,19,0.8363636363636363,0.7076923076923077,0.7666666666666666
5,KYPROLIS,warnings and precautions,exact-meddra,44,55,38,,6,,0.8636363636363636,
6,KYPROLIS,warnings and precautions,non-meddra,22,55,8,,14,,0.36363636363636365,
7,KYPROLIS,warnings and precautions,discontinuous,1,55,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,108,104,4.0,54,0.9629629629629629,0.6582278481012658,0.7819548872180452
9,KYPROLIS,all-concat,exact-meddra,119,108,94,,25,,0.7899159663865546,
10,KYPROLIS,all-concat,non-meddra,40,108,10,,30,,0.25,
11,KYPROLIS,all-concat,discontinuous,4,108,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,30,29,1.0,10,0.9666666666666667,0.7435897435897436,0.8405797101449275
13,MULTAQ,adverse reactions,exact-meddra,26,30,23,,3,,0.8846153846153846,
14,MULTAQ,adverse reactions,non-meddra,13,30,6,,7,,0.46153846153846156,
15,MULTAQ,adverse reactions,discontinuous,5,30,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,27,18,9.0,7,0.6666666666666666,0.72,0.6923076923076923
17,MULTAQ,warnings and precautions,exact-meddra,13,27,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,27,6,,6,,0.5,
19,MULTAQ,warnings and precautions,discontinuous,3,27,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,39,34,5.0,23,0.8717948717948718,0.5964912280701754,0.7083333333333334
23,MULTAQ,all-concat,exact-meddra,32,39,27,,5,,0.84375,
24,MULTAQ,all-concat,non-meddra,25,39,7,,18,,0.28,
25,MULTAQ,all-concat,discontinuous,8,39,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,37,29,8.0,1,0.7837837837837838,0.9666666666666667,0.8656716417910447
33,TEFLARO,adverse reactions,exact-meddra,26,37,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,37,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,8,2,6.0,10,0.25,0.16666666666666666,0.2
36,TEFLARO,warnings and precautions,exact-meddra,2,8,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,8,2,,8,,0.2,
38,TEFLARO,warnings and precautions,negated,1,8,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,8,1,,1,,0.5,
40,TEFLARO,all-concat,all,38,30,29,1.0,9,0.9666666666666667,0.7631578947368421,0.8529411764705883
41,TEFLARO,all-concat,exact-meddra,27,30,26,,1,,0.9629629629629629,
42,TEFLARO,all-concat,non-meddra,11,30,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,30,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
