,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3884.0,389.0,1453.0,0.9089632576644044,0.727749672100431,0.8083246618106139,0.8839404875677278,0.7541277665187908,0.8226466838560753
1,adverse reactions,discontinuous,50.0,,338.0,,0.12886597938144329,,,0.12903504991740286,
2,adverse reactions,exact-meddra,3447.0,,716.0,,0.8280086476098967,,,0.8441962299066301,
3,adverse reactions,negated,17.0,,15.0,,0.53125,,,0.4880952380952381,
4,adverse reactions,non-meddra,437.0,,738.0,,0.3719148936170213,,,0.48458449735597803,
5,all-concat,all,4266.0,656.0,2772.0,0.8667208451848842,0.6061381074168798,0.7133779264214046,0.8526676914297693,0.6465191273571453,0.7262407498946604
6,all-concat,discontinuous,65.0,,677.0,,0.0876010781671159,,,0.09790754752193274,
7,all-concat,exact-meddra,3731.0,,1096.0,,0.7729438574684069,,,0.8030230915574613,
8,all-concat,negated,21.0,,38.0,,0.3559322033898305,,,0.3611111111111111,
9,all-concat,non-meddra,535.0,,1677.0,,0.2418625678119349,,,0.31608184400853806,
10,boxed warnings,all,170.0,149.0,92.0,0.5329153605015674,0.648854961832061,0.5851979345955249,0.5472246905141642,0.659192672795614,0.5754010707508322
11,boxed warnings,discontinuous,10.0,,23.0,,0.30303030303030304,,,0.2889610389610389,
12,boxed warnings,exact-meddra,113.0,,23.0,,0.8308823529411765,,,0.7174089068825912,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,57.0,,69.0,,0.4523809523809524,,,0.45386002886002885,
15,warnings and precautions,all,1289.0,1040.0,1163.0,0.5534564190639759,0.5256933115823818,0.5392177368751306,0.5103484196093152,0.5479441551487761,0.5140347441302975
16,warnings and precautions,discontinuous,59.0,,291.0,,0.16857142857142857,,,0.2006879231879232,
17,warnings and precautions,exact-meddra,898.0,,315.0,,0.7403132728771641,,,0.7464342157349803,
18,warnings and precautions,negated,11.0,,16.0,,0.4074074074074074,,,0.4509803921568627,
19,warnings and precautions,non-meddra,391.0,,849.0,,0.3153225806451613,,,0.37065264216637506,
0,all,all,5343.0,1578.0,2708.0,0.7719982661465106,0.6636442677928208,0.6832244419325483,0.6740894119029719,0.6540966484494173,0.6561262424758031
