,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,106,110,1.0,18,0.990990990990991,0.859375,0.9205020920502092
1,KYPROLIS,adverse reactions,exact-meddra,104,106,96,,8,,0.9230769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,106,15,,10,,0.6,
3,KYPROLIS,adverse reactions,discontinuous,3,106,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,57,53,8.0,12,0.8688524590163934,0.8153846153846154,0.8412698412698412
5,KYPROLIS,warnings and precautions,exact-meddra,44,57,41,,3,,0.9318181818181818,
6,KYPROLIS,warnings and precautions,non-meddra,22,57,12,,10,,0.5454545454545454,
7,KYPROLIS,warnings and precautions,discontinuous,1,57,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,30,41,0.0,117,1.0,0.25949367088607594,0.41206030150753764
9,KYPROLIS,all-concat,exact-meddra,119,30,30,,89,,0.25210084033613445,
10,KYPROLIS,all-concat,non-meddra,40,30,11,,29,,0.275,
11,KYPROLIS,all-concat,discontinuous,4,30,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,30,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
13,MULTAQ,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,30,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,30,5,,0,,1.0,
16,MULTAQ,warnings and precautions,all,25,26,23,5.0,2,0.8214285714285714,0.92,0.8679245283018867
17,MULTAQ,warnings and precautions,exact-meddra,13,26,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,26,11,,1,,0.9166666666666666,
19,MULTAQ,warnings and precautions,discontinuous,3,26,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,4,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,4,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,38,48,2.0,9,0.96,0.8421052631578947,0.8971962616822429
23,MULTAQ,all-concat,exact-meddra,32,38,30,,2,,0.9375,
24,MULTAQ,all-concat,non-meddra,25,38,18,,7,,0.72,
25,MULTAQ,all-concat,discontinuous,8,38,7,,1,,0.875,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,12,8,8,2.0,4,0.8,0.6666666666666666,0.7272727272727272
36,TEFLARO,warnings and precautions,exact-meddra,2,8,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,8,6,,4,,0.6,
38,TEFLARO,warnings and precautions,negated,1,8,1,,0,,1.0,
39,TEFLARO,warnings and precautions,discontinuous,2,8,2,,0,,1.0,
40,TEFLARO,all-concat,all,38,30,32,1.0,6,0.9696969696969697,0.8421052631578947,0.9014084507042254
41,TEFLARO,all-concat,exact-meddra,27,30,27,,0,,1.0,
42,TEFLARO,all-concat,non-meddra,11,30,5,,6,,0.45454545454545453,
43,TEFLARO,all-concat,negated,1,30,1,,0,,1.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,0,,1.0,
48,DATSCAN,warnings and precautions,all,3,5,3,2.0,0,0.6,1.0,0.7499999999999999
49,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,5,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,11,12,0.0,0,1.0,1.0,1.0
52,DATSCAN,all-concat,exact-meddra,9,11,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,11,3,,0,,1.0,
54,TIVICAY,adverse reactions,all,45,51,40,6.0,5,0.8695652173913043,0.8888888888888888,0.8791208791208792
55,TIVICAY,adverse reactions,exact-meddra,30,51,29,,1,,0.9666666666666667,
56,TIVICAY,adverse reactions,non-meddra,15,51,11,,4,,0.7333333333333333,
57,TIVICAY,adverse reactions,discontinuous,8,51,7,,1,,0.875,
58,TIVICAY,warnings and precautions,all,29,41,26,17.0,3,0.6046511627906976,0.896551724137931,0.7222222222222221
59,TIVICAY,warnings and precautions,exact-meddra,10,41,10,,0,,1.0,
60,TIVICAY,warnings and precautions,non-meddra,19,41,16,,3,,0.8421052631578947,
61,TIVICAY,warnings and precautions,discontinuous,2,41,1,,1,,0.5,
62,TIVICAY,all-concat,all,71,50,52,4.0,19,0.9285714285714286,0.7323943661971831,0.8188976377952756
63,TIVICAY,all-concat,exact-meddra,37,50,32,,5,,0.8648648648648649,
64,TIVICAY,all-concat,non-meddra,34,50,20,,14,,0.5882352941176471,
65,TIVICAY,all-concat,discontinuous,10,50,8,,2,,0.8,
66,TAFINLAR,adverse reactions,all,112,67,86,0.0,26,1.0,0.7678571428571429,0.8686868686868687
67,TAFINLAR,adverse reactions,exact-meddra,94,67,73,,21,,0.776595744680851,
68,TAFINLAR,adverse reactions,non-meddra,18,67,13,,5,,0.7222222222222222,
69,TAFINLAR,warnings and precautions,all,63,27,38,1.0,25,0.9743589743589743,0.6031746031746031,0.7450980392156863
70,TAFINLAR,warnings and precautions,exact-meddra,28,27,16,,12,,0.5714285714285714,
71,TAFINLAR,warnings and precautions,non-meddra,35,27,22,,13,,0.6285714285714286,
72,TAFINLAR,warnings and precautions,discontinuous,2,27,2,,0,,1.0,
73,TAFINLAR,all-concat,all,158,87,121,1.0,37,0.9918032786885246,0.7658227848101266,0.8642857142857142
74,TAFINLAR,all-concat,exact-meddra,110,87,89,,21,,0.8090909090909091,
75,TAFINLAR,all-concat,non-meddra,48,87,32,,16,,0.6666666666666666,
76,TAFINLAR,all-concat,discontinuous,2,87,2,,0,,1.0,
77,HORIZANT,adverse reactions,all,27,25,26,0.0,1,1.0,0.9629629629629629,0.9811320754716981
78,HORIZANT,adverse reactions,exact-meddra,26,25,25,,1,,0.9615384615384616,
79,HORIZANT,adverse reactions,non-meddra,1,25,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,19,24,2.0,16,0.9230769230769231,0.6,0.7272727272727274
81,HORIZANT,warnings and precautions,exact-meddra,17,19,15,,2,,0.8823529411764706,
82,HORIZANT,warnings and precautions,non-meddra,23,19,9,,14,,0.391304347826087,
83,HORIZANT,warnings and precautions,negated,2,19,2,,0,,1.0,
84,HORIZANT,warnings and precautions,discontinuous,12,19,2,,10,,0.16666666666666666,
85,HORIZANT,all-concat,all,62,31,43,1.0,19,0.9772727272727273,0.6935483870967742,0.8113207547169812
86,HORIZANT,all-concat,exact-meddra,38,31,25,,13,,0.6578947368421053,
87,HORIZANT,all-concat,non-meddra,24,31,18,,6,,0.75,
88,HORIZANT,all-concat,negated,2,31,1,,1,,0.5,
89,HORIZANT,all-concat,discontinuous,12,31,8,,4,,0.6666666666666666,
90,IMBRUVICA,adverse reactions,all,70,60,56,6.0,14,0.9032258064516129,0.8,0.8484848484848486
91,IMBRUVICA,adverse reactions,exact-meddra,55,60,49,,6,,0.8909090909090909,
92,IMBRUVICA,adverse reactions,non-meddra,15,60,7,,8,,0.4666666666666667,
93,IMBRUVICA,adverse reactions,discontinuous,2,60,0,,2,,0.0,
94,IMBRUVICA,warnings and precautions,all,32,35,31,6.0,1,0.8378378378378378,0.96875,0.8985507246376812
95,IMBRUVICA,warnings and precautions,exact-meddra,16,35,16,,0,,1.0,
96,IMBRUVICA,warnings and precautions,non-meddra,16,35,15,,1,,0.9375,
97,IMBRUVICA,all-concat,all,89,64,66,4.0,23,0.9428571428571428,0.7415730337078652,0.8301886792452831
98,IMBRUVICA,all-concat,exact-meddra,62,64,55,,7,,0.8870967741935484,
99,IMBRUVICA,all-concat,non-meddra,27,64,11,,16,,0.4074074074074074,
100,IMBRUVICA,all-concat,discontinuous,2,64,0,,2,,0.0,
101,ULORIC,adverse reactions,all,210,163,165,0.0,45,1.0,0.7857142857142857,0.88
102,ULORIC,adverse reactions,exact-meddra,187,163,154,,33,,0.8235294117647058,
103,ULORIC,adverse reactions,non-meddra,23,163,11,,12,,0.4782608695652174,
104,ULORIC,adverse reactions,discontinuous,18,163,7,,11,,0.3888888888888889,
105,ULORIC,warnings and precautions,all,11,17,9,7.0,2,0.5625,0.8181818181818182,0.6666666666666666
106,ULORIC,warnings and precautions,exact-meddra,2,17,2,,0,,1.0,
107,ULORIC,warnings and precautions,non-meddra,9,17,7,,2,,0.7777777777777778,
108,ULORIC,all-concat,all,218,200,206,2.0,12,0.9903846153846154,0.944954128440367,0.9671361502347419
109,ULORIC,all-concat,exact-meddra,188,200,181,,7,,0.9627659574468085,
110,ULORIC,all-concat,non-meddra,30,200,25,,5,,0.8333333333333334,
111,ULORIC,all-concat,discontinuous,18,200,9,,9,,0.5,
112,CIMZIA,adverse reactions,all,107,69,79,0.0,28,1.0,0.7383177570093458,0.8494623655913979
113,CIMZIA,adverse reactions,exact-meddra,76,69,60,,16,,0.7894736842105263,
114,CIMZIA,adverse reactions,non-meddra,31,69,19,,12,,0.6129032258064516,
115,CIMZIA,adverse reactions,negated,1,69,1,,0,,1.0,
116,CIMZIA,adverse reactions,discontinuous,10,69,2,,8,,0.2,
117,CIMZIA,warnings and precautions,all,72,48,59,2.0,13,0.9672131147540983,0.8194444444444444,0.8872180451127819
118,CIMZIA,warnings and precautions,exact-meddra,25,48,25,,0,,1.0,
119,CIMZIA,warnings and precautions,non-meddra,47,48,34,,13,,0.723404255319149,
120,CIMZIA,warnings and precautions,negated,2,48,1,,1,,0.5,
121,CIMZIA,warnings and precautions,discontinuous,10,48,4,,6,,0.4,
122,CIMZIA,boxed warnings,all,27,23,22,3.0,5,0.88,0.8148148148148148,0.8461538461538461
123,CIMZIA,boxed warnings,exact-meddra,13,23,12,,1,,0.9230769230769231,
124,CIMZIA,boxed warnings,non-meddra,14,23,10,,4,,0.7142857142857143,
125,CIMZIA,boxed warnings,discontinuous,8,23,6,,2,,0.75,
126,CIMZIA,all-concat,all,172,88,112,2.0,60,0.9824561403508771,0.6511627906976745,0.7832167832167831
127,CIMZIA,all-concat,exact-meddra,92,88,72,,20,,0.782608695652174,
128,CIMZIA,all-concat,non-meddra,80,88,40,,40,,0.5,
129,CIMZIA,all-concat,negated,3,88,1,,2,,0.3333333333333333,
130,CIMZIA,all-concat,discontinuous,27,88,8,,19,,0.2962962962962963,
131,KALYDECO,adverse reactions,all,40,26,26,0.0,14,1.0,0.65,0.787878787878788
132,KALYDECO,adverse reactions,exact-meddra,24,26,24,,0,,1.0,
133,KALYDECO,adverse reactions,non-meddra,16,26,2,,14,,0.125,
134,KALYDECO,adverse reactions,discontinuous,10,26,0,,10,,0.0,
135,KALYDECO,warnings and precautions,all,6,6,4,3.0,2,0.5714285714285714,0.6666666666666666,0.6153846153846153
136,KALYDECO,warnings and precautions,exact-meddra,1,6,1,,0,,1.0,
137,KALYDECO,warnings and precautions,non-meddra,5,6,3,,2,,0.6,
138,KALYDECO,warnings and precautions,discontinuous,3,6,1,,2,,0.3333333333333333,
139,KALYDECO,all-concat,all,45,27,28,0.0,17,1.0,0.6222222222222222,0.7671232876712328
140,KALYDECO,all-concat,exact-meddra,25,27,25,,0,,1.0,
141,KALYDECO,all-concat,non-meddra,20,27,3,,17,,0.15,
142,KALYDECO,all-concat,discontinuous,13,27,1,,12,,0.07692307692307693,
143,FULYZAQ,adverse reactions,all,36,36,36,0.0,0,1.0,1.0,1.0
144,FULYZAQ,adverse reactions,exact-meddra,30,36,30,,0,,1.0,
145,FULYZAQ,adverse reactions,non-meddra,6,36,6,,0,,1.0,
146,FULYZAQ,all-concat,all,36,36,36,0.0,0,1.0,1.0,1.0
147,FULYZAQ,all-concat,exact-meddra,30,36,30,,0,,1.0,
148,FULYZAQ,all-concat,non-meddra,6,36,6,,0,,1.0,
149,QUTENZA,adverse reactions,all,40,37,38,0.0,2,1.0,0.95,0.9743589743589743
150,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
151,QUTENZA,adverse reactions,non-meddra,6,37,4,,2,,0.6666666666666666,
152,QUTENZA,warnings and precautions,all,6,10,5,5.0,1,0.5,0.8333333333333334,0.625
153,QUTENZA,warnings and precautions,exact-meddra,3,10,3,,0,,1.0,
154,QUTENZA,warnings and precautions,non-meddra,3,10,2,,1,,0.6666666666666666,
155,QUTENZA,all-concat,all,45,37,39,0.0,6,1.0,0.8666666666666667,0.9285714285714286
156,QUTENZA,all-concat,exact-meddra,37,37,35,,2,,0.9459459459459459,
157,QUTENZA,all-concat,non-meddra,8,37,4,,4,,0.5,
158,GRANIX,adverse reactions,all,15,14,13,1.0,2,0.9285714285714286,0.8666666666666667,0.896551724137931
159,GRANIX,adverse reactions,exact-meddra,5,14,5,,0,,1.0,
160,GRANIX,adverse reactions,non-meddra,10,14,8,,2,,0.8,
161,GRANIX,warnings and precautions,all,24,17,19,1.0,5,0.95,0.7916666666666666,0.8636363636363635
162,GRANIX,warnings and precautions,exact-meddra,17,17,16,,1,,0.9411764705882353,
163,GRANIX,warnings and precautions,non-meddra,7,17,3,,4,,0.42857142857142855,
164,GRANIX,warnings and precautions,discontinuous,1,17,0,,1,,0.0,
165,GRANIX,all-concat,all,35,24,24,2.0,11,0.9230769230769231,0.6857142857142857,0.7868852459016394
166,GRANIX,all-concat,exact-meddra,19,24,14,,5,,0.7368421052631579,
167,GRANIX,all-concat,non-meddra,16,24,10,,6,,0.625,
168,GRANIX,all-concat,discontinuous,1,24,0,,1,,0.0,
169,COARTEM,adverse reactions,all,81,79,80,0.0,1,1.0,0.9876543209876543,0.9937888198757764
170,COARTEM,adverse reactions,exact-meddra,78,79,78,,0,,1.0,
171,COARTEM,adverse reactions,non-meddra,3,79,2,,1,,0.6666666666666666,
172,COARTEM,warnings and precautions,all,2,19,2,18.0,0,0.1,1.0,0.18181818181818182
173,COARTEM,warnings and precautions,non-meddra,2,19,2,,0,,1.0,
174,COARTEM,all-concat,all,83,81,81,1.0,2,0.9878048780487805,0.9759036144578314,0.9818181818181818
175,COARTEM,all-concat,exact-meddra,78,81,76,,2,,0.9743589743589743,
