,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,106,100.0,6.0,28.0,0.9433962264150944,0.78125,0.8547008547008547
1,KYPROLIS,adverse reactions,exact-meddra,104,106,92.0,,12.0,,0.8846153846153846,
2,KYPROLIS,adverse reactions,non-meddra,25,106,8.0,,17.0,,0.32,
3,KYPROLIS,adverse reactions,negated,0,106,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,106,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,57,48.0,9.0,17.0,0.8421052631578947,0.7384615384615385,0.7868852459016393
6,KYPROLIS,warnings and precautions,exact-meddra,44,57,40.0,,4.0,,0.9090909090909091,
7,KYPROLIS,warnings and precautions,non-meddra,22,57,8.0,,14.0,,0.36363636363636365,
8,KYPROLIS,warnings and precautions,negated,0,57,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,57,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,30,30.0,0.0,128.0,1.0,0.189873417721519,0.3191489361702127
16,KYPROLIS,all-concat,exact-meddra,119,30,23.0,,96.0,,0.19327731092436976,
17,KYPROLIS,all-concat,non-meddra,40,30,7.0,,33.0,,0.175,
18,KYPROLIS,all-concat,negated,0,30,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,30,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,30,29.0,1.0,10.0,0.9666666666666667,0.7435897435897436,0.8405797101449275
21,MULTAQ,adverse reactions,exact-meddra,26,30,23.0,,3.0,,0.8846153846153846,
22,MULTAQ,adverse reactions,non-meddra,13,30,6.0,,7.0,,0.46153846153846156,
23,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,30,0.0,,5.0,,0.0,
25,MULTAQ,warnings and precautions,all,24,26,17.0,9.0,7.0,0.6538461538461539,0.7083333333333334,0.68
26,MULTAQ,warnings and precautions,exact-meddra,13,26,12.0,,1.0,,0.9230769230769231,
27,MULTAQ,warnings and precautions,non-meddra,11,26,5.0,,6.0,,0.45454545454545453,
28,MULTAQ,warnings and precautions,negated,0,26,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,26,1.0,,2.0,,0.3333333333333333,
30,MULTAQ,boxed warnings,all,3,4,3.0,1.0,0.0,0.75,1.0,0.8571428571428571
31,MULTAQ,boxed warnings,exact-meddra,3,4,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,4,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,4,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,4,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,38,34.0,4.0,22.0,0.8947368421052632,0.6071428571428571,0.7234042553191489
36,MULTAQ,all-concat,exact-meddra,32,38,27.0,,5.0,,0.84375,
37,MULTAQ,all-concat,non-meddra,24,38,7.0,,17.0,,0.2916666666666667,
38,MULTAQ,all-concat,negated,0,38,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,38,0.0,,8.0,,0.0,
40,JUBLIA,adverse reactions,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
41,JUBLIA,adverse reactions,exact-meddra,3,4,3.0,,0.0,,1.0,
42,JUBLIA,adverse reactions,non-meddra,2,4,1.0,,1.0,,0.5,
43,JUBLIA,adverse reactions,negated,0,4,0.0,,0.0,,,
44,JUBLIA,adverse reactions,discontinuous,0,4,0.0,,0.0,,,
45,JUBLIA,warnings and precautions,all,0,0,,,,,,
46,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
47,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
48,JUBLIA,warnings and precautions,negated,0,0,,,,,,
49,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
50,JUBLIA,boxed warnings,all,0,0,,,,,,
51,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
52,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
53,JUBLIA,boxed warnings,negated,0,0,,,,,,
54,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
55,JUBLIA,all-concat,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
56,JUBLIA,all-concat,exact-meddra,3,4,3.0,,0.0,,1.0,
57,JUBLIA,all-concat,non-meddra,2,4,1.0,,1.0,,0.5,
58,JUBLIA,all-concat,negated,0,4,0.0,,0.0,,,
59,JUBLIA,all-concat,discontinuous,0,4,0.0,,0.0,,,
60,TEFLARO,adverse reactions,all,30,30,29.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667
61,TEFLARO,adverse reactions,exact-meddra,26,30,26.0,,0.0,,1.0,
62,TEFLARO,adverse reactions,non-meddra,4,30,3.0,,1.0,,0.75,
63,TEFLARO,adverse reactions,negated,0,30,0.0,,0.0,,,
64,TEFLARO,adverse reactions,discontinuous,0,30,0.0,,0.0,,,
65,TEFLARO,warnings and precautions,all,10,8,2.0,6.0,8.0,0.25,0.2,0.22222222222222224
66,TEFLARO,warnings and precautions,exact-meddra,2,8,0.0,,2.0,,0.0,
67,TEFLARO,warnings and precautions,non-meddra,8,8,2.0,,6.0,,0.25,
68,TEFLARO,warnings and precautions,negated,0,8,0.0,,0.0,,,
69,TEFLARO,warnings and precautions,discontinuous,2,8,1.0,,1.0,,0.5,
70,TEFLARO,boxed warnings,all,0,0,,,,,,
71,TEFLARO,boxed warnings,exact-meddra,0,0,,,,,,
72,TEFLARO,boxed warnings,non-meddra,0,0,,,,,,
73,TEFLARO,boxed warnings,negated,0,0,,,,,,
74,TEFLARO,boxed warnings,discontinuous,0,0,,,,,,
75,TEFLARO,all-concat,all,36,30,28.0,2.0,8.0,0.9333333333333333,0.7777777777777778,0.8484848484848485
76,TEFLARO,all-concat,exact-meddra,27,30,25.0,,2.0,,0.9259259259259259,
77,TEFLARO,all-concat,non-meddra,9,30,3.0,,6.0,,0.3333333333333333,
78,TEFLARO,all-concat,negated,0,30,0.0,,0.0,,,
79,TEFLARO,all-concat,discontinuous,2,30,1.0,,1.0,,0.5,
80,DATSCAN,adverse reactions,all,11,10,10.0,0.0,1.0,1.0,0.9090909090909091,0.9523809523809523
81,DATSCAN,adverse reactions,exact-meddra,8,10,8.0,,0.0,,1.0,
82,DATSCAN,adverse reactions,non-meddra,3,10,2.0,,1.0,,0.6666666666666666,
83,DATSCAN,adverse reactions,negated,0,10,0.0,,0.0,,,
84,DATSCAN,adverse reactions,discontinuous,0,10,0.0,,0.0,,,
85,DATSCAN,warnings and precautions,all,3,5,3.0,2.0,0.0,0.6,1.0,0.7499999999999999
86,DATSCAN,warnings and precautions,exact-meddra,1,5,1.0,,0.0,,1.0,
87,DATSCAN,warnings and precautions,non-meddra,2,5,2.0,,0.0,,1.0,
88,DATSCAN,warnings and precautions,negated,0,5,0.0,,0.0,,,
89,DATSCAN,warnings and precautions,discontinuous,0,5,0.0,,0.0,,,
90,DATSCAN,boxed warnings,all,0,0,,,,,,
91,DATSCAN,boxed warnings,exact-meddra,0,0,,,,,,
92,DATSCAN,boxed warnings,non-meddra,0,0,,,,,,
93,DATSCAN,boxed warnings,negated,0,0,,,,,,
94,DATSCAN,boxed warnings,discontinuous,0,0,,,,,,
95,DATSCAN,all-concat,all,12,11,11.0,0.0,1.0,1.0,0.9166666666666666,0.9565217391304348
96,DATSCAN,all-concat,exact-meddra,9,11,9.0,,0.0,,1.0,
97,DATSCAN,all-concat,non-meddra,3,11,2.0,,1.0,,0.6666666666666666,
98,DATSCAN,all-concat,negated,0,11,0.0,,0.0,,,
99,DATSCAN,all-concat,discontinuous,0,11,0.0,,0.0,,,
100,TIVICAY,adverse reactions,all,45,51,33.0,18.0,12.0,0.6470588235294118,0.7333333333333333,0.6875
101,TIVICAY,adverse reactions,exact-meddra,30,51,25.0,,5.0,,0.8333333333333334,
102,TIVICAY,adverse reactions,non-meddra,15,51,8.0,,7.0,,0.5333333333333333,
103,TIVICAY,adverse reactions,negated,0,51,0.0,,0.0,,,
104,TIVICAY,adverse reactions,discontinuous,8,51,7.0,,1.0,,0.875,
105,TIVICAY,warnings and precautions,all,20,41,14.0,27.0,6.0,0.34146341463414637,0.7,0.4590163934426229
106,TIVICAY,warnings and precautions,exact-meddra,10,41,7.0,,3.0,,0.7,
