,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3953,398.0,1456,0.9085267754539187,0.7308190053614346,0.8100409836065574,0.8969366661154047,0.7619348222033826,0.8248011895608685
1,adverse reactions,discontinuous,45,,352,,0.11335012594458438,,,0.11889031732095823,
2,adverse reactions,exact-meddra,3474,,689,,0.8344943550324285,,,0.8587219176317075,
3,adverse reactions,negated,24,,49,,0.3287671232876712,,,0.2542857142857143,
4,adverse reactions,non-meddra,479,,768,,0.38412189254210105,,,0.4817829043364251,
5,all-concat,all,4296,738.0,3086,0.8533969010727056,0.5819561094554321,0.6920103092783505,0.8434388014407989,0.6193284113428084,0.7025539342505238
6,all-concat,discontinuous,73,,728,,0.09113607990012484,,,0.11024121964430446,
7,all-concat,exact-meddra,3686,,1141,,0.763621296871763,,,0.7900211297894125,
8,all-concat,negated,34,,98,,0.25757575757575757,,,0.2479591836734694,
9,all-concat,non-meddra,610,,1946,,0.23865414710485133,,,0.3027014519486985,
10,boxed warnings,all,177,147.0,97,0.5462962962962963,0.6459854014598541,0.5919732441471572,0.5395283663704716,0.6210452208323725,0.5704480334585338
11,boxed warnings,discontinuous,10,,27,,0.2702702702702703,,,0.20604395604395603,
12,boxed warnings,exact-meddra,116,,20,,0.8529411764705882,,,0.7625701972051717,
13,boxed warnings,negated,4,,1,,0.8,,,0.875,
14,boxed warnings,non-meddra,61,,77,,0.4420289855072464,,,0.39933473389355745,
15,warnings and precautions,all,1436,986.0,1291,0.5928984310487201,0.5265859919325265,0.5577782093610409,0.5650671965337146,0.5610400807841655,0.5299839743743318
16,warnings and precautions,discontinuous,60,,339,,0.15037593984962405,,,0.1785139520433638,
17,warnings and precautions,exact-meddra,932,,281,,0.7683429513602638,,,0.7774424007353116,
18,warnings and precautions,negated,13,,45,,0.22413793103448276,,,0.2511574074074074,
19,warnings and precautions,non-meddra,504,,1011,,0.3326732673267327,,,0.4029400748911297,
0,all,all,5566,1531.0,2844,0.7842750457939974,0.6618311533888228,0.685182095112937,0.7029838951843393,0.6566780647043893,0.6623724004630887
