,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,105,123,5.0,0,0.9609375,1.0,0.9800796812749004
1,KYPROLIS,adverse reactions,exact-meddra,104,105,102,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,105,21,,51,,0.2916666666666667,
3,KYPROLIS,adverse reactions,discontinuous,3,105,2,,96,,0.02040816326530612,
4,KYPROLIS,warnings and precautions,all,65,55,60,5.0,4,0.9230769230769231,0.9375,0.9302325581395349
5,KYPROLIS,warnings and precautions,exact-meddra,44,55,43,,6,,0.8775510204081632,
6,KYPROLIS,warnings and precautions,non-meddra,22,55,17,,24,,0.4146341463414634,
7,KYPROLIS,warnings and precautions,discontinuous,1,55,1,,51,,0.019230769230769232,
8,KYPROLIS,all-concat,all,158,97,150,8.0,0,0.9493670886075949,1.0,0.974025974025974
9,KYPROLIS,all-concat,exact-meddra,119,97,116,,1,,0.9914529914529915,
10,KYPROLIS,all-concat,non-meddra,40,97,34,,39,,0.4657534246575342,
11,KYPROLIS,all-concat,discontinuous,4,97,3,,86,,0.033707865168539325,
12,MULTAQ,adverse reactions,all,39,30,39,0.0,0,1.0,1.0,1.0
13,MULTAQ,adverse reactions,exact-meddra,26,30,26,,2,,0.9285714285714286,
14,MULTAQ,adverse reactions,non-meddra,13,30,13,,13,,0.5,
15,MULTAQ,adverse reactions,discontinuous,5,30,5,,25,,0.16666666666666666,
16,MULTAQ,warnings and precautions,all,25,20,24,1.0,0,0.96,1.0,0.9795918367346939
17,MULTAQ,warnings and precautions,exact-meddra,13,20,13,,2,,0.8666666666666667,
18,MULTAQ,warnings and precautions,non-meddra,12,20,11,,6,,0.6470588235294118,
19,MULTAQ,warnings and precautions,discontinuous,3,20,3,,16,,0.15789473684210525,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,37,54,3.0,1,0.9473684210526315,0.9818181818181818,0.9642857142857142
23,MULTAQ,all-concat,exact-meddra,32,37,32,,3,,0.9142857142857143,
24,MULTAQ,all-concat,non-meddra,25,37,22,,14,,0.6111111111111112,
25,MULTAQ,all-concat,discontinuous,8,37,7,,29,,0.19444444444444445,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,1,,0.75,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,3,,0.4,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,1,,0.75,
31,JUBLIA,all-concat,non-meddra,2,4,2,,3,,0.4,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,2,,0.9285714285714286,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,19,,0.17391304347826086,
35,TEFLARO,warnings and precautions,all,12,8,11,1.0,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
36,TEFLARO,warnings and precautions,exact-meddra,2,8,1,,7,,0.125,
37,TEFLARO,warnings and precautions,non-meddra,10,8,10,,1,,0.9090909090909091,
38,TEFLARO,warnings and precautions,negated,1,8,1,,7,,0.125,
39,TEFLARO,warnings and precautions,discontinuous,2,8,2,,6,,0.25,
40,TEFLARO,all-concat,all,38,31,37,1.0,0,0.9736842105263158,1.0,0.9866666666666666
41,TEFLARO,all-concat,exact-meddra,27,31,27,,2,,0.9310344827586207,
42,TEFLARO,all-concat,non-meddra,11,31,10,,16,,0.38461538461538464,
43,TEFLARO,all-concat,negated,1,31,1,,30,,0.03225806451612903,
44,TEFLARO,all-concat,discontinuous,2,31,2,,25,,0.07407407407407407,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,5,,0.375,
48,DATSCAN,warnings and precautions,all,3,5,3,0.0,1,1.0,0.75,0.8571428571428571
49,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,3,,0.25,
50,DATSCAN,warnings and precautions,non-meddra,2,5,2,,1,,0.6666666666666666,
51,DATSCAN,all-concat,all,12,13,12,0.0,1,1.0,0.9230769230769231,0.9600000000000001
52,DATSCAN,all-concat,exact-meddra,9,13,9,,1,,0.9,
53,DATSCAN,all-concat,non-meddra,3,13,3,,6,,0.3333333333333333,
54,TIVICAY,adverse reactions,all,45,39,45,0.0,0,1.0,1.0,1.0
55,TIVICAY,adverse reactions,exact-meddra,30,39,30,,9,,0.7692307692307693,
56,TIVICAY,adverse reactions,non-meddra,15,39,15,,20,,0.42857142857142855,
57,TIVICAY,adverse reactions,discontinuous,8,39,8,,23,,0.25806451612903225,
58,TIVICAY,warnings and precautions,all,29,42,28,1.0,9,0.9655172413793104,0.7567567567567568,0.8484848484848485
59,TIVICAY,warnings and precautions,exact-meddra,10,42,10,,20,,0.3333333333333333,
60,TIVICAY,warnings and precautions,non-meddra,19,42,18,,16,,0.5294117647058824,
61,TIVICAY,warnings and precautions,discontinuous,2,42,2,,38,,0.05,
62,TIVICAY,all-concat,all,71,59,68,3.0,1,0.9577464788732394,0.9855072463768116,0.9714285714285714
63,TIVICAY,all-concat,exact-meddra,37,59,36,,19,,0.6545454545454545,
64,TIVICAY,all-concat,non-meddra,34,59,32,,20,,0.6153846153846154,
65,TIVICAY,all-concat,discontinuous,10,59,10,,35,,0.2222222222222222,
66,TAFINLAR,adverse reactions,all,112,71,105,7.0,0,0.9375,1.0,0.967741935483871
67,TAFINLAR,adverse reactions,exact-meddra,94,71,89,,8,,0.9175257731958762,
68,TAFINLAR,adverse reactions,non-meddra,18,71,16,,52,,0.23529411764705882,
69,TAFINLAR,warnings and precautions,all,63,24,50,13.0,0,0.7936507936507936,1.0,0.8849557522123894
70,TAFINLAR,warnings and precautions,exact-meddra,28,24,25,,3,,0.8928571428571429,
71,TAFINLAR,warnings and precautions,non-meddra,35,24,25,,5,,0.8333333333333334,
72,TAFINLAR,warnings and precautions,discontinuous,2,24,2,,17,,0.10526315789473684,
73,TAFINLAR,all-concat,all,158,80,144,14.0,0,0.9113924050632911,1.0,0.9536423841059603
74,TAFINLAR,all-concat,exact-meddra,110,80,107,,7,,0.9385964912280702,
75,TAFINLAR,all-concat,non-meddra,48,80,37,,39,,0.4868421052631579,
76,TAFINLAR,all-concat,discontinuous,2,80,2,,71,,0.0273972602739726,
77,HORIZANT,adverse reactions,all,27,28,27,0.0,2,1.0,0.9310344827586207,0.9642857142857143
78,HORIZANT,adverse reactions,exact-meddra,26,28,26,,2,,0.9285714285714286,
79,HORIZANT,adverse reactions,non-meddra,1,28,1,,26,,0.037037037037037035,
80,HORIZANT,warnings and precautions,all,40,20,30,10.0,1,0.75,0.967741935483871,0.8450704225352113
81,HORIZANT,warnings and precautions,exact-meddra,17,20,16,,5,,0.7619047619047619,
82,HORIZANT,warnings and precautions,non-meddra,23,20,14,,10,,0.5833333333333334,
83,HORIZANT,warnings and precautions,negated,2,20,2,,15,,0.11764705882352941,
84,HORIZANT,warnings and precautions,discontinuous,12,20,5,,17,,0.22727272727272727,
85,HORIZANT,all-concat,all,62,33,45,17.0,1,0.7258064516129032,0.9782608695652174,0.8333333333333333
86,HORIZANT,all-concat,exact-meddra,38,33,30,,6,,0.8333333333333334,
87,HORIZANT,all-concat,non-meddra,24,33,15,,23,,0.39473684210526316,
88,HORIZANT,all-concat,negated,2,33,2,,30,,0.0625,
89,HORIZANT,all-concat,discontinuous,12,33,7,,28,,0.2,
90,IMBRUVICA,adverse reactions,all,70,61,70,0.0,1,1.0,0.9859154929577465,0.9929078014184397
91,IMBRUVICA,adverse reactions,exact-meddra,55,61,55,,4,,0.9322033898305084,
92,IMBRUVICA,adverse reactions,non-meddra,15,61,15,,34,,0.30612244897959184,
93,IMBRUVICA,adverse reactions,discontinuous,2,61,2,,59,,0.03278688524590164,
94,IMBRUVICA,warnings and precautions,all,32,34,32,0.0,1,1.0,0.9696969696969697,0.9846153846153847
95,IMBRUVICA,warnings and precautions,exact-meddra,16,34,16,,8,,0.6666666666666666,
96,IMBRUVICA,warnings and precautions,non-meddra,16,34,16,,8,,0.6666666666666666,
97,IMBRUVICA,all-concat,all,89,76,88,1.0,0,0.9887640449438202,1.0,0.9943502824858756
98,IMBRUVICA,all-concat,exact-meddra,62,76,62,,3,,0.9538461538461539,
99,IMBRUVICA,all-concat,non-meddra,27,76,26,,34,,0.43333333333333335,
100,IMBRUVICA,all-concat,discontinuous,2,76,2,,74,,0.02631578947368421,
101,ULORIC,adverse reactions,all,210,163,197,13.0,0,0.9380952380952381,1.0,0.9680589680589681
102,ULORIC,adverse reactions,exact-meddra,187,163,177,,1,,0.9943820224719101,
103,ULORIC,adverse reactions,non-meddra,23,163,20,,113,,0.15037593984962405,
104,ULORIC,adverse reactions,discontinuous,18,163,16,,105,,0.1322314049586777,
105,ULORIC,warnings and precautions,all,11,18,11,0.0,7,1.0,0.6111111111111112,0.7586206896551725
106,ULORIC,warnings and precautions,exact-meddra,2,18,2,,13,,0.13333333333333333,
107,ULORIC,warnings and precautions,non-meddra,9,18,9,,8,,0.5294117647058824,
108,ULORIC,all-concat,all,218,190,218,0.0,0,1.0,1.0,1.0
109,ULORIC,all-concat,exact-meddra,188,190,188,,1,,0.9947089947089947,
110,ULORIC,all-concat,non-meddra,30,190,30,,96,,0.23809523809523808,
111,ULORIC,all-concat,discontinuous,18,190,18,,108,,0.14285714285714285,
112,CIMZIA,adverse reactions,all,107,66,98,9.0,0,0.9158878504672897,1.0,0.9560975609756098
113,CIMZIA,adverse reactions,exact-meddra,76,66,71,,1,,0.9861111111111112,
114,CIMZIA,adverse reactions,non-meddra,31,66,27,,24,,0.5294117647058824,
115,CIMZIA,adverse reactions,negated,1,66,1,,49,,0.02,
116,CIMZIA,adverse reactions,discontinuous,10,66,5,,48,,0.09433962264150944,
117,CIMZIA,warnings and precautions,all,72,48,72,0.0,0,1.0,1.0,1.0
118,CIMZIA,warnings and precautions,exact-meddra,25,48,25,,7,,0.78125,
119,CIMZIA,warnings and precautions,non-meddra,47,48,47,,6,,0.8867924528301887,
120,CIMZIA,warnings and precautions,negated,2,48,2,,40,,0.047619047619047616,
121,CIMZIA,warnings and precautions,discontinuous,10,48,10,,26,,0.2777777777777778,
122,CIMZIA,boxed warnings,all,27,23,27,0.0,1,1.0,0.9642857142857143,0.9818181818181818
123,CIMZIA,boxed warnings,exact-meddra,13,23,13,,3,,0.8125,
124,CIMZIA,boxed warnings,non-meddra,14,23,14,,3,,0.8235294117647058,
125,CIMZIA,boxed warnings,discontinuous,8,23,8,,4,,0.6666666666666666,
126,CIMZIA,all-concat,all,172,94,164,8.0,1,0.9534883720930233,0.9939393939393939,0.973293768545994
127,CIMZIA,all-concat,exact-meddra,92,94,91,,2,,0.978494623655914,
128,CIMZIA,all-concat,non-meddra,80,94,73,,26,,0.7373737373737373,
129,CIMZIA,all-concat,negated,3,94,2,,70,,0.027777777777777776,
130,CIMZIA,all-concat,discontinuous,27,94,24,,55,,0.3037974683544304,
131,KALYDECO,adverse reactions,all,40,26,32,8.0,0,0.8,1.0,0.888888888888889
132,KALYDECO,adverse reactions,exact-meddra,24,26,24,,1,,0.96,
133,KALYDECO,adverse reactions,non-meddra,16,26,8,,21,,0.27586206896551724,
134,KALYDECO,adverse reactions,discontinuous,10,26,3,,23,,0.11538461538461539,
135,KALYDECO,warnings and precautions,all,6,4,6,0.0,0,1.0,1.0,1.0
136,KALYDECO,warnings and precautions,exact-meddra,1,4,1,,2,,0.3333333333333333,
137,KALYDECO,warnings and precautions,non-meddra,5,4,5,,0,,1.0,
138,KALYDECO,warnings and precautions,discontinuous,3,4,3,,0,,1.0,
139,KALYDECO,all-concat,all,45,27,37,8.0,0,0.8222222222222222,1.0,0.9024390243902439
140,KALYDECO,all-concat,exact-meddra,25,27,25,,1,,0.9615384615384616,
141,KALYDECO,all-concat,non-meddra,20,27,12,,21,,0.36363636363636365,
142,KALYDECO,all-concat,discontinuous,13,27,6,,22,,0.21428571428571427,
143,FULYZAQ,adverse reactions,all,36,36,36,0.0,0,1.0,1.0,1.0
144,FULYZAQ,adverse reactions,exact-meddra,30,36,30,,6,,0.8333333333333334,
145,FULYZAQ,adverse reactions,non-meddra,6,36,6,,30,,0.16666666666666666,
146,FULYZAQ,all-concat,all,36,36,36,0.0,0,1.0,1.0,1.0
147,FULYZAQ,all-concat,exact-meddra,30,36,30,,6,,0.8333333333333334,
