,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,105,110,0.0,18,1.0,0.859375,0.9243697478991597
1,KYPROLIS,adverse reactions,exact-meddra,104,105,97,,7,,0.9326923076923077,
2,KYPROLIS,adverse reactions,non-meddra,25,105,13,,12,,0.52,
3,KYPROLIS,adverse reactions,discontinuous,3,105,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,55,52,8.0,13,0.8666666666666667,0.8,0.832
5,KYPROLIS,warnings and precautions,exact-meddra,44,55,40,,4,,0.9090909090909091,
6,KYPROLIS,warnings and precautions,non-meddra,22,55,12,,10,,0.5454545454545454,
7,KYPROLIS,warnings and precautions,discontinuous,1,55,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,97,114,0.0,44,1.0,0.7215189873417721,0.8382352941176471
9,KYPROLIS,all-concat,exact-meddra,119,97,95,,24,,0.7983193277310925,
10,KYPROLIS,all-concat,non-meddra,40,97,19,,21,,0.475,
11,KYPROLIS,all-concat,discontinuous,4,97,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,30,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
13,MULTAQ,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,30,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,30,5,,0,,1.0,
16,MULTAQ,warnings and precautions,all,25,20,21,2.0,4,0.9130434782608695,0.84,0.8749999999999999
17,MULTAQ,warnings and precautions,exact-meddra,13,20,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,20,9,,3,,0.75,
19,MULTAQ,warnings and precautions,discontinuous,3,20,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,37,48,2.0,9,0.96,0.8421052631578947,0.8971962616822429
23,MULTAQ,all-concat,exact-meddra,32,37,30,,2,,0.9375,
24,MULTAQ,all-concat,non-meddra,25,37,18,,7,,0.72,
25,MULTAQ,all-concat,discontinuous,8,37,8,,0,,1.0,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,12,8,8,2.0,4,0.8,0.6666666666666666,0.7272727272727272
36,TEFLARO,warnings and precautions,exact-meddra,2,8,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,8,6,,4,,0.6,
38,TEFLARO,warnings and precautions,negated,1,8,1,,0,,1.0,
39,TEFLARO,warnings and precautions,discontinuous,2,8,2,,0,,1.0,
40,TEFLARO,all-concat,all,38,31,32,1.0,6,0.9696969696969697,0.8421052631578947,0.9014084507042254
41,TEFLARO,all-concat,exact-meddra,27,31,27,,0,,1.0,
42,TEFLARO,all-concat,non-meddra,11,31,5,,6,,0.45454545454545453,
43,TEFLARO,all-concat,negated,1,31,1,,0,,1.0,
44,TEFLARO,all-concat,discontinuous,2,31,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,0,,1.0,
48,DATSCAN,warnings and precautions,all,3,5,3,2.0,0,0.6,1.0,0.7499999999999999
49,DATSCAN,warnings and precautions,exact-meddra,1,5,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,5,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,13,12,2.0,0,0.8571428571428571,1.0,0.923076923076923
52,DATSCAN,all-concat,exact-meddra,9,13,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,13,3,,0,,1.0,
54,TIVICAY,adverse reactions,all,45,39,34,6.0,11,0.85,0.7555555555555555,0.7999999999999998
55,TIVICAY,adverse reactions,exact-meddra,30,39,28,,2,,0.9333333333333333,
56,TIVICAY,adverse reactions,non-meddra,15,39,6,,9,,0.4,
57,TIVICAY,adverse reactions,discontinuous,8,39,4,,4,,0.5,
58,TIVICAY,warnings and precautions,all,29,42,26,16.0,3,0.6190476190476191,0.896551724137931,0.732394366197183
59,TIVICAY,warnings and precautions,exact-meddra,10,42,10,,0,,1.0,
60,TIVICAY,warnings and precautions,non-meddra,19,42,16,,3,,0.8421052631578947,
61,TIVICAY,warnings and precautions,discontinuous,2,42,1,,1,,0.5,
62,TIVICAY,all-concat,all,71,59,54,5.0,17,0.9152542372881356,0.7605633802816901,0.8307692307692307
63,TIVICAY,all-concat,exact-meddra,37,59,33,,4,,0.8918918918918919,
64,TIVICAY,all-concat,non-meddra,34,59,21,,13,,0.6176470588235294,
65,TIVICAY,all-concat,discontinuous,10,59,6,,4,,0.6,
66,TAFINLAR,adverse reactions,all,112,71,93,0.0,19,1.0,0.8303571428571429,0.9073170731707317
67,TAFINLAR,adverse reactions,exact-meddra,94,71,80,,14,,0.851063829787234,
68,TAFINLAR,adverse reactions,non-meddra,18,71,13,,5,,0.7222222222222222,
69,TAFINLAR,warnings and precautions,all,63,24,33,1.0,30,0.9705882352941176,0.5238095238095238,0.6804123711340205
70,TAFINLAR,warnings and precautions,exact-meddra,28,24,17,,11,,0.6071428571428571,
71,TAFINLAR,warnings and precautions,non-meddra,35,24,16,,19,,0.45714285714285713,
72,TAFINLAR,warnings and precautions,discontinuous,2,24,2,,0,,1.0,
73,TAFINLAR,all-concat,all,158,80,111,1.0,47,0.9910714285714286,0.7025316455696202,0.8222222222222222
74,TAFINLAR,all-concat,exact-meddra,110,80,84,,26,,0.7636363636363637,
75,TAFINLAR,all-concat,non-meddra,48,80,27,,21,,0.5625,
76,TAFINLAR,all-concat,discontinuous,2,80,2,,0,,1.0,
77,HORIZANT,adverse reactions,all,27,28,27,2.0,0,0.9310344827586207,1.0,0.9642857142857143
78,HORIZANT,adverse reactions,exact-meddra,26,28,26,,0,,1.0,
79,HORIZANT,adverse reactions,non-meddra,1,28,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,20,24,2.0,16,0.9230769230769231,0.6,0.7272727272727274
81,HORIZANT,warnings and precautions,exact-meddra,17,20,15,,2,,0.8823529411764706,
82,HORIZANT,warnings and precautions,non-meddra,23,20,9,,14,,0.391304347826087,
83,HORIZANT,warnings and precautions,negated,2,20,2,,0,,1.0,
84,HORIZANT,warnings and precautions,discontinuous,12,20,2,,10,,0.16666666666666666,
85,HORIZANT,all-concat,all,62,33,38,1.0,24,0.9743589743589743,0.6129032258064516,0.7524752475247525
86,HORIZANT,all-concat,exact-meddra,38,33,28,,10,,0.7368421052631579,
87,HORIZANT,all-concat,non-meddra,24,33,10,,14,,0.4166666666666667,
88,HORIZANT,all-concat,negated,2,33,1,,1,,0.5,
89,HORIZANT,all-concat,discontinuous,12,33,1,,11,,0.08333333333333333,
90,IMBRUVICA,adverse reactions,all,70,61,58,4.0,12,0.9354838709677419,0.8285714285714286,0.8787878787878788
91,IMBRUVICA,adverse reactions,exact-meddra,55,61,50,,5,,0.9090909090909091,
92,IMBRUVICA,adverse reactions,non-meddra,15,61,8,,7,,0.5333333333333333,
93,IMBRUVICA,adverse reactions,discontinuous,2,61,0,,2,,0.0,
94,IMBRUVICA,warnings and precautions,all,32,34,32,6.0,0,0.8421052631578947,1.0,0.9142857142857143
95,IMBRUVICA,warnings and precautions,exact-meddra,16,34,16,,0,,1.0,
96,IMBRUVICA,warnings and precautions,non-meddra,16,34,16,,0,,1.0,
97,IMBRUVICA,all-concat,all,89,76,76,7.0,13,0.9156626506024096,0.8539325842696629,0.883720930232558
98,IMBRUVICA,all-concat,exact-meddra,62,76,57,,5,,0.9193548387096774,
99,IMBRUVICA,all-concat,non-meddra,27,76,19,,8,,0.7037037037037037,
100,IMBRUVICA,all-concat,discontinuous,2,76,0,,2,,0.0,
101,ULORIC,adverse reactions,all,210,163,166,0.0,44,1.0,0.7904761904761904,0.8829787234042553
102,ULORIC,adverse reactions,exact-meddra,187,163,154,,33,,0.8235294117647058,
103,ULORIC,adverse reactions,non-meddra,23,163,12,,11,,0.5217391304347826,
104,ULORIC,adverse reactions,discontinuous,18,163,7,,11,,0.3888888888888889,
105,ULORIC,warnings and precautions,all,11,18,9,9.0,2,0.5,0.8181818181818182,0.6206896551724137
106,ULORIC,warnings and precautions,exact-meddra,2,18,2,,0,,1.0,
107,ULORIC,warnings and precautions,non-meddra,9,18,7,,2,,0.7777777777777778,
108,ULORIC,all-concat,all,218,190,198,2.0,20,0.99,0.908256880733945,0.9473684210526316
109,ULORIC,all-concat,exact-meddra,188,190,177,,11,,0.9414893617021277,
110,ULORIC,all-concat,non-meddra,30,190,21,,9,,0.7,
111,ULORIC,all-concat,discontinuous,18,190,5,,13,,0.2777777777777778,
