,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3863.0,423.0,1474.0,0.9013065795613626,0.7238148772718755,0.8028681284422737,0.8763847401705422,0.750730494058612,0.816492453248361
1,adverse reactions,discontinuous,57.0,,331.0,,0.14690721649484537,,,0.17044817927170866,
2,adverse reactions,exact-meddra,3431.0,,732.0,,0.8241652654335816,,,0.8423359378248295,
3,adverse reactions,negated,13.0,,19.0,,0.40625,,,0.39285714285714285,
4,adverse reactions,non-meddra,432.0,,743.0,,0.3676595744680851,,,0.47602960673565464,
5,all-concat,all,4369.0,701.0,2669.0,0.8617357001972387,0.6207729468599034,0.7216716220680542,0.8361155630083803,0.651592151251369,0.7214376005623967
6,all-concat,discontinuous,77.0,,665.0,,0.10377358490566038,,,0.10364580055410548,
7,all-concat,exact-meddra,3814.0,,1013.0,,0.7901388025688834,,,0.8078904906060327,
8,all-concat,negated,24.0,,35.0,,0.4067796610169492,,,0.4116161616161616,
9,all-concat,non-meddra,555.0,,1657.0,,0.25090415913200725,,,0.3277113579874762,
10,boxed warnings,all,167.0,153.0,95.0,0.521875,0.6374045801526718,0.5738831615120275,0.5461834631171015,0.6486905029668187,0.5780105539345012
11,boxed warnings,discontinuous,9.0,,24.0,,0.2727272727272727,,,0.19805194805194803,
12,boxed warnings,exact-meddra,109.0,,27.0,,0.8014705882352942,,,0.6959035305385051,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,58.0,,68.0,,0.4603174603174603,,,0.4897907647907648,
15,warnings and precautions,all,1265.0,1156.0,1187.0,0.5225113589425857,0.515905383360522,0.5191873589164786,0.49251730887766143,0.5403372807019949,0.5018465659841301
16,warnings and precautions,discontinuous,52.0,,298.0,,0.14857142857142858,,,0.17155483405483407,
17,warnings and precautions,exact-meddra,893.0,,320.0,,0.7361912613355317,,,0.7414229753215735,
18,warnings and precautions,negated,10.0,,17.0,,0.37037037037037035,,,0.42156862745098034,
19,warnings and precautions,non-meddra,372.0,,868.0,,0.3,,,0.35923576984937083,
0,all,all,5295.0,1732.0,2756.0,0.7535221289312651,0.6576822754937275,0.6709073776796032,0.6632701307256936,0.6478251493252222,0.6488942300244877
