,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5241,168.0,63,0.968940654464781,0.9881221719457014,0.9784374124894988,0.9724201318409259,0.983506158260764,0.9766988063072118
1,adverse reactions,discontinuous,362,,2868,,0.11207430340557276,,,0.1457793738429844,
2,adverse reactions,exact-meddra,4097,,313,,0.9290249433106575,,,0.9135992536373804,
3,adverse reactions,negated,68,,1483,,0.04384268214055448,,,0.0675570260920828,
4,adverse reactions,non-meddra,1145,,2637,,0.30274986779481755,,,0.3219942123659082,
5,all-concat,all,6888,494.0,113,0.9330804659983745,0.9838594486501928,0.9577973997079886,0.93767909926878,0.968162443563946,0.9492191907583225
6,all-concat,discontinuous,685,,3437,,0.16618146530810285,,,0.16776816792415447,
7,all-concat,exact-meddra,4690,,390,,0.9232283464566929,,,0.8914104763528888,
8,all-concat,negated,118,,2268,,0.04945515507124895,,,0.06305843560474338,
9,all-concat,non-meddra,2198,,2422,,0.47575757575757577,,,0.44883802023670455,
10,boxed warnings,all,267,7.0,61,0.9744525547445255,0.8140243902439024,0.8870431893687707,0.9843984962406015,0.8515733778891674,0.8945616639560503
11,boxed warnings,discontinuous,36,,64,,0.36,,,0.4261405261405261,
12,boxed warnings,exact-meddra,136,,93,,0.5938864628820961,,,0.6018265380128023,
13,boxed warnings,negated,5,,40,,0.1111111111111111,,,0.6729166666666666,
14,boxed warnings,non-meddra,131,,148,,0.46953405017921146,,,0.5611772826214639,
15,warnings and precautions,all,2486,241.0,319,0.9116244957829116,0.8862745098039215,0.8987707881417208,0.9335539731546767,0.8246233005111727,0.8531530990510607
16,warnings and precautions,discontinuous,342,,1534,,0.18230277185501065,,,0.22472312734450792,
17,warnings and precautions,exact-meddra,1150,,757,,0.6030414263240692,,,0.5387482504959591,
18,warnings and precautions,negated,53,,641,,0.07636887608069164,,,0.0998920668503994,
19,warnings and precautions,non-meddra,1336,,851,,0.6108824874256973,,,0.5861096963252255,
0,all,all,7994,416.0,443,0.9505350772889417,0.9474931847813204,0.9291229875548276,0.9583742015638984,0.8969591970072428,0.9126939545564033
