,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4552,176.0,857,0.9627749576988156,0.8415603623590312,0.8980960836539409,0.962887623584268,0.8683703422725958,0.908207596970812
1,adverse reactions,discontinuous,193,,204,,0.48614609571788414,,,0.459430470514755,
2,adverse reactions,exact-meddra,3790,,373,,0.9104011530146529,,,0.9314515224195264,
3,adverse reactions,negated,35,,38,,0.4794520547945205,,,0.44571428571428573,
4,adverse reactions,non-meddra,763,,484,,0.6118684843624699,,,0.6901936149425633,
5,all-concat,all,5250,351.0,2132,0.9373326191751473,0.7111893795719317,0.8087499037202497,0.9208207774551328,0.7546823245980974,0.8188356173287368
6,all-concat,discontinuous,302,,499,,0.37702871410736577,,,0.3820755783673638,
7,all-concat,exact-meddra,4053,,774,,0.8396519577377253,,,0.8789930226413796,
8,all-concat,negated,60,,72,,0.45454545454545453,,,0.4977324263038549,
9,all-concat,non-meddra,1197,,1359,,0.46830985915492956,,,0.527881878964491,
10,boxed warnings,all,240,83.0,34,0.7430340557275542,0.8759124087591241,0.8040201005025126,0.7830723954408164,0.9243194320013205,0.8233940460952845
11,boxed warnings,discontinuous,25,,12,,0.6756756756756757,,,0.6254578754578755,
12,boxed warnings,exact-meddra,132,,4,,0.9705882352941176,,,0.9588089330024814,
13,boxed warnings,negated,4,,1,,0.8,,,0.75,
14,boxed warnings,non-meddra,108,,30,,0.782608695652174,,,0.8301470588235295,
15,warnings and precautions,all,1961,667.0,766,0.7461948249619482,0.7191052438577191,0.7323996265172735,0.7028925116381967,0.7697571692691988,0.7016635790832979
16,warnings and precautions,discontinuous,190,,209,,0.47619047619047616,,,0.5483311005369829,
17,warnings and precautions,exact-meddra,1063,,150,,0.8763396537510305,,,0.9219597541973203,
18,warnings and precautions,negated,34,,24,,0.5862068965517241,,,0.7037037037037037,
19,warnings and precautions,non-meddra,898,,617,,0.5927392739273928,,,0.6604666101239692,
0,all,all,6753,926.0,1657,0.8794113816903243,0.8029726516052319,0.8206332166107302,0.8270719264307931,0.8368474084944689,0.8096580856642065
