,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3940,418.0,1469,0.9040844424047728,0.7284156036235903,0.8067984027848878,0.8836881188675338,0.7553965738361781,0.8230066718389624
1,adverse reactions,discontinuous,57,,340,,0.14357682619647355,,,0.15256107418091616,
2,adverse reactions,exact-meddra,3470,,693,,0.8335335094883497,,,0.8525668925270107,
3,adverse reactions,hypothetical,50,,30,,0.625,,,0.537192118226601,
4,adverse reactions,negated,22,,51,,0.3013698630136986,,,0.24000000000000002,
5,adverse reactions,non-meddra,470,,777,,0.3769045709703288,,,0.4830804117779692,
6,all-concat,all,4216,643.0,3166,0.867668244494752,0.5711189379571932,0.6888326117147291,0.8541224885496538,0.6149472579570107,0.7001233224531982
7,all-concat,discontinuous,63,,738,,0.07865168539325842,,,0.08915025944421553,
8,all-concat,exact-meddra,3614,,1213,,0.7487051999171328,,,0.7844760109978495,
9,all-concat,hypothetical,360,,660,,0.35294117647058826,,,0.40679923676598045,
10,all-concat,negated,32,,100,,0.24242424242424243,,,0.2473922902494331,
11,all-concat,non-meddra,602,,1954,,0.23552425665101723,,,0.30807015388878817,
12,boxed warnings,all,173,144.0,101,0.5457413249211357,0.6313868613138686,0.5854483925549915,0.5444305429831746,0.6027877716538708,0.5671540298567326
13,boxed warnings,discontinuous,11,,26,,0.2972972972972973,,,0.21886446886446884,
14,boxed warnings,exact-meddra,113,,23,,0.8308823529411765,,,0.7227852509686126,
15,boxed warnings,hypothetical,77,,44,,0.6363636363636364,,,0.6454414272596091,
16,boxed warnings,negated,4,,1,,0.8,,,0.875,
17,boxed warnings,non-meddra,60,,78,,0.43478260869565216,,,0.3875700280112045,
18,warnings and precautions,all,1382,1048.0,1345,0.568724279835391,0.5067840117345068,0.5359705254993213,0.5391047777352291,0.5479697249801954,0.5061236371712142
19,warnings and precautions,discontinuous,63,,336,,0.15789473684210525,,,0.238022113022113,
20,warnings and precautions,exact-meddra,898,,315,,0.7403132728771641,,,0.7449759852446121,
21,warnings and precautions,hypothetical,431,,478,,0.47414741474147415,,,0.5616088248695796,
22,warnings and precautions,negated,12,,46,,0.20689655172413793,,,0.2604166666666667,
23,warnings and precautions,non-meddra,484,,1031,,0.3194719471947195,,,0.3994191700207345,
0,all,all,5495,1610.0,2915,0.7733990147783252,0.6533888228299644,0.6729595858929477,0.6874323054207576,0.6455680195058475,0.650456448164653
