,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,93,90,3.0,38,0.967741935483871,0.703125,0.8144796380090498
1,KYPROLIS,adverse reactions,exact-meddra,104,93,82,,22,,0.7884615384615384,
2,KYPROLIS,adverse reactions,non-meddra,25,93,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,93,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,22,22,0.0,43,1.0,0.3384615384615385,0.5057471264367815
5,KYPROLIS,warnings and precautions,exact-meddra,44,22,18,,26,,0.4090909090909091,
6,KYPROLIS,warnings and precautions,non-meddra,22,22,4,,18,,0.18181818181818182,
7,KYPROLIS,warnings and precautions,discontinuous,1,22,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,106,101,5.0,57,0.9528301886792453,0.6392405063291139,0.7651515151515151
9,KYPROLIS,all-concat,exact-meddra,119,106,89,,30,,0.7478991596638656,
10,KYPROLIS,all-concat,non-meddra,40,106,12,,28,,0.3,
11,KYPROLIS,all-concat,discontinuous,4,106,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,30,28,2.0,11,0.9333333333333333,0.717948717948718,0.8115942028985509
13,MULTAQ,adverse reactions,exact-meddra,26,30,23,,3,,0.8846153846153846,
14,MULTAQ,adverse reactions,non-meddra,13,30,5,,8,,0.38461538461538464,
15,MULTAQ,adverse reactions,discontinuous,5,30,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,25,16,9.0,9,0.64,0.64,0.64
17,MULTAQ,warnings and precautions,exact-meddra,13,25,11,,2,,0.8461538461538461,
18,MULTAQ,warnings and precautions,non-meddra,12,25,5,,7,,0.4166666666666667,
19,MULTAQ,warnings and precautions,discontinuous,3,25,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,4,3,1.0,0,0.75,1.0,0.8571428571428571
21,MULTAQ,boxed warnings,exact-meddra,3,4,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,44,36,8.0,21,0.8181818181818182,0.631578947368421,0.712871287128713
23,MULTAQ,all-concat,exact-meddra,32,44,27,,5,,0.84375,
24,MULTAQ,all-concat,non-meddra,25,44,9,,16,,0.36,
25,MULTAQ,all-concat,discontinuous,8,44,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,36,29,7.0,1,0.8055555555555556,0.9666666666666667,0.8787878787878789
33,TEFLARO,adverse reactions,exact-meddra,26,36,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,36,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,9,2,7.0,10,0.2222222222222222,0.16666666666666666,0.1904761904761905
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,2,,8,,0.2,
38,TEFLARO,warnings and precautions,negated,1,9,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,9,1,,1,,0.5,
40,TEFLARO,all-concat,all,38,31,29,2.0,9,0.9354838709677419,0.7631578947368421,0.8405797101449276
41,TEFLARO,all-concat,exact-meddra,27,31,26,,1,,0.9629629629629629,
42,TEFLARO,all-concat,non-meddra,11,31,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,31,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,31,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
48,DATSCAN,warnings and precautions,all,3,7,3,4.0,0,0.42857142857142855,1.0,0.6
49,DATSCAN,warnings and precautions,exact-meddra,1,7,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,7,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,16,11,5.0,1,0.6875,0.9166666666666666,0.7857142857142857
52,DATSCAN,all-concat,exact-meddra,9,16,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,16,2,,1,,0.6666666666666666,
54,TIVICAY,adverse reactions,all,45,52,38,14.0,7,0.7307692307692307,0.8444444444444444,0.7835051546391751
55,TIVICAY,adverse reactions,exact-meddra,30,52,27,,3,,0.9,
56,TIVICAY,adverse reactions,non-meddra,15,52,11,,4,,0.7333333333333333,
57,TIVICAY,adverse reactions,discontinuous,8,52,7,,1,,0.875,
58,TIVICAY,warnings and precautions,all,29,26,17,9.0,12,0.6538461538461539,0.5862068965517241,0.6181818181818182
59,TIVICAY,warnings and precautions,exact-meddra,10,26,6,,4,,0.6,
60,TIVICAY,warnings and precautions,non-meddra,19,26,11,,8,,0.5789473684210527,
61,TIVICAY,warnings and precautions,discontinuous,2,26,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,51,29,22.0,42,0.5686274509803921,0.4084507042253521,0.47540983606557374
63,TIVICAY,all-concat,exact-meddra,37,51,24,,13,,0.6486486486486487,
64,TIVICAY,all-concat,non-meddra,34,51,5,,29,,0.14705882352941177,
65,TIVICAY,all-concat,discontinuous,10,51,0,,10,,0.0,
66,TAFINLAR,adverse reactions,all,112,72,63,9.0,49,0.875,0.5625,0.6847826086956522
67,TAFINLAR,adverse reactions,exact-meddra,94,72,54,,40,,0.574468085106383,
68,TAFINLAR,adverse reactions,non-meddra,18,72,9,,9,,0.5,
