,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5123,286.0,91,0.9471251617674247,0.9825469888761028,0.9645109667702156,0.9523853355952885,0.9752676270383109,0.9620992583256194
1,adverse reactions,discontinuous,339,,3016,,0.10104321907600596,,,0.12679937289849377,
2,adverse reactions,exact-meddra,4052,,435,,0.9030532649877424,,,0.8842897963667025,
3,adverse reactions,hypothetical,71,,1128,,0.05921601334445371,,,0.07783111154078985,
4,adverse reactions,negated,62,,1599,,0.03732691149909693,,,0.05694555861740396,
5,adverse reactions,non-meddra,1071,,3094,,0.2571428571428571,,,0.27539622511941764,
6,all-concat,all,6589,793.0,196,0.8925765375237064,0.9711127487103905,0.9301898778852263,0.9068832211525136,0.9552614347546352,0.9261848114123693
7,all-concat,discontinuous,645,,3863,,0.14307897071872228,,,0.149993593995421,
8,all-concat,exact-meddra,4560,,633,,0.878105141536684,,,0.8475055780235866,
9,all-concat,hypothetical,823,,3337,,0.19783653846153845,,,0.20368396833961594,
10,all-concat,negated,108,,2601,,0.03986710963455149,,,0.052058147013835064,
11,all-concat,non-meddra,2029,,3126,,0.39359844810863237,,,0.379843161794516,
12,boxed warnings,all,266,8.0,76,0.9708029197080292,0.7777777777777778,0.8636363636363636,0.9799150654413813,0.8030204674560977,0.8595141476845561
13,boxed warnings,discontinuous,34,,93,,0.2677165354330709,,,0.3161664422533988,
14,boxed warnings,exact-meddra,136,,118,,0.5354330708661418,,,0.5498438499459454,
15,boxed warnings,hypothetical,116,,150,,0.43609022556390975,,,0.5683048879311376,
16,boxed warnings,negated,5,,43,,0.10416666666666667,,,0.33974358974358976,
17,boxed warnings,non-meddra,130,,173,,0.429042904290429,,,0.5119293394868842,
18,warnings and precautions,all,2422,305.0,398,0.8881554822148882,0.8588652482269503,0.8732648278348656,0.9154117647872579,0.7950597195626378,0.8256397148103398
19,warnings and precautions,discontinuous,350,,1630,,0.17676767676767677,,,0.2055751862314931,
20,warnings and precautions,exact-meddra,1114,,954,,0.5386847195357833,,,0.479845706459385,
21,warnings and precautions,hypothetical,801,,1323,,0.3771186440677966,,,0.38968145897836054,
22,warnings and precautions,negated,46,,739,,0.05859872611464968,,,0.08243782882191007,
23,warnings and precautions,non-meddra,1308,,1099,,0.5434150394682177,,,0.5269624783748312,
0,all,all,7811,599.0,565,0.9287752675386445,0.9325453677172875,0.9063098286923338,0.9416213244333078,0.873464410558377,0.8894941315233207
