,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4446.0,229.0,891.0,0.9510160427807487,0.8330522765598651,0.888134238913304,0.9475151440729087,0.8692791292749008,0.9002041409294143
1,adverse reactions,discontinuous,190.0,,198.0,,0.4896907216494845,,,0.4918548771489948,
2,adverse reactions,exact-meddra,3735.0,,428.0,,0.8971895267835696,,,0.9259549822920974,
3,adverse reactions,negated,24.0,,8.0,,0.75,,,0.7301587301587302,
4,adverse reactions,non-meddra,711.0,,464.0,,0.6051063829787234,,,0.6861649830070623,
5,all-concat,all,5203.0,455.0,1835.0,0.9195828914810887,0.7392725206024439,0.8196282293635792,0.9065055132362296,0.7788378908826961,0.8285803612677936
6,all-concat,discontinuous,293.0,,449.0,,0.3948787061994609,,,0.38098856478504006,
7,all-concat,exact-meddra,4148.0,,679.0,,0.8593329189973068,,,0.8906788229636008,
8,all-concat,negated,41.0,,18.0,,0.6949152542372882,,,0.6893939393939394,
9,all-concat,non-meddra,1056.0,,1156.0,,0.47739602169981915,,,0.5372451036092246,
10,boxed warnings,all,227.0,90.0,35.0,0.7160883280757098,0.8664122137404581,0.7841105354058722,0.7631989394108508,0.9147991034020445,0.7974817697982018
11,boxed warnings,discontinuous,20.0,,13.0,,0.6060606060606061,,,0.527056277056277,
12,boxed warnings,exact-meddra,132.0,,4.0,,0.9705882352941176,,,0.9588089330024814,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,95.0,,31.0,,0.753968253968254,,,0.806962481962482,
15,warnings and precautions,all,1762.0,764.0,690.0,0.6975455265241488,0.7185970636215334,0.7079148252310163,0.6507272945324707,0.7776231001197585,0.6820641891737511
16,warnings and precautions,discontinuous,175.0,,175.0,,0.5,,,0.5382244342958629,
17,warnings and precautions,exact-meddra,1038.0,,175.0,,0.8557295960428689,,,0.9179917870500987,
18,warnings and precautions,negated,23.0,,4.0,,0.8518518518518519,,,0.9068627450980392,
19,warnings and precautions,non-meddra,724.0,,516.0,,0.5838709677419355,,,0.661747536835031,
0,all,all,6435.0,1083.0,1616.0,0.8559457302474063,0.799279592597193,0.8101133948058231,0.7940306221850342,0.8389364351595731,0.7940048806612557
