,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,110.0,0.0,18.0,1.0,0.859375,0.9243697478991597
1,KYPROLIS,adverse reactions,exact-meddra,104,102,96.0,,8.0,,0.9230769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,102,15.0,,10.0,,0.6,
3,KYPROLIS,adverse reactions,negated,0,102,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,102,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,23,32.0,0.0,33.0,1.0,0.49230769230769234,0.6597938144329897
6,KYPROLIS,warnings and precautions,exact-meddra,44,23,23.0,,21.0,,0.5227272727272727,
7,KYPROLIS,warnings and precautions,non-meddra,22,23,9.0,,13.0,,0.4090909090909091,
8,KYPROLIS,warnings and precautions,negated,0,23,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,23,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,104,119.0,1.0,39.0,0.9916666666666667,0.7531645569620253,0.8561151079136691
16,KYPROLIS,all-concat,exact-meddra,119,104,101.0,,18.0,,0.8487394957983193,
17,KYPROLIS,all-concat,non-meddra,40,104,18.0,,22.0,,0.45,
18,KYPROLIS,all-concat,negated,0,104,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,104,1.0,,3.0,,0.25,
20,MULTAQ,adverse reactions,all,39,29,37.0,0.0,2.0,1.0,0.9487179487179487,0.9736842105263158
21,MULTAQ,adverse reactions,exact-meddra,26,29,26.0,,0.0,,1.0,
22,MULTAQ,adverse reactions,non-meddra,13,29,11.0,,2.0,,0.8461538461538461,
23,MULTAQ,adverse reactions,negated,0,29,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,29,5.0,,0.0,,1.0,
25,MULTAQ,warnings and precautions,all,24,24,21.0,5.0,3.0,0.8076923076923077,0.875,0.8400000000000001
26,MULTAQ,warnings and precautions,exact-meddra,13,24,12.0,,1.0,,0.9230769230769231,
27,MULTAQ,warnings and precautions,non-meddra,11,24,9.0,,2.0,,0.8181818181818182,
