,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5253,156.0,64,0.971159179145868,0.9879631371073914,0.9794890919261607,0.9728329615663445,0.9829580880583468,0.9765203786528625
1,adverse reactions,discontinuous,357,,2898,,0.10967741935483871,,,0.14132955103993616,
2,adverse reactions,exact-meddra,4114,,299,,0.932245637888058,,,0.9151255335132201,
3,adverse reactions,negated,66,,1448,,0.043593130779392336,,,0.06636803739425089,
4,adverse reactions,non-meddra,1140,,2678,,0.2985856469355684,,,0.31823572687857815,
5,all-concat,all,6867,515.0,114,0.9302357084800867,0.9836699613235926,0.9562069205597716,0.9322717394625222,0.965866282264668,0.9446817737365771
6,all-concat,discontinuous,681,,3441,,0.16521106259097526,,,0.1694681516673931,
7,all-concat,exact-meddra,4694,,381,,0.9249261083743843,,,0.8912493126131831,
8,all-concat,negated,116,,2290,,0.04821280133000831,,,0.062464975247846395,
9,all-concat,non-meddra,2173,,2430,,0.47208342385400826,,,0.4432342563353923,
10,boxed warnings,all,265,9.0,63,0.9671532846715328,0.8079268292682927,0.8803986710963455,0.9785505430242273,0.8436577554998608,0.885030448697281
11,boxed warnings,discontinuous,36,,62,,0.3673469387755102,,,0.4646020646020646,
12,boxed warnings,exact-meddra,136,,94,,0.591304347826087,,,0.5901137883968269,
13,boxed warnings,negated,5,,40,,0.1111111111111111,,,0.7560975609756098,
14,boxed warnings,non-meddra,129,,149,,0.46402877697841727,,,0.5618437214457976,
15,warnings and precautions,all,2525,202.0,305,0.9259259259259259,0.892226148409894,0.9087637214324276,0.9530434593714469,0.8252654858055279,0.8626783149053918
16,warnings and precautions,discontinuous,344,,1555,,0.18114797261716692,,,0.22694317829673194,
17,warnings and precautions,exact-meddra,1179,,768,,0.6055469953775039,,,0.5353819357203149,
18,warnings and precautions,negated,52,,673,,0.07172413793103448,,,0.09172110890104394,
19,warnings and precautions,non-meddra,1347,,874,,0.6064835659612787,,,0.5799891891932363,
0,all,all,8043,367.0,432,0.9563614744351961,0.9490265486725664,0.9336017493977612,0.9656197682718296,0.8957140412119659,0.9149979315265203
