,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,122,6.0,0,0.953125,1.0,0.976
1,KYPROLIS,adverse reactions,exact-meddra,104,102,101,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,102,21,,64,,0.24705882352941178,
3,KYPROLIS,adverse reactions,discontinuous,3,102,2,,96,,0.02040816326530612,
4,KYPROLIS,warnings and precautions,all,65,23,47,18.0,0,0.7230769230769231,1.0,0.8392857142857142
5,KYPROLIS,warnings and precautions,exact-meddra,44,23,33,,2,,0.9428571428571428,
6,KYPROLIS,warnings and precautions,non-meddra,22,23,14,,10,,0.5833333333333334,
7,KYPROLIS,warnings and precautions,discontinuous,1,23,1,,22,,0.043478260869565216,
8,KYPROLIS,warnings and precautions,hypothetical,3,23,2,,22,,0.08333333333333333,
9,KYPROLIS,all-concat,all,158,93,142,16.0,0,0.8987341772151899,1.0,0.9466666666666668
10,KYPROLIS,all-concat,exact-meddra,119,93,111,,1,,0.9910714285714286,
11,KYPROLIS,all-concat,non-meddra,40,93,31,,52,,0.37349397590361444,
12,KYPROLIS,all-concat,discontinuous,4,93,3,,86,,0.033707865168539325,
13,KYPROLIS,all-concat,hypothetical,3,93,0,,93,,0.0,
14,MULTAQ,adverse reactions,all,39,30,38,1.0,0,0.9743589743589743,1.0,0.9870129870129869
15,MULTAQ,adverse reactions,exact-meddra,26,30,26,,4,,0.8666666666666667,
16,MULTAQ,adverse reactions,non-meddra,13,30,12,,18,,0.4,
17,MULTAQ,adverse reactions,discontinuous,5,30,5,,28,,0.15151515151515152,
18,MULTAQ,warnings and precautions,all,25,24,24,1.0,0,0.96,1.0,0.9795918367346939
19,MULTAQ,warnings and precautions,exact-meddra,13,24,13,,4,,0.7647058823529411,
20,MULTAQ,warnings and precautions,non-meddra,12,24,11,,11,,0.5,
21,MULTAQ,warnings and precautions,discontinuous,3,24,3,,19,,0.13636363636363635,
22,MULTAQ,warnings and precautions,hypothetical,8,24,7,,16,,0.30434782608695654,
23,MULTAQ,boxed warnings,all,3,8,3,0.0,2,1.0,0.6,0.7499999999999999
24,MULTAQ,boxed warnings,exact-meddra,3,8,3,,2,,0.6,
25,MULTAQ,boxed warnings,hypothetical,3,8,3,,2,,0.6,
26,MULTAQ,all-concat,all,57,38,52,5.0,1,0.9122807017543859,0.9811320754716981,0.9454545454545454
27,MULTAQ,all-concat,exact-meddra,32,38,32,,6,,0.8421052631578947,
28,MULTAQ,all-concat,non-meddra,25,38,20,,22,,0.47619047619047616,
