,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,101,96,5.0,32,0.9504950495049505,0.75,0.8384279475982532
1,KYPROLIS,adverse reactions,exact-meddra,104,101,88,,16,,0.8461538461538461,
2,KYPROLIS,adverse reactions,non-meddra,25,101,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,101,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,56,47,9.0,18,0.8392857142857143,0.7230769230769231,0.7768595041322314
5,KYPROLIS,warnings and precautions,exact-meddra,44,56,39,,5,,0.8863636363636364,
6,KYPROLIS,warnings and precautions,non-meddra,22,56,8,,14,,0.36363636363636365,
7,KYPROLIS,warnings and precautions,discontinuous,1,56,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,105,102,3.0,56,0.9714285714285714,0.6455696202531646,0.7756653992395438
9,KYPROLIS,all-concat,exact-meddra,119,105,93,,26,,0.7815126050420168,
10,KYPROLIS,all-concat,non-meddra,40,105,9,,31,,0.225,
11,KYPROLIS,all-concat,discontinuous,4,105,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,30,28,2.0,11,0.9333333333333333,0.717948717948718,0.8115942028985509
13,MULTAQ,adverse reactions,exact-meddra,26,30,23,,3,,0.8846153846153846,
14,MULTAQ,adverse reactions,non-meddra,13,30,5,,8,,0.38461538461538464,
15,MULTAQ,adverse reactions,discontinuous,5,30,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,28,18,10.0,7,0.6428571428571429,0.72,0.6792452830188679
17,MULTAQ,warnings and precautions,exact-meddra,13,28,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,28,6,,6,,0.5,
19,MULTAQ,warnings and precautions,discontinuous,3,28,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,36,31,5.0,26,0.8611111111111112,0.543859649122807,0.6666666666666667
23,MULTAQ,all-concat,exact-meddra,32,36,25,,7,,0.78125,
24,MULTAQ,all-concat,non-meddra,25,36,6,,19,,0.24,
25,MULTAQ,all-concat,discontinuous,8,36,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,31,28,3.0,2,0.9032258064516129,0.9333333333333333,0.9180327868852459
33,TEFLARO,adverse reactions,exact-meddra,26,31,25,,1,,0.9615384615384616,
34,TEFLARO,adverse reactions,non-meddra,4,31,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,8,2,6.0,10,0.25,0.16666666666666666,0.2
36,TEFLARO,warnings and precautions,exact-meddra,2,8,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,8,2,,8,,0.2,
38,TEFLARO,warnings and precautions,negated,1,8,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,8,1,,1,,0.5,
40,TEFLARO,all-concat,all,38,30,28,2.0,10,0.9333333333333333,0.7368421052631579,0.8235294117647058
41,TEFLARO,all-concat,exact-meddra,27,30,25,,2,,0.9259259259259259,
42,TEFLARO,all-concat,non-meddra,11,30,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,30,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
48,DATSCAN,warnings and precautions,all,3,10,3,7.0,0,0.3,1.0,0.4615384615384615
49,DATSCAN,warnings and precautions,exact-meddra,1,10,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,10,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,12,11,1.0,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
52,DATSCAN,all-concat,exact-meddra,9,12,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,12,2,,1,,0.6666666666666666,
54,TIVICAY,adverse reactions,all,45,50,26,24.0,19,0.52,0.5777777777777777,0.5473684210526315
55,TIVICAY,adverse reactions,exact-meddra,30,50,19,,11,,0.6333333333333333,
56,TIVICAY,adverse reactions,non-meddra,15,50,7,,8,,0.4666666666666667,
57,TIVICAY,adverse reactions,discontinuous,8,50,4,,4,,0.5,
58,TIVICAY,warnings and precautions,all,29,40,18,22.0,11,0.45,0.6206896551724138,0.5217391304347826
59,TIVICAY,warnings and precautions,exact-meddra,10,40,7,,3,,0.7,
60,TIVICAY,warnings and precautions,non-meddra,19,40,11,,8,,0.5789473684210527,
61,TIVICAY,warnings and precautions,discontinuous,2,40,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,49,25,24.0,46,0.5102040816326531,0.352112676056338,0.41666666666666663
63,TIVICAY,all-concat,exact-meddra,37,49,21,,16,,0.5675675675675675,
64,TIVICAY,all-concat,non-meddra,34,49,4,,30,,0.11764705882352941,
65,TIVICAY,all-concat,discontinuous,10,49,1,,9,,0.1,
66,TAFINLAR,adverse reactions,all,112,68,62,6.0,50,0.9117647058823529,0.5535714285714286,0.6888888888888888
67,TAFINLAR,adverse reactions,exact-meddra,94,68,53,,41,,0.5638297872340425,
68,TAFINLAR,adverse reactions,non-meddra,18,68,9,,9,,0.5,
69,TAFINLAR,warnings and precautions,all,63,41,29,12.0,34,0.7073170731707317,0.4603174603174603,0.5576923076923077
70,TAFINLAR,warnings and precautions,exact-meddra,28,41,24,,4,,0.8571428571428571,
71,TAFINLAR,warnings and precautions,non-meddra,35,41,5,,30,,0.14285714285714285,
72,TAFINLAR,warnings and precautions,discontinuous,2,41,1,,1,,0.5,
73,TAFINLAR,all-concat,all,158,81,74,7.0,84,0.9135802469135802,0.46835443037974683,0.6192468619246863
74,TAFINLAR,all-concat,exact-meddra,110,81,65,,45,,0.5909090909090909,
75,TAFINLAR,all-concat,non-meddra,48,81,9,,39,,0.1875,
76,TAFINLAR,all-concat,discontinuous,2,81,0,,2,,0.0,
