,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,37,40,1.0,6,0.975609756097561,0.8695652173913043,0.9195402298850575
1,XEOMIN,adverse reactions,exact-meddra,40,37,35,,5,,0.875,
2,XEOMIN,adverse reactions,non-meddra,6,37,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,37,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,37,5,,0,,1.0,
5,XEOMIN,warnings and precautions,all,35,25,22,5.0,13,0.8148148148148148,0.6285714285714286,0.7096774193548386
6,XEOMIN,warnings and precautions,exact-meddra,16,25,13,,3,,0.8125,
7,XEOMIN,warnings and precautions,non-meddra,19,25,9,,10,,0.47368421052631576,
8,XEOMIN,warnings and precautions,discontinuous,5,25,3,,2,,0.6,
9,XEOMIN,warnings and precautions,hypothetical,24,25,13,,11,,0.5416666666666666,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,45,53,1.0,28,0.9814814814814815,0.654320987654321,0.7851851851851851
16,XEOMIN,all-concat,exact-meddra,53,45,42,,11,,0.7924528301886793,
17,XEOMIN,all-concat,non-meddra,28,45,11,,17,,0.39285714285714285,
18,XEOMIN,all-concat,negated,1,45,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,45,6,,4,,0.6,
20,XEOMIN,all-concat,hypothetical,33,45,16,,17,,0.48484848484848486,
21,QUTENZA,adverse reactions,all,40,34,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,34,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,34,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,8,3,5.0,3,0.375,0.5,0.42857142857142855
25,QUTENZA,warnings and precautions,exact-meddra,3,8,2,,1,,0.6666666666666666,
26,QUTENZA,warnings and precautions,non-meddra,3,8,1,,2,,0.3333333333333333,
27,QUTENZA,warnings and precautions,hypothetical,4,8,2,,2,,0.5,
28,QUTENZA,all-concat,all,45,37,39,0.0,6,1.0,0.8666666666666667,0.9285714285714286
29,QUTENZA,all-concat,exact-meddra,37,37,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,37,4,,4,,0.5,
31,QUTENZA,all-concat,hypothetical,4,37,1,,3,,0.25,
32,ZYTIGA,adverse reactions,all,61,46,50,0.0,11,1.0,0.819672131147541,0.9009009009009009
33,ZYTIGA,adverse reactions,exact-meddra,43,46,39,,4,,0.9069767441860465,
34,ZYTIGA,adverse reactions,non-meddra,18,46,11,,7,,0.6111111111111112,
35,ZYTIGA,adverse reactions,negated,3,46,3,,0,,1.0,
36,ZYTIGA,adverse reactions,discontinuous,1,46,1,,0,,1.0,
37,ZYTIGA,warnings and precautions,all,15,6,6,0.0,9,1.0,0.4,0.5714285714285715
38,ZYTIGA,warnings and precautions,exact-meddra,6,6,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,6,2,,7,,0.2222222222222222,
40,ZYTIGA,warnings and precautions,negated,1,6,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,6,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,52,55,1.0,13,0.9821428571428571,0.8088235294117647,0.8870967741935484
44,ZYTIGA,all-concat,exact-meddra,44,52,43,,1,,0.9772727272727273,
45,ZYTIGA,all-concat,non-meddra,24,52,12,,12,,0.5,
46,ZYTIGA,all-concat,negated,3,52,3,,0,,1.0,
47,ZYTIGA,all-concat,discontinuous,2,52,1,,1,,0.5,
48,ZYTIGA,all-concat,hypothetical,3,52,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,29,30,0.0,7,1.0,0.8108108108108109,0.8955223880597014
50,TOVIAZ,adverse reactions,exact-meddra,33,29,28,,5,,0.8484848484848485,
51,TOVIAZ,adverse reactions,non-meddra,4,29,2,,2,,0.5,
52,TOVIAZ,warnings and precautions,all,13,11,9,6.0,4,0.6,0.6923076923076923,0.6428571428571429
53,TOVIAZ,warnings and precautions,exact-meddra,4,11,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,11,5,,4,,0.5555555555555556,
55,TOVIAZ,warnings and precautions,discontinuous,5,11,3,,2,,0.6,
56,TOVIAZ,all-concat,all,46,37,41,1.0,5,0.9761904761904762,0.8913043478260869,0.9318181818181818
57,TOVIAZ,all-concat,exact-meddra,33,37,33,,0,,1.0,
58,TOVIAZ,all-concat,non-meddra,13,37,8,,5,,0.6153846153846154,
59,TOVIAZ,all-concat,discontinuous,5,37,3,,2,,0.6,
60,STRIBILD,adverse reactions,all,100,68,74,0.0,26,1.0,0.74,0.8505747126436781
61,STRIBILD,adverse reactions,exact-meddra,59,68,58,,1,,0.9830508474576272,
62,STRIBILD,adverse reactions,non-meddra,41,68,16,,25,,0.3902439024390244,
63,STRIBILD,adverse reactions,negated,1,68,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,68,6,,12,,0.3333333333333333,
65,STRIBILD,warnings and precautions,all,50,39,40,5.0,10,0.8888888888888888,0.8,0.8421052631578948
66,STRIBILD,warnings and precautions,exact-meddra,22,39,21,,1,,0.9545454545454546,
67,STRIBILD,warnings and precautions,non-meddra,28,39,19,,9,,0.6785714285714286,
68,STRIBILD,warnings and precautions,discontinuous,5,39,4,,1,,0.8,
69,STRIBILD,warnings and precautions,hypothetical,9,39,8,,1,,0.8888888888888888,
70,STRIBILD,boxed warnings,all,6,4,4,1.0,2,0.8,0.6666666666666666,0.7272727272727272
71,STRIBILD,boxed warnings,exact-meddra,2,4,2,,0,,1.0,
72,STRIBILD,boxed warnings,non-meddra,4,4,2,,2,,0.5,
73,STRIBILD,all-concat,all,136,45,54,1.0,82,0.9818181818181818,0.39705882352941174,0.5654450261780104
74,STRIBILD,all-concat,exact-meddra,73,45,37,,36,,0.5068493150684932,
75,STRIBILD,all-concat,non-meddra,63,45,17,,46,,0.2698412698412698,
76,STRIBILD,all-concat,negated,1,45,0,,1,,0.0,
77,STRIBILD,all-concat,discontinuous,22,45,4,,18,,0.18181818181818182,
78,STRIBILD,all-concat,hypothetical,9,45,2,,7,,0.2222222222222222,
79,FARXIGA,adverse reactions,all,86,31,38,4.0,48,0.9047619047619048,0.4418604651162791,0.59375
80,FARXIGA,adverse reactions,exact-meddra,48,31,22,,26,,0.4583333333333333,
81,FARXIGA,adverse reactions,non-meddra,38,31,16,,22,,0.42105263157894735,
82,FARXIGA,adverse reactions,discontinuous,11,31,2,,9,,0.18181818181818182,
83,FARXIGA,adverse reactions,hypothetical,1,31,0,,1,,0.0,
84,FARXIGA,warnings and precautions,all,13,6,7,1.0,6,0.875,0.5384615384615384,0.6666666666666667
85,FARXIGA,warnings and precautions,exact-meddra,3,6,3,,0,,1.0,
86,FARXIGA,warnings and precautions,non-meddra,10,6,4,,6,,0.4,
87,FARXIGA,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
88,FARXIGA,warnings and precautions,hypothetical,4,6,3,,1,,0.75,
89,FARXIGA,all-concat,all,94,28,40,2.0,54,0.9523809523809523,0.425531914893617,0.5882352941176471
90,FARXIGA,all-concat,exact-meddra,48,28,22,,26,,0.4583333333333333,
