,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4272,124.0,1137,0.9717925386715196,0.7897947864669994,0.871392146863845,0.9667596652828587,0.8310332508044125,0.8873848173440089
1,adverse reactions,discontinuous,175,,222,,0.44080604534005036,,,0.43724761727395617,
2,adverse reactions,exact-meddra,3582,,581,,0.8604371847225558,,,0.898852986198179,
3,adverse reactions,hypothetical,67,,13,,0.8375,,,0.8005336617405583,
4,adverse reactions,negated,37,,36,,0.5068493150684932,,,0.44285714285714284,
5,adverse reactions,non-meddra,690,,557,,0.5533279871692061,,,0.6363211322561823,
6,all-concat,all,4654,298.0,2728,0.9398222940226171,0.6304524519100515,0.754661910167018,0.9289906705101592,0.679014809685763,0.7652264778779897
7,all-concat,discontinuous,256,,545,,0.3196004993757803,,,0.3340952576922962,
8,all-concat,exact-meddra,3650,,1177,,0.7561632483944479,,,0.7938157391015814,
9,all-concat,hypothetical,509,,511,,0.49901960784313726,,,0.550677191591818,
10,all-concat,negated,54,,78,,0.4090909090909091,,,0.4090136054421769,
11,all-concat,non-meddra,1004,,1552,,0.39280125195618154,,,0.46317197922997166,
12,boxed warnings,all,222,59.0,52,0.7900355871886121,0.8102189781021898,0.8,0.8273724082934609,0.8364400112271629,0.813750931298406
13,boxed warnings,discontinuous,24,,13,,0.6486486486486487,,,0.5448717948717948,
14,boxed warnings,exact-meddra,129,,7,,0.9485294117647058,,,0.9719102346436811,
15,boxed warnings,hypothetical,99,,22,,0.8181818181818182,,,0.8307949626131444,
16,boxed warnings,negated,3,,2,,0.6,,,0.5,
17,boxed warnings,non-meddra,93,,45,,0.6739130434782609,,,0.6766806722689075,
18,warnings and precautions,all,1350,276.0,1377,0.8302583025830258,0.49504950495049505,0.62026188835286,0.794757628381625,0.6001422963750243,0.6425649508277379
19,warnings and precautions,discontinuous,142,,257,,0.3558897243107769,,,0.3640057323880853,
20,warnings and precautions,exact-meddra,722,,491,,0.5952184666117065,,,0.7564828442742249,
21,warnings and precautions,hypothetical,450,,459,,0.49504950495049505,,,0.6136010572129562,
22,warnings and precautions,negated,28,,30,,0.4827586206896552,,,0.6331018518518519,
23,warnings and precautions,non-meddra,628,,887,,0.4145214521452145,,,0.5011325198415126,
0,all,all,5844,459.0,2566,0.9271775345073774,0.6948870392390012,0.7504881050582333,0.8736202019565165,0.7370037351959966,0.7754665413640305
