,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,36,31,5.0,15,0.8611111111111112,0.6739130434782609,0.7560975609756099
1,XEOMIN,adverse reactions,exact-meddra,40,36,28,,12,,0.7,
2,XEOMIN,adverse reactions,non-meddra,6,36,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,36,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,36,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,26,19,7.0,16,0.7307692307692307,0.5428571428571428,0.6229508196721311
6,XEOMIN,warnings and precautions,exact-meddra,16,26,12,,4,,0.75,
7,XEOMIN,warnings and precautions,non-meddra,19,26,7,,12,,0.3684210526315789,
8,XEOMIN,warnings and precautions,discontinuous,5,26,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,26,11,,13,,0.4583333333333333,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,59,48,11.0,33,0.8135593220338984,0.5925925925925926,0.6857142857142857
16,XEOMIN,all-concat,exact-meddra,53,59,40,,13,,0.7547169811320755,
17,XEOMIN,all-concat,non-meddra,28,59,8,,20,,0.2857142857142857,
18,XEOMIN,all-concat,negated,1,59,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,59,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,59,18,,15,,0.5454545454545454,
21,QUTENZA,adverse reactions,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,9,3,6.0,3,0.3333333333333333,0.5,0.4
25,QUTENZA,warnings and precautions,exact-meddra,3,9,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,9,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,9,3,,1,,0.75,
28,QUTENZA,all-concat,all,45,37,37,0.0,8,1.0,0.8222222222222222,0.9024390243902439
29,QUTENZA,all-concat,exact-meddra,37,37,34,,3,,0.918918918918919,
30,QUTENZA,all-concat,non-meddra,8,37,3,,5,,0.375,
31,QUTENZA,all-concat,hypothetical,4,37,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,48,47,1.0,14,0.9791666666666666,0.7704918032786885,0.8623853211009173
33,ZYTIGA,adverse reactions,exact-meddra,43,48,39,,4,,0.9069767441860465,
34,ZYTIGA,adverse reactions,non-meddra,18,48,8,,10,,0.4444444444444444,
35,ZYTIGA,adverse reactions,negated,3,48,2,,1,,0.6666666666666666,
36,ZYTIGA,adverse reactions,discontinuous,1,48,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,6,6,0.0,9,1.0,0.4,0.5714285714285715
38,ZYTIGA,warnings and precautions,exact-meddra,6,6,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,6,2,,7,,0.2222222222222222,
40,ZYTIGA,warnings and precautions,negated,1,6,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,6,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,66,51,15.0,17,0.7727272727272727,0.75,0.7611940298507464
44,ZYTIGA,all-concat,exact-meddra,44,66,41,,3,,0.9318181818181818,
45,ZYTIGA,all-concat,non-meddra,24,66,10,,14,,0.4166666666666667,
46,ZYTIGA,all-concat,negated,3,66,2,,1,,0.6666666666666666,
47,ZYTIGA,all-concat,discontinuous,2,66,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,66,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,29,29,0.0,8,1.0,0.7837837837837838,0.8787878787878788
50,TOVIAZ,adverse reactions,exact-meddra,33,29,27,,6,,0.8181818181818182,
51,TOVIAZ,adverse reactions,non-meddra,4,29,2,,2,,0.5,
52,TOVIAZ,warnings and precautions,all,13,12,5,7.0,8,0.4166666666666667,0.38461538461538464,0.4
53,TOVIAZ,warnings and precautions,exact-meddra,4,12,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,12,1,,8,,0.1111111111111111,
55,TOVIAZ,warnings and precautions,discontinuous,5,12,0,,5,,0.0,
56,TOVIAZ,all-concat,all,46,30,29,1.0,17,0.9666666666666667,0.6304347826086957,0.763157894736842
57,TOVIAZ,all-concat,exact-meddra,33,30,27,,6,,0.8181818181818182,
58,TOVIAZ,all-concat,non-meddra,13,30,2,,11,,0.15384615384615385,
59,TOVIAZ,all-concat,discontinuous,5,30,0,,5,,0.0,
60,STRIBILD,adverse reactions,all,100,64,61,3.0,39,0.953125,0.61,0.7439024390243903
61,STRIBILD,adverse reactions,exact-meddra,59,64,54,,5,,0.9152542372881356,
62,STRIBILD,adverse reactions,non-meddra,41,64,7,,34,,0.17073170731707318,
63,STRIBILD,adverse reactions,negated,1,64,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,64,1,,17,,0.05555555555555555,
65,STRIBILD,warnings and precautions,all,50,38,25,13.0,25,0.6578947368421053,0.5,0.5681818181818182
66,STRIBILD,warnings and precautions,exact-meddra,22,38,16,,6,,0.7272727272727273,
67,STRIBILD,warnings and precautions,non-meddra,28,38,9,,19,,0.32142857142857145,
68,STRIBILD,warnings and precautions,discontinuous,5,38,0,,5,,0.0,
69,STRIBILD,warnings and precautions,hypothetical,9,38,6,,3,,0.6666666666666666,
70,STRIBILD,boxed warnings,all,6,4,1,3.0,5,0.25,0.16666666666666666,0.2
71,STRIBILD,boxed warnings,exact-meddra,2,4,1,,1,,0.5,
72,STRIBILD,boxed warnings,non-meddra,4,4,0,,4,,0.0,
73,STRIBILD,all-concat,all,136,66,61,5.0,75,0.9242424242424242,0.4485294117647059,0.6039603960396039
74,STRIBILD,all-concat,exact-meddra,73,66,54,,19,,0.7397260273972602,
75,STRIBILD,all-concat,non-meddra,63,66,7,,56,,0.1111111111111111,
76,STRIBILD,all-concat,negated,1,66,0,,1,,0.0,
77,STRIBILD,all-concat,discontinuous,22,66,1,,21,,0.045454545454545456,
78,STRIBILD,all-concat,hypothetical,9,66,2,,7,,0.2222222222222222,
79,FARXIGA,adverse reactions,all,86,28,22,6.0,64,0.7857142857142857,0.2558139534883721,0.38596491228070184
80,FARXIGA,adverse reactions,exact-meddra,48,28,14,,34,,0.2916666666666667,
81,FARXIGA,adverse reactions,non-meddra,38,28,8,,30,,0.21052631578947367,
82,FARXIGA,adverse reactions,discontinuous,11,28,0,,11,,0.0,
83,FARXIGA,adverse reactions,hypothetical,1,28,0,,1,,0.0,
84,FARXIGA,warnings and precautions,all,13,6,6,0.0,7,1.0,0.46153846153846156,0.631578947368421
85,FARXIGA,warnings and precautions,exact-meddra,3,6,3,,0,,1.0,
86,FARXIGA,warnings and precautions,non-meddra,10,6,3,,7,,0.3,
87,FARXIGA,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
88,FARXIGA,warnings and precautions,hypothetical,4,6,2,,2,,0.5,
89,FARXIGA,all-concat,all,94,28,25,3.0,69,0.8928571428571429,0.26595744680851063,0.40983606557377045
90,FARXIGA,all-concat,exact-meddra,48,28,17,,31,,0.3541666666666667,
91,FARXIGA,all-concat,non-meddra,46,28,8,,38,,0.17391304347826086,
92,FARXIGA,all-concat,discontinuous,12,28,0,,12,,0.0,
93,FARXIGA,all-concat,hypothetical,5,28,2,,3,,0.4,
94,VICTRELIS,adverse reactions,all,47,22,21,1.0,26,0.9545454545454546,0.44680851063829785,0.6086956521739131
95,VICTRELIS,adverse reactions,exact-meddra,36,22,21,,15,,0.5833333333333334,
96,VICTRELIS,adverse reactions,non-meddra,11,22,0,,11,,0.0,
97,VICTRELIS,adverse reactions,discontinuous,7,22,0,,7,,0.0,
98,VICTRELIS,warnings and precautions,all,24,14,9,5.0,15,0.6428571428571429,0.375,0.4736842105263159
99,VICTRELIS,warnings and precautions,exact-meddra,12,14,7,,5,,0.5833333333333334,
100,VICTRELIS,warnings and precautions,non-meddra,12,14,2,,10,,0.16666666666666666,
101,VICTRELIS,warnings and precautions,discontinuous,1,14,0,,1,,0.0,
102,VICTRELIS,warnings and precautions,hypothetical,4,14,1,,3,,0.25,
103,VICTRELIS,all-concat,all,64,23,22,1.0,42,0.9565217391304348,0.34375,0.5057471264367817
104,VICTRELIS,all-concat,exact-meddra,41,23,21,,20,,0.5121951219512195,
105,VICTRELIS,all-concat,non-meddra,23,23,1,,22,,0.043478260869565216,
106,VICTRELIS,all-concat,discontinuous,8,23,0,,8,,0.0,
107,VICTRELIS,all-concat,hypothetical,4,23,0,,4,,0.0,
108,VIMIZIM,adverse reactions,all,9,10,9,1.0,0,0.9,1.0,0.9473684210526316
109,VIMIZIM,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
110,VIMIZIM,adverse reactions,non-meddra,1,10,1,,0,,1.0,
111,VIMIZIM,warnings and precautions,all,21,26,19,7.0,2,0.7307692307692307,0.9047619047619048,0.8085106382978723
112,VIMIZIM,warnings and precautions,exact-meddra,17,26,16,,1,,0.9411764705882353,
