,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3701,291.0,1708,0.9271042084168337,0.684229987058606,0.7873630464844166,0.9055897373322411,0.7180879784035895,0.7976737336207883
1,adverse reactions,discontinuous,41,,356,,0.10327455919395466,,,0.1303510458909932,
2,adverse reactions,exact-meddra,3278,,885,,0.7874129233725679,,,0.8135783802574951,
3,adverse reactions,hypothetical,48,,32,,0.6,,,0.5614121510673236,
4,adverse reactions,negated,20,,53,,0.273972602739726,,,0.23047619047619047,
5,adverse reactions,non-meddra,423,,824,,0.3392141138732959,,,0.44811261993418944,
6,all-concat,all,3470,484.0,3912,0.8775923115832068,0.4700623137361149,0.6122088920254057,0.8547967105116477,0.5490274334497531,0.6404412429633546
7,all-concat,discontinuous,56,,745,,0.06991260923845194,,,0.0954090317703503,
8,all-concat,exact-meddra,3004,,1823,,0.6223327118292935,,,0.6974151440511855,
9,all-concat,hypothetical,309,,711,,0.3029411764705882,,,0.3589947879558435,
10,all-concat,negated,22,,110,,0.16666666666666666,,,0.1950113378684807,
11,all-concat,non-meddra,466,,2090,,0.18231611893583724,,,0.268189154546967,
12,boxed warnings,all,149,110.0,125,0.5752895752895753,0.5437956204379562,0.5590994371482175,0.5570433759838193,0.5021282230841054,0.5586206465487865
13,boxed warnings,discontinuous,8,,29,,0.21621621621621623,,,0.14194139194139194,
14,boxed warnings,exact-meddra,111,,25,,0.8161764705882353,,,0.7578446737190371,
15,boxed warnings,hypothetical,61,,60,,0.5041322314049587,,,0.46513839695657877,
16,boxed warnings,negated,2,,3,,0.4,,,0.375,
17,boxed warnings,non-meddra,38,,100,,0.2753623188405797,,,0.2670518207282913,
18,warnings and precautions,all,904,450.0,1823,0.6676514032496307,0.3314998166483315,0.4430286694437638,0.6451640723101316,0.4155176174784489,0.46966514026315886
19,warnings and precautions,discontinuous,39,,360,,0.09774436090225563,,,0.1297945672945673,
20,warnings and precautions,exact-meddra,579,,634,,0.47732893652102226,,,0.61521131415568,
21,warnings and precautions,hypothetical,310,,599,,0.341034103410341,,,0.4608866467747576,
22,warnings and precautions,negated,13,,45,,0.22413793103448276,,,0.2916666666666667,
23,warnings and precautions,non-meddra,325,,1190,,0.2145214521452145,,,0.2811659972637036,
0,all,all,4754,851.0,3656,0.848171275646744,0.5652794292508918,0.6257548675705856,0.7424285032712892,0.5589532508108818,0.6258142796360281
