,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,41,36,5.0,10,0.8780487804878049,0.782608695652174,0.8275862068965518
1,XEOMIN,adverse reactions,exact-meddra,40,41,33,,7,,0.825,
2,XEOMIN,adverse reactions,non-meddra,6,41,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,41,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,41,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,56,24,32.0,11,0.42857142857142855,0.6857142857142857,0.5274725274725274
6,XEOMIN,warnings and precautions,exact-meddra,16,56,13,,3,,0.8125,
7,XEOMIN,warnings and precautions,non-meddra,19,56,11,,8,,0.5789473684210527,
8,XEOMIN,warnings and precautions,discontinuous,5,56,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,56,16,,8,,0.6666666666666666,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,51,41,10.0,40,0.803921568627451,0.5061728395061729,0.6212121212121212
16,XEOMIN,all-concat,exact-meddra,53,51,36,,17,,0.6792452830188679,
17,XEOMIN,all-concat,non-meddra,28,51,5,,23,,0.17857142857142858,
18,XEOMIN,all-concat,negated,1,51,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,51,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,51,14,,19,,0.42424242424242425,
21,QUTENZA,adverse reactions,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,9,5,4.0,1,0.5555555555555556,0.8333333333333334,0.6666666666666667
25,QUTENZA,warnings and precautions,exact-meddra,3,9,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,9,2,,1,,0.6666666666666666,
27,QUTENZA,warnings and precautions,hypothetical,4,9,4,,0,,1.0,
28,QUTENZA,all-concat,all,45,43,38,5.0,7,0.8837209302325582,0.8444444444444444,0.8636363636363636
29,QUTENZA,all-concat,exact-meddra,37,43,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,43,3,,5,,0.375,
31,QUTENZA,all-concat,hypothetical,4,43,1,,3,,0.25,
