,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,35,37,0.0,9,1.0,0.8043478260869565,0.891566265060241
1,XEOMIN,adverse reactions,exact-meddra,40,35,32,,8,,0.8,
2,XEOMIN,adverse reactions,non-meddra,6,35,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,35,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,35,5,,0,,1.0,
5,XEOMIN,warnings and precautions,all,35,52,30,22.0,5,0.5769230769230769,0.8571428571428571,0.689655172413793
6,XEOMIN,warnings and precautions,exact-meddra,16,52,16,,0,,1.0,
7,XEOMIN,warnings and precautions,non-meddra,19,52,14,,5,,0.7368421052631579,
8,XEOMIN,warnings and precautions,discontinuous,5,52,4,,1,,0.8,
9,XEOMIN,warnings and precautions,hypothetical,24,52,21,,3,,0.875,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,50,54,3.0,27,0.9473684210526315,0.6666666666666666,0.782608695652174
16,XEOMIN,all-concat,exact-meddra,53,50,43,,10,,0.8113207547169812,
17,XEOMIN,all-concat,non-meddra,28,50,11,,17,,0.39285714285714285,
18,XEOMIN,all-concat,negated,1,50,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,50,7,,3,,0.7,
20,XEOMIN,all-concat,hypothetical,33,50,17,,16,,0.5151515151515151,
21,QUTENZA,adverse reactions,all,40,37,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,9,6,3.0,0,0.6666666666666666,1.0,0.8
25,QUTENZA,warnings and precautions,exact-meddra,3,9,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,9,3,,0,,1.0,
