,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4446,172.0,963,0.9627544391511477,0.8219633943427621,0.8868056248130048,0.9440167857164348,0.8494316879177705,0.8947484437508082
1,adverse reactions,discontinuous,155,,242,,0.3904282115869018,,,0.34557920861696106,
2,adverse reactions,exact-meddra,3681,,482,,0.8842181119385059,,,0.9086327901967264,
3,adverse reactions,hypothetical,63,,17,,0.7875,,,0.7869868637110016,
4,adverse reactions,negated,33,,40,,0.4520547945205479,,,0.4142857142857143,
5,adverse reactions,non-meddra,766,,481,,0.6142742582197274,,,0.681858292228244,
6,all-concat,all,5441,287.0,1941,0.9498952513966481,0.7370631265239772,0.830053394355454,0.9347297767944437,0.7606260179530601,0.8329886193836388
7,all-concat,discontinuous,289,,512,,0.36079900124843944,,,0.3409506490587938,
8,all-concat,exact-meddra,4185,,642,,0.8669981354878806,,,0.8815926847966439,
9,all-concat,hypothetical,576,,444,,0.5647058823529412,,,0.6113030704579638,
10,all-concat,negated,57,,75,,0.4318181818181818,,,0.45464852607709755,
11,all-concat,non-meddra,1257,,1299,,0.49178403755868544,,,0.538400235148895,
12,boxed warnings,all,234,79.0,40,0.7476038338658147,0.8540145985401459,0.7972742759795571,0.8171134753998891,0.8802779715124917,0.8180152589396287
13,boxed warnings,discontinuous,20,,17,,0.5405405405405406,,,0.4587912087912088,
14,boxed warnings,exact-meddra,127,,9,,0.9338235294117647,,,0.8807670541117061,
15,boxed warnings,hypothetical,101,,20,,0.8347107438016529,,,0.8336088154269972,
16,boxed warnings,negated,4,,1,,0.8,,,0.875,
17,boxed warnings,non-meddra,107,,31,,0.7753623188405797,,,0.8376750700280112,
18,warnings and precautions,all,2010,570.0,717,0.7790697674418605,0.7370737073707371,0.7574901074053138,0.7404681214351005,0.765195746248442,0.7188624144626642
19,warnings and precautions,discontinuous,174,,225,,0.43609022556390975,,,0.45981320172496637,
20,warnings and precautions,exact-meddra,1088,,125,,0.8969497114591921,,,0.911562701758807,
21,warnings and precautions,hypothetical,649,,260,,0.713971397139714,,,0.755875633535317,
22,warnings and precautions,negated,32,,26,,0.5517241379310345,,,0.6655092592592592,
23,warnings and precautions,non-meddra,923,,592,,0.6092409240924093,,,0.6599919435698925,
0,all,all,6690,821.0,1720,0.8906936493143389,0.7954815695600476,0.8274048616771345,0.8399212508549172,0.8197760626409676,0.8097407592241069
