,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3790,508.0,1619,0.8818054909260121,0.7006840451100018,0.7808797774801689,0.8484232352515833,0.7160178585987712,0.7919644066347171
1,adverse reactions,discontinuous,30,,367,,0.07556675062972293,,,0.056209498724863076,
2,adverse reactions,exact-meddra,3325,,838,,0.7987028585154936,,,0.8080779803816035,
3,adverse reactions,hypothetical,42,,38,,0.525,,,0.39064039408866996,
4,adverse reactions,negated,18,,55,,0.2465753424657534,,,0.2019047619047619,
5,adverse reactions,non-meddra,465,,782,,0.37289494787489974,,,0.4646600538777846,
6,all-concat,all,4332,783.0,3050,0.8469208211143695,0.5868328366296397,0.693286388733296,0.827682657754565,0.6146405506313726,0.7043105102963411
7,all-concat,discontinuous,49,,752,,0.06117353308364544,,,0.08286159248486165,
8,all-concat,exact-meddra,3713,,1114,,0.7692148332297494,,,0.7791465667290608,
9,all-concat,hypothetical,334,,686,,0.32745098039215687,,,0.38029617605446653,
10,all-concat,negated,30,,102,,0.22727272727272727,,,0.24863945578231292,
11,all-concat,non-meddra,619,,1937,,0.2421752738654147,,,0.30709255397320917,
12,boxed warnings,all,138,157.0,136,0.46779661016949153,0.5036496350364964,0.4850615114235501,0.41984504301733844,0.40874872103587273,0.5399889596365733
13,boxed warnings,discontinuous,6,,31,,0.16216216216216217,,,0.07783882783882784,
14,boxed warnings,exact-meddra,99,,37,,0.7279411764705882,,,0.4767946541291193,
15,boxed warnings,hypothetical,55,,66,,0.45454545454545453,,,0.3641282959464778,
16,boxed warnings,negated,2,,3,,0.4,,,0.5,
17,boxed warnings,non-meddra,39,,99,,0.2826086956521739,,,0.23897058823529413,
18,warnings and precautions,all,1387,1049.0,1340,0.569376026272578,0.5086175284195086,0.5372845245012589,0.5320124764755276,0.5147409071944798,0.5058959204697346
19,warnings and precautions,discontinuous,54,,345,,0.13533834586466165,,,0.17981090407560996,
20,warnings and precautions,exact-meddra,893,,320,,0.7361912613355317,,,0.6861605347623743,
21,warnings and precautions,hypothetical,449,,460,,0.49394939493949397,,,0.5161507682068297,
22,warnings and precautions,negated,12,,46,,0.20689655172413793,,,0.22685185185185186,
23,warnings and precautions,non-meddra,494,,1021,,0.32607260726072607,,,0.3747015177080946,
0,all,all,5315,1714.0,3095,0.7561530800967421,0.6319857312722948,0.6560485712648497,0.6493646975135379,0.5838140809987441,0.6370692993875616
