,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4373,437.0,1036,0.9091476091476092,0.8084673691994824,0.8558567374498484,0.8991848973420383,0.8414136540492069,0.8560372866488537
1,adverse reactions,discontinuous,176,,221,,0.4433249370277078,,,0.43463393498512026,
2,adverse reactions,exact-meddra,3651,,512,,0.877011770357915,,,0.899918405788205,
3,adverse reactions,hypothetical,66,,14,,0.825,,,0.8522577996715929,
4,adverse reactions,negated,29,,44,,0.3972602739726027,,,0.36666666666666664,
5,adverse reactions,non-meddra,723,,524,,0.5797914995990376,,,0.6705695398341496,
6,all-concat,all,5060,462.0,2322,0.9163346613545816,0.6854510972636142,0.7842529448233105,0.9067448561295177,0.7218126048942186,0.7949827473298907
7,all-concat,discontinuous,291,,510,,0.36329588014981273,,,0.3467543552951875,
8,all-concat,exact-meddra,3909,,918,,0.8098197638284649,,,0.8370901724962748,
9,all-concat,hypothetical,526,,494,,0.515686274509804,,,0.548573918742657,
10,all-concat,negated,53,,79,,0.4015151515151515,,,0.38293650793650796,
11,all-concat,non-meddra,1151,,1405,,0.4503129890453834,,,0.502028822081936,
12,boxed warnings,all,229,92.0,45,0.7133956386292835,0.8357664233576643,0.7697478991596639,0.8199039722723933,0.8372095160601353,0.7757003464085507
13,boxed warnings,discontinuous,27,,10,,0.7297297297297297,,,0.5641025641025641,
14,boxed warnings,exact-meddra,129,,7,,0.9485294117647058,,,0.9264659788428888,
15,boxed warnings,hypothetical,97,,24,,0.8016528925619835,,,0.7843303161484979,
16,boxed warnings,negated,2,,3,,0.4,,,0.375,
17,boxed warnings,non-meddra,100,,38,,0.7246376811594203,,,0.7287114845938375,
18,warnings and precautions,all,1593,400.0,1134,0.7992975413948821,0.5841584158415841,0.6749999999999999,0.7871547716899712,0.6652431563100708,0.6763135407768611
19,warnings and precautions,discontinuous,165,,234,,0.41353383458646614,,,0.4256398521104403,
20,warnings and precautions,exact-meddra,838,,375,,0.6908491343775762,,,0.7861503759881192,
21,warnings and precautions,hypothetical,530,,379,,0.583058305830583,,,0.6901742266983631,
22,warnings and precautions,negated,31,,27,,0.5344827586206896,,,0.6608796296296297,
23,warnings and precautions,non-meddra,755,,760,,0.49834983498349833,,,0.5779531508767841,
0,all,all,6195,929.0,2215,0.8695957327344188,0.7366230677764566,0.7634567205892535,0.8403730442026441,0.7683276560649657,0.7692321719085368
