,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3775,716.0,1634,0.8405700289467825,0.697910889258643,0.7626262626262627,0.8183335242523957,0.723955948860635,0.7541122181369031
1,adverse reactions,discontinuous,46,,351,,0.11586901763224182,,,0.10086124001839541,
2,adverse reactions,exact-meddra,3325,,838,,0.7987028585154936,,,0.8141563436215498,
3,adverse reactions,hypothetical,43,,37,,0.5375,,,0.4895730706075534,
4,adverse reactions,negated,18,,55,,0.2465753424657534,,,0.1876190476190476,
5,adverse reactions,non-meddra,450,,797,,0.3608660785886127,,,0.4414305704721542,
6,all-concat,all,4020,841.0,3362,0.8269903312075705,0.5445678677865077,0.6567017887772605,0.8150480565012064,0.5839391370847287,0.6687009158093945
7,all-concat,discontinuous,44,,757,,0.05493133583021224,,,0.058853356185354,
8,all-concat,exact-meddra,3446,,1381,,0.7139009736896623,,,0.7376111375083588,
9,all-concat,hypothetical,318,,702,,0.31176470588235294,,,0.32881388658074273,
10,all-concat,negated,29,,103,,0.2196969696969697,,,0.2139455782312925,
11,all-concat,non-meddra,574,,1982,,0.2245696400625978,,,0.29293420030988165,
12,boxed warnings,all,145,147.0,129,0.4965753424657534,0.5291970802919708,0.5123674911660776,0.5004177378247745,0.45529906969535455,0.5518751236815753
13,boxed warnings,discontinuous,6,,31,,0.16216216216216217,,,0.07783882783882784,
14,boxed warnings,exact-meddra,103,,33,,0.7573529411764706,,,0.6126093770406165,
15,boxed warnings,hypothetical,57,,64,,0.47107438016528924,,,0.38180506362324546,
16,boxed warnings,negated,1,,4,,0.2,,,0.25,
17,boxed warnings,non-meddra,42,,96,,0.30434782608695654,,,0.2488795518207283,
18,warnings and precautions,all,1069,737.0,1658,0.5919158361018826,0.392005867253392,0.471652327377013,0.5870124091097431,0.4338431693435672,0.4787755760923714
19,warnings and precautions,discontinuous,47,,352,,0.11779448621553884,,,0.16173559923559924,
20,warnings and precautions,exact-meddra,675,,538,,0.5564715581203628,,,0.5906718074835667,
21,warnings and precautions,hypothetical,344,,565,,0.37843784378437845,,,0.4431915739360052,
22,warnings and precautions,negated,12,,46,,0.20689655172413793,,,0.25,
23,warnings and precautions,non-meddra,394,,1121,,0.2600660066006601,,,0.3202107158600412,
0,all,all,4989,1600.0,3421,0.7571710426468357,0.5932223543400713,0.6173821263368697,0.6720667952138919,0.5614563682613289,0.6127130192806474
