,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,39,41,1.0,5,0.9761904761904762,0.8913043478260869,0.9318181818181818
1,XEOMIN,adverse reactions,exact-meddra,40,39,36,,4,,0.9,
2,XEOMIN,adverse reactions,non-meddra,6,39,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,39,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,39,5,,0,,1.0,
5,XEOMIN,warnings and precautions,all,35,37,23,13.0,12,0.6388888888888888,0.6571428571428571,0.647887323943662
6,XEOMIN,warnings and precautions,exact-meddra,16,37,12,,4,,0.75,
7,XEOMIN,warnings and precautions,non-meddra,19,37,11,,8,,0.5789473684210527,
8,XEOMIN,warnings and precautions,discontinuous,5,37,3,,2,,0.6,
9,XEOMIN,warnings and precautions,hypothetical,24,37,15,,9,,0.625,
10,XEOMIN,boxed warnings,all,16,21,11,10.0,5,0.5238095238095238,0.6875,0.5945945945945946
11,XEOMIN,boxed warnings,exact-meddra,10,21,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,21,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,21,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,21,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,50,53,4.0,28,0.9298245614035088,0.654320987654321,0.7681159420289856
16,XEOMIN,all-concat,exact-meddra,53,50,44,,9,,0.8301886792452831,
17,XEOMIN,all-concat,non-meddra,28,50,9,,19,,0.32142857142857145,
18,XEOMIN,all-concat,negated,1,50,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,50,6,,4,,0.6,
20,XEOMIN,all-concat,hypothetical,33,50,15,,18,,0.45454545454545453,
21,QUTENZA,adverse reactions,all,40,37,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,7,4,2.0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,QUTENZA,warnings and precautions,exact-meddra,3,7,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,7,1,,2,,0.3333333333333333,
27,QUTENZA,warnings and precautions,hypothetical,4,7,3,,1,,0.75,
28,QUTENZA,all-concat,all,45,37,39,0.0,6,1.0,0.8666666666666667,0.9285714285714286
29,QUTENZA,all-concat,exact-meddra,37,37,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,37,4,,4,,0.5,
31,QUTENZA,all-concat,hypothetical,4,37,1,,3,,0.25,
32,ZYTIGA,adverse reactions,all,61,54,47,9.0,14,0.8392857142857143,0.7704918032786885,0.8034188034188035
33,ZYTIGA,adverse reactions,exact-meddra,43,54,39,,4,,0.9069767441860465,
34,ZYTIGA,adverse reactions,non-meddra,18,54,8,,10,,0.4444444444444444,
35,ZYTIGA,adverse reactions,negated,3,54,1,,2,,0.3333333333333333,
36,ZYTIGA,adverse reactions,discontinuous,1,54,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,21,11,8.0,4,0.5789473684210527,0.7333333333333333,0.6470588235294117
38,ZYTIGA,warnings and precautions,exact-meddra,6,21,6,,0,,1.0,
39,ZYTIGA,warnings and precautions,non-meddra,9,21,5,,4,,0.5555555555555556,
40,ZYTIGA,warnings and precautions,negated,1,21,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,21,1,,0,,1.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,21,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,50,51,0.0,17,1.0,0.75,0.8571428571428571
44,ZYTIGA,all-concat,exact-meddra,44,50,41,,3,,0.9318181818181818,
45,ZYTIGA,all-concat,non-meddra,24,50,10,,14,,0.4166666666666667,
46,ZYTIGA,all-concat,negated,3,50,1,,2,,0.3333333333333333,
47,ZYTIGA,all-concat,discontinuous,2,50,1,,1,,0.5,
48,ZYTIGA,all-concat,hypothetical,3,50,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,35,37,0.0,0,1.0,1.0,1.0
50,TOVIAZ,adverse reactions,exact-meddra,33,35,33,,0,,1.0,
51,TOVIAZ,adverse reactions,non-meddra,4,35,4,,0,,1.0,
52,TOVIAZ,warnings and precautions,all,13,8,9,3.0,4,0.75,0.6923076923076923,0.7199999999999999
53,TOVIAZ,warnings and precautions,exact-meddra,4,8,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,8,5,,4,,0.5555555555555556,
