,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,39,33,6.0,13,0.8461538461538461,0.717391304347826,0.776470588235294
1,XEOMIN,adverse reactions,exact-meddra,40,39,30,,10,,0.75,
2,XEOMIN,adverse reactions,non-meddra,6,39,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,39,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,39,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,37,21,16.0,14,0.5675675675675675,0.6,0.5833333333333333
6,XEOMIN,warnings and precautions,exact-meddra,16,37,11,,5,,0.6875,
7,XEOMIN,warnings and precautions,non-meddra,19,37,10,,9,,0.5263157894736842,
8,XEOMIN,warnings and precautions,discontinuous,5,37,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,37,14,,10,,0.5833333333333334,
10,XEOMIN,boxed warnings,all,16,21,11,10.0,5,0.5238095238095238,0.6875,0.5945945945945946
11,XEOMIN,boxed warnings,exact-meddra,10,21,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,21,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,21,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,21,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,50,41,9.0,40,0.82,0.5061728395061729,0.6259541984732825
16,XEOMIN,all-concat,exact-meddra,53,50,37,,16,,0.6981132075471698,
17,XEOMIN,all-concat,non-meddra,28,50,4,,24,,0.14285714285714285,
18,XEOMIN,all-concat,negated,1,50,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,50,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,50,13,,20,,0.3939393939393939,
21,QUTENZA,adverse reactions,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,7,4,3.0,2,0.5714285714285714,0.6666666666666666,0.6153846153846153
25,QUTENZA,warnings and precautions,exact-meddra,3,7,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,7,1,,2,,0.3333333333333333,
27,QUTENZA,warnings and precautions,hypothetical,4,7,3,,1,,0.75,
28,QUTENZA,all-concat,all,45,37,37,0.0,8,1.0,0.8222222222222222,0.9024390243902439
29,QUTENZA,all-concat,exact-meddra,37,37,34,,3,,0.918918918918919,
30,QUTENZA,all-concat,non-meddra,8,37,3,,5,,0.375,
31,QUTENZA,all-concat,hypothetical,4,37,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,54,43,11.0,18,0.7962962962962963,0.7049180327868853,0.7478260869565216
33,ZYTIGA,adverse reactions,exact-meddra,43,54,36,,7,,0.8372093023255814,
34,ZYTIGA,adverse reactions,non-meddra,18,54,7,,11,,0.3888888888888889,
