,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4338,144.0,1071,0.9678714859437751,0.8019966722129783,0.8771610555050046,0.968277478567275,0.8354806830637077,0.8916492502104749
1,adverse reactions,discontinuous,177,,220,,0.44584382871536526,,,0.42360156183685593,
2,adverse reactions,exact-meddra,3646,,517,,0.8758107134278165,,,0.901689516372831,
3,adverse reactions,hypothetical,64,,16,,0.8,,,0.7832922824302135,
4,adverse reactions,negated,27,,46,,0.3698630136986301,,,0.35714285714285715,
5,adverse reactions,non-meddra,693,,554,,0.5557337610264635,,,0.645914231251982,
6,all-concat,all,4656,291.0,2726,0.9411764705882353,0.6307233811975075,0.7552924000324439,0.9364284440651179,0.6821836414552481,0.7738769510810385
7,all-concat,discontinuous,260,,541,,0.32459425717852686,,,0.32017316196576684,
8,all-concat,exact-meddra,3596,,1231,,0.7449761756784753,,,0.7884147292746438,
9,all-concat,hypothetical,503,,517,,0.4931372549019608,,,0.5430518956094849,
10,all-concat,negated,48,,84,,0.36363636363636365,,,0.3738662131519274,
11,all-concat,non-meddra,1060,,1496,,0.41471048513302033,,,0.4808286508928222,
12,boxed warnings,all,216,47.0,58,0.8212927756653993,0.7883211678832117,0.8044692737430167,0.88522856183521,0.815467708675913,0.8227524682633042
13,boxed warnings,discontinuous,24,,13,,0.6486486486486487,,,0.5567765567765568,
14,boxed warnings,exact-meddra,122,,14,,0.8970588235294118,,,0.869476731531061,
15,boxed warnings,hypothetical,93,,28,,0.768595041322314,,,0.7681686999868819,
16,boxed warnings,negated,4,,1,,0.8,,,0.75,
17,boxed warnings,non-meddra,94,,44,,0.6811594202898551,,,0.7151260504201681,
18,warnings and precautions,all,1427,249.0,1300,0.8514319809069213,0.5232856618995233,0.6481944129002953,0.8263579001151675,0.6006607204696246,0.6628758664334445
19,warnings and precautions,discontinuous,136,,263,,0.3408521303258145,,,0.3611593802770274,
20,warnings and precautions,exact-meddra,779,,434,,0.642209398186315,,,0.7228923033430519,
21,warnings and precautions,hypothetical,463,,446,,0.5093509350935094,,,0.6140409152209173,
22,warnings and precautions,negated,26,,32,,0.4482758620689655,,,0.5497685185185185,
23,warnings and precautions,non-meddra,648,,867,,0.4277227722772277,,,0.5128350924894545,
0,all,all,5981,440.0,2429,0.9314748481544931,0.7111771700356718,0.7642971213389081,0.8965738432042543,0.7357432703587828,0.7870521329484009
