,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,35,37,0.0,9,1.0,0.8043478260869565,0.891566265060241
1,XEOMIN,adverse reactions,exact-meddra,40,35,32,,8,,0.8,
2,XEOMIN,adverse reactions,non-meddra,6,35,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,35,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,35,5,,0,,1.0,
5,XEOMIN,warnings and precautions,all,35,35,26,8.0,9,0.7647058823529411,0.7428571428571429,0.7536231884057971
6,XEOMIN,warnings and precautions,exact-meddra,16,35,14,,2,,0.875,
7,XEOMIN,warnings and precautions,non-meddra,19,35,12,,7,,0.631578947368421,
8,XEOMIN,warnings and precautions,discontinuous,5,35,4,,1,,0.8,
9,XEOMIN,warnings and precautions,hypothetical,24,35,17,,7,,0.7083333333333334,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,67,63,8.0,18,0.8873239436619719,0.7777777777777778,0.8289473684210527
16,XEOMIN,all-concat,exact-meddra,53,67,49,,4,,0.9245283018867925,
17,XEOMIN,all-concat,non-meddra,28,67,14,,14,,0.5,
18,XEOMIN,all-concat,negated,1,67,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,67,7,,3,,0.7,
20,XEOMIN,all-concat,hypothetical,33,67,21,,12,,0.6363636363636364,
21,QUTENZA,adverse reactions,all,40,37,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,7,4,2.0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,QUTENZA,warnings and precautions,exact-meddra,3,7,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,7,1,,2,,0.3333333333333333,
