,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3782,359.0,1627,0.9133059647428158,0.6992050286559438,0.7920418848167539,0.9012130225651331,0.733840212313318,0.8005596013255009
1,adverse reactions,discontinuous,45,,352,,0.11335012594458438,,,0.10740328469696335,
2,adverse reactions,exact-meddra,3329,,834,,0.7996637040595724,,,0.8267551993269476,
3,adverse reactions,hypothetical,40,,40,,0.5,,,0.4461001642036125,
4,adverse reactions,negated,15,,58,,0.2054794520547945,,,0.18285714285714286,
5,adverse reactions,non-meddra,453,,794,,0.36327185244587007,,,0.45897130933967956,
6,all-concat,all,3914,552.0,3468,0.8763994626063591,0.5302086155513411,0.660702228224173,0.8593728746122554,0.5771500470017085,0.683172955769373
7,all-concat,discontinuous,38,,763,,0.04744069912609238,,,0.05812076089393518,
8,all-concat,exact-meddra,3365,,1462,,0.6971203646157034,,,0.7350113804624074,
9,all-concat,hypothetical,316,,704,,0.30980392156862746,,,0.3462412931933507,
10,all-concat,negated,24,,108,,0.18181818181818182,,,0.21848072562358278,
11,all-concat,non-meddra,549,,2007,,0.2147887323943662,,,0.28028829733697697,
12,boxed warnings,all,151,92.0,123,0.6213991769547325,0.551094890510949,0.5841392649903288,0.60650201310693,0.5048476284350897,0.6405782107154637
13,boxed warnings,discontinuous,6,,31,,0.16216216216216217,,,0.07783882783882784,
14,boxed warnings,exact-meddra,106,,30,,0.7794117647058824,,,0.6161638587784598,
15,boxed warnings,hypothetical,59,,62,,0.48760330578512395,,,0.41210809392627573,
16,boxed warnings,negated,2,,3,,0.4,,,0.375,
17,boxed warnings,non-meddra,45,,93,,0.32608695652173914,,,0.30805322128851537,
18,warnings and precautions,all,1033,478.0,1694,0.6836532097948379,0.3788045471213788,0.4874941009910336,0.6716777440529531,0.43613205159594864,0.49970673598383397
19,warnings and precautions,discontinuous,43,,356,,0.10776942355889724,,,0.13186884436884436,
20,warnings and precautions,exact-meddra,650,,563,,0.5358615004122012,,,0.593701398714013,
21,warnings and precautions,hypothetical,323,,586,,0.35533553355335534,,,0.4319091234839038,
22,warnings and precautions,negated,11,,47,,0.1896551724137931,,,0.2708333333333333,
23,warnings and precautions,non-meddra,383,,1132,,0.2528052805280528,,,0.31855086138478783,
0,all,all,4966,929.0,3444,0.8424088210347752,0.590487514863258,0.6453391571845402,0.7594166650435518,0.5746054251228201,0.6527507122598011
