,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,38,33,5.0,13,0.868421052631579,0.717391304347826,0.7857142857142858
1,XEOMIN,adverse reactions,exact-meddra,40,38,30,,10,,0.75,
2,XEOMIN,adverse reactions,non-meddra,6,38,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,38,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,38,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,35,22,13.0,13,0.6285714285714286,0.6285714285714286,0.6285714285714286
6,XEOMIN,warnings and precautions,exact-meddra,16,35,12,,4,,0.75,
7,XEOMIN,warnings and precautions,non-meddra,19,35,10,,9,,0.5263157894736842,
8,XEOMIN,warnings and precautions,discontinuous,5,35,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,35,15,,9,,0.625,
10,XEOMIN,boxed warnings,all,16,11,11,0.0,5,1.0,0.6875,0.8148148148148148
11,XEOMIN,boxed warnings,exact-meddra,10,11,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,11,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,11,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,11,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,53,47,6.0,34,0.8867924528301887,0.5802469135802469,0.701492537313433
16,XEOMIN,all-concat,exact-meddra,53,53,42,,11,,0.7924528301886793,
17,XEOMIN,all-concat,non-meddra,28,53,5,,23,,0.17857142857142858,
18,XEOMIN,all-concat,negated,1,53,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,53,1,,9,,0.1,
20,XEOMIN,all-concat,hypothetical,33,53,13,,20,,0.3939393939393939,
21,QUTENZA,adverse reactions,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,7,4,3.0,2,0.5714285714285714,0.6666666666666666,0.6153846153846153
25,QUTENZA,warnings and precautions,exact-meddra,3,7,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,7,1,,2,,0.3333333333333333,
