,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,108,0.0,20,1.0,0.84375,0.9152542372881356
1,KYPROLIS,adverse reactions,exact-meddra,104,102,96,,8,,0.9230769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,102,12,,13,,0.48,
3,KYPROLIS,adverse reactions,discontinuous,3,102,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,53,53,6.0,12,0.8983050847457628,0.8153846153846154,0.8548387096774194
5,KYPROLIS,warnings and precautions,exact-meddra,44,53,41,,3,,0.9318181818181818,
6,KYPROLIS,warnings and precautions,non-meddra,22,53,12,,10,,0.5454545454545454,
7,KYPROLIS,warnings and precautions,discontinuous,1,53,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,90,111,0.0,47,1.0,0.7025316455696202,0.8252788104089219
9,KYPROLIS,all-concat,exact-meddra,119,90,95,,24,,0.7983193277310925,
10,KYPROLIS,all-concat,non-meddra,40,90,16,,24,,0.4,
11,KYPROLIS,all-concat,discontinuous,4,90,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,32,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
13,MULTAQ,adverse reactions,exact-meddra,26,32,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,32,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,32,4,,1,,0.8,
16,MULTAQ,warnings and precautions,all,25,25,21,7.0,4,0.75,0.84,0.7924528301886793
17,MULTAQ,warnings and precautions,exact-meddra,13,25,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,12,25,9,,3,,0.75,
19,MULTAQ,warnings and precautions,discontinuous,3,25,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,36,46,0.0,11,1.0,0.8070175438596491,0.8932038834951457
23,MULTAQ,all-concat,exact-meddra,32,36,30,,2,,0.9375,
24,MULTAQ,all-concat,non-meddra,25,36,16,,9,,0.64,
25,MULTAQ,all-concat,discontinuous,8,36,5,,3,,0.625,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,12,10,7,4.0,5,0.6363636363636364,0.5833333333333334,0.6086956521739131
36,TEFLARO,warnings and precautions,exact-meddra,2,10,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,10,5,,5,,0.5,
38,TEFLARO,warnings and precautions,negated,1,10,1,,0,,1.0,
39,TEFLARO,warnings and precautions,discontinuous,2,10,0,,2,,0.0,
40,TEFLARO,all-concat,all,38,30,32,0.0,6,1.0,0.8421052631578947,0.9142857142857143
41,TEFLARO,all-concat,exact-meddra,27,30,27,,0,,1.0,
42,TEFLARO,all-concat,non-meddra,11,30,5,,6,,0.45454545454545453,
43,TEFLARO,all-concat,negated,1,30,1,,0,,1.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,0,,1.0,
48,DATSCAN,warnings and precautions,all,3,4,3,1.0,0,0.75,1.0,0.8571428571428571
49,DATSCAN,warnings and precautions,exact-meddra,1,4,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,4,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,11,12,0.0,0,1.0,1.0,1.0
52,DATSCAN,all-concat,exact-meddra,9,11,9,,0,,1.0,
53,DATSCAN,all-concat,non-meddra,3,11,3,,0,,1.0,
54,TIVICAY,adverse reactions,all,45,44,36,4.0,9,0.9,0.8,0.8470588235294118
55,TIVICAY,adverse reactions,exact-meddra,30,44,29,,1,,0.9666666666666667,
56,TIVICAY,adverse reactions,non-meddra,15,44,7,,8,,0.4666666666666667,
57,TIVICAY,adverse reactions,discontinuous,8,44,4,,4,,0.5,
58,TIVICAY,warnings and precautions,all,29,25,26,2.0,3,0.9285714285714286,0.896551724137931,0.912280701754386
59,TIVICAY,warnings and precautions,exact-meddra,10,25,9,,1,,0.9,
60,TIVICAY,warnings and precautions,non-meddra,19,25,17,,2,,0.8947368421052632,
61,TIVICAY,warnings and precautions,discontinuous,2,25,1,,1,,0.5,
62,TIVICAY,all-concat,all,71,51,52,4.0,19,0.9285714285714286,0.7323943661971831,0.8188976377952756
63,TIVICAY,all-concat,exact-meddra,37,51,32,,5,,0.8648648648648649,
64,TIVICAY,all-concat,non-meddra,34,51,20,,14,,0.5882352941176471,
65,TIVICAY,all-concat,discontinuous,10,51,6,,4,,0.6,
66,TAFINLAR,adverse reactions,all,112,67,86,0.0,26,1.0,0.7678571428571429,0.8686868686868687
67,TAFINLAR,adverse reactions,exact-meddra,94,67,73,,21,,0.776595744680851,
68,TAFINLAR,adverse reactions,non-meddra,18,67,13,,5,,0.7222222222222222,
69,TAFINLAR,warnings and precautions,all,63,30,40,1.0,23,0.975609756097561,0.6349206349206349,0.7692307692307692
70,TAFINLAR,warnings and precautions,exact-meddra,28,30,18,,10,,0.6428571428571429,
71,TAFINLAR,warnings and precautions,non-meddra,35,30,22,,13,,0.6285714285714286,
72,TAFINLAR,warnings and precautions,discontinuous,2,30,2,,0,,1.0,
73,TAFINLAR,all-concat,all,158,96,131,0.0,27,1.0,0.8291139240506329,0.9065743944636678
74,TAFINLAR,all-concat,exact-meddra,110,96,99,,11,,0.9,
75,TAFINLAR,all-concat,non-meddra,48,96,32,,16,,0.6666666666666666,
76,TAFINLAR,all-concat,discontinuous,2,96,2,,0,,1.0,
77,HORIZANT,adverse reactions,all,27,26,27,0.0,0,1.0,1.0,1.0
78,HORIZANT,adverse reactions,exact-meddra,26,26,26,,0,,1.0,
79,HORIZANT,adverse reactions,non-meddra,1,26,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,9,15,1.0,25,0.9375,0.375,0.5357142857142857
81,HORIZANT,warnings and precautions,exact-meddra,17,9,7,,10,,0.4117647058823529,
82,HORIZANT,warnings and precautions,non-meddra,23,9,8,,15,,0.34782608695652173,
83,HORIZANT,warnings and precautions,negated,2,9,1,,1,,0.5,
84,HORIZANT,warnings and precautions,discontinuous,12,9,1,,11,,0.08333333333333333,
85,HORIZANT,all-concat,all,62,25,27,0.0,35,1.0,0.43548387096774194,0.6067415730337078
