,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5186,223.0,41,0.9587724163431318,0.9921561124928258,0.9751786385859347,0.9628054317128941,0.9874530044758146,0.973958529393869
1,adverse reactions,discontinuous,358,,2760,,0.11481719050673508,,,0.14402154273769427,
2,adverse reactions,exact-meddra,4076,,268,,0.9383057090239411,,,0.9222272008927607,
3,adverse reactions,negated,64,,1412,,0.04336043360433604,,,0.06259498582537348,
4,adverse reactions,non-meddra,1110,,2582,,0.30065005417118096,,,0.3160144289879266,
5,all-concat,all,6746,636.0,54,0.9138444865890003,0.9920588235294118,0.9513467776054153,0.9177654913522564,0.984983682195738,0.9483072281373599
6,all-concat,discontinuous,681,,3179,,0.17642487046632124,,,0.18607072091020294,
7,all-concat,exact-meddra,4654,,306,,0.9383064516129033,,,0.9172040993644961,
8,all-concat,negated,112,,2137,,0.04979991107158737,,,0.06407398852280291,
9,all-concat,non-meddra,2092,,2308,,0.47545454545454546,,,0.4526504296405939,
10,boxed warnings,all,249,25.0,48,0.9087591240875912,0.8383838383838383,0.87215411558669,0.8901558115373904,0.8820492090441157,0.866112325679435
11,boxed warnings,discontinuous,35,,53,,0.3977272727272727,,,0.5444219523166891,
12,boxed warnings,exact-meddra,128,,68,,0.6530612244897959,,,0.6292202976852588,
13,boxed warnings,negated,5,,40,,0.1111111111111111,,,0.7560975609756098,
14,boxed warnings,non-meddra,121,,120,,0.5020746887966805,,,0.6082200527269732,
15,warnings and precautions,all,2428,299.0,182,0.8903557022368903,0.9302681992337165,0.9098744613078508,0.9038343884263198,0.8896521531797289,0.8817742911799591
16,warnings and precautions,discontinuous,338,,1269,,0.2103298070939639,,,0.26196794355600894,
17,warnings and precautions,exact-meddra,1145,,564,,0.6699824458747806,,,0.598833629593804,
18,warnings and precautions,negated,47,,577,,0.07532051282051282,,,0.12446476450566317,
19,warnings and precautions,non-meddra,1283,,693,,0.6492914979757085,,,0.6299065225733308,
0,all,all,7863,547.0,271,0.9349583828775268,0.966683058765675,0.9379914183095415,0.9268695132151532,0.9302833993820652,0.9187041783434549
