,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,93,104,0.0,24,1.0,0.8125,0.896551724137931
1,KYPROLIS,adverse reactions,exact-meddra,104,93,92,,12,,0.8846153846153846,
2,KYPROLIS,adverse reactions,non-meddra,25,93,12,,13,,0.48,
3,KYPROLIS,adverse reactions,discontinuous,3,93,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,53,53,6.0,12,0.8983050847457628,0.8153846153846154,0.8548387096774194
5,KYPROLIS,warnings and precautions,exact-meddra,44,53,41,,3,,0.9318181818181818,
6,KYPROLIS,warnings and precautions,non-meddra,22,53,12,,10,,0.5454545454545454,
7,KYPROLIS,warnings and precautions,discontinuous,1,53,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,101,117,0.0,41,1.0,0.740506329113924,0.8509090909090908
9,KYPROLIS,all-concat,exact-meddra,119,101,101,,18,,0.8487394957983193,
10,KYPROLIS,all-concat,non-meddra,40,101,16,,24,,0.4,
11,KYPROLIS,all-concat,discontinuous,4,101,1,,3,,0.25,
12,MULTAQ,adverse reactions,all,39,32,38,0.0,1,1.0,0.9743589743589743,0.9870129870129869
13,MULTAQ,adverse reactions,exact-meddra,26,32,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,32,12,,1,,0.9230769230769231,
15,MULTAQ,adverse reactions,discontinuous,5,32,4,,1,,0.8,
16,MULTAQ,warnings and precautions,all,24,20,21,3.0,3,0.875,0.875,0.875
17,MULTAQ,warnings and precautions,exact-meddra,13,20,12,,1,,0.9230769230769231,
18,MULTAQ,warnings and precautions,non-meddra,11,20,9,,2,,0.8181818181818182,
19,MULTAQ,warnings and precautions,discontinuous,3,20,3,,0,,1.0,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,56,36,46,0.0,10,1.0,0.8214285714285714,0.9019607843137255
23,MULTAQ,all-concat,exact-meddra,32,36,30,,2,,0.9375,
24,MULTAQ,all-concat,non-meddra,24,36,16,,8,,0.6666666666666666,
25,MULTAQ,all-concat,discontinuous,8,36,5,,3,,0.625,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,0,,1.0,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,2,,0,,1.0,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,0,,1.0,
35,TEFLARO,warnings and precautions,all,10,9,5,5.0,5,0.5,0.5,0.5
36,TEFLARO,warnings and precautions,exact-meddra,2,9,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,8,9,3,,5,,0.375,
38,TEFLARO,warnings and precautions,discontinuous,2,9,0,,2,,0.0,
