,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4379,141.0,958,0.9688053097345133,0.8204984073449504,0.8885056305163844,0.9556583240550536,0.8521242421075786,0.9043988366195124
1,adverse reactions,discontinuous,151,,237,,0.38917525773195877,,,0.35158948894243014,
2,adverse reactions,exact-meddra,3690,,473,,0.8863800144126832,,,0.9097830064661366,
3,adverse reactions,negated,22,,10,,0.6875,,,0.6984126984126984,
4,adverse reactions,non-meddra,689,,486,,0.5863829787234043,,,0.6645334076216575,
5,all-concat,all,4930,214.0,2108,0.9583981337480559,0.7004830917874396,0.8093909046133639,0.9459955558725572,0.7350691757793799,0.8199672300833373
6,all-concat,discontinuous,247,,495,,0.3328840970350404,,,0.3033253929240575,
7,all-concat,exact-meddra,3972,,855,,0.8228713486637663,,,0.8517012432488531,
8,all-concat,negated,33,,26,,0.559322033898305,,,0.5429292929292929,
9,all-concat,non-meddra,958,,1254,,0.43309222423146476,,,0.4764029756044973,
10,boxed warnings,all,219,67.0,43,0.7657342657342657,0.8358778625954199,0.7992700729927007,0.8403599578656786,0.878512071720276,0.8207133886147597
11,boxed warnings,discontinuous,14,,19,,0.42424242424242425,,,0.35714285714285715,
12,boxed warnings,exact-meddra,129,,7,,0.9485294117647058,,,0.8886247877758914,
13,boxed warnings,negated,3,,0,,1.0,,,1.0,
14,boxed warnings,non-meddra,90,,36,,0.7142857142857143,,,0.8060606060606061,
15,warnings and precautions,all,1715,469.0,737,0.7852564102564102,0.6994290375203915,0.7398619499568595,0.7551459720880234,0.716477257561205,0.718615658558928
16,warnings and precautions,discontinuous,149,,201,,0.4257142857142857,,,0.4475508618365761,
17,warnings and precautions,exact-meddra,1027,,186,,0.8466611706512778,,,0.876261986198988,
18,warnings and precautions,negated,21,,6,,0.7777777777777778,,,0.8235294117647058,
19,warnings and precautions,non-meddra,688,,552,,0.5548387096774193,,,0.5702767829388662,
0,all,all,6313,677.0,1738,0.9031473533619456,0.7841261955036641,0.8217251065328744,0.8546793577160783,0.8006199201765797,0.8145901523545691
