,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,93,89,4.0,39,0.956989247311828,0.6953125,0.8054298642533937
1,KYPROLIS,adverse reactions,exact-meddra,104,93,81,,23,,0.7788461538461539,
2,KYPROLIS,adverse reactions,non-meddra,25,93,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,93,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,53,46,7.0,19,0.8679245283018868,0.7076923076923077,0.7796610169491526
5,KYPROLIS,warnings and precautions,exact-meddra,44,53,38,,6,,0.8636363636363636,
6,KYPROLIS,warnings and precautions,non-meddra,22,53,8,,14,,0.36363636363636365,
7,KYPROLIS,warnings and precautions,discontinuous,1,53,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,101,96,5.0,62,0.9504950495049505,0.6075949367088608,0.7413127413127412
9,KYPROLIS,all-concat,exact-meddra,119,101,89,,30,,0.7478991596638656,
10,KYPROLIS,all-concat,non-meddra,40,101,7,,33,,0.175,
11,KYPROLIS,all-concat,discontinuous,4,101,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,32,23,9.0,16,0.71875,0.5897435897435898,0.6478873239436619
13,MULTAQ,adverse reactions,exact-meddra,26,32,19,,7,,0.7307692307692307,
14,MULTAQ,adverse reactions,non-meddra,13,32,4,,9,,0.3076923076923077,
15,MULTAQ,adverse reactions,discontinuous,5,32,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,24,20,13,7.0,11,0.65,0.5416666666666666,0.5909090909090908
17,MULTAQ,warnings and precautions,exact-meddra,13,20,10,,3,,0.7692307692307693,
18,MULTAQ,warnings and precautions,non-meddra,11,20,3,,8,,0.2727272727272727,
19,MULTAQ,warnings and precautions,discontinuous,3,20,0,,3,,0.0,
20,MULTAQ,boxed warnings,all,3,3,2,1.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,MULTAQ,boxed warnings,exact-meddra,3,3,2,,1,,0.6666666666666666,
22,MULTAQ,all-concat,all,56,36,23,13.0,33,0.6388888888888888,0.4107142857142857,0.5
23,MULTAQ,all-concat,exact-meddra,32,36,18,,14,,0.5625,
24,MULTAQ,all-concat,non-meddra,24,36,5,,19,,0.20833333333333334,
25,MULTAQ,all-concat,discontinuous,8,36,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,30,29,1.0,1,0.9666666666666667,0.9666666666666667,0.9666666666666667
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,10,9,1,8.0,9,0.1111111111111111,0.1,0.10526315789473685
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,8,9,1,,7,,0.125,
38,TEFLARO,warnings and precautions,discontinuous,2,9,0,,2,,0.0,
39,TEFLARO,all-concat,all,36,30,29,1.0,7,0.9666666666666667,0.8055555555555556,0.8787878787878789
40,TEFLARO,all-concat,exact-meddra,27,30,26,,1,,0.9629629629629629,
41,TEFLARO,all-concat,non-meddra,9,30,3,,6,,0.3333333333333333,
42,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
43,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
44,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
45,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
46,DATSCAN,warnings and precautions,all,3,4,3,1.0,0,0.75,1.0,0.8571428571428571
47,DATSCAN,warnings and precautions,exact-meddra,1,4,1,,0,,1.0,
48,DATSCAN,warnings and precautions,non-meddra,2,4,2,,0,,1.0,
49,DATSCAN,all-concat,all,12,10,10,0.0,2,1.0,0.8333333333333334,0.9090909090909091
50,DATSCAN,all-concat,exact-meddra,9,10,7,,2,,0.7777777777777778,
51,DATSCAN,all-concat,non-meddra,3,10,3,,0,,1.0,
52,TIVICAY,adverse reactions,all,45,38,26,12.0,19,0.6842105263157895,0.5777777777777777,0.6265060240963854
53,TIVICAY,adverse reactions,exact-meddra,30,38,23,,7,,0.7666666666666667,
54,TIVICAY,adverse reactions,non-meddra,15,38,3,,12,,0.2,
55,TIVICAY,adverse reactions,discontinuous,8,38,1,,7,,0.125,
56,TIVICAY,warnings and precautions,all,20,25,12,13.0,8,0.48,0.6,0.5333333333333332
57,TIVICAY,warnings and precautions,exact-meddra,10,25,7,,3,,0.7,
58,TIVICAY,warnings and precautions,non-meddra,10,25,5,,5,,0.5,
59,TIVICAY,all-concat,all,62,39,28,11.0,34,0.717948717948718,0.45161290322580644,0.5544554455445545
60,TIVICAY,all-concat,exact-meddra,37,39,23,,14,,0.6216216216216216,
61,TIVICAY,all-concat,non-meddra,25,39,5,,20,,0.2,
62,TIVICAY,all-concat,discontinuous,8,39,2,,6,,0.25,
63,TAFINLAR,adverse reactions,all,112,67,62,5.0,50,0.9253731343283582,0.5535714285714286,0.6927374301675978
64,TAFINLAR,adverse reactions,exact-meddra,94,67,53,,41,,0.5638297872340425,
65,TAFINLAR,adverse reactions,non-meddra,18,67,9,,9,,0.5,
66,TAFINLAR,warnings and precautions,all,60,33,28,5.0,32,0.8484848484848485,0.4666666666666667,0.6021505376344086
67,TAFINLAR,warnings and precautions,exact-meddra,28,33,19,,9,,0.6785714285714286,
68,TAFINLAR,warnings and precautions,non-meddra,32,33,9,,23,,0.28125,
69,TAFINLAR,warnings and precautions,discontinuous,2,33,1,,1,,0.5,
70,TAFINLAR,all-concat,all,155,91,85,6.0,70,0.9340659340659341,0.5483870967741935,0.6910569105691056
71,TAFINLAR,all-concat,exact-meddra,110,91,71,,39,,0.6454545454545455,
72,TAFINLAR,all-concat,non-meddra,45,91,14,,31,,0.3111111111111111,
73,TAFINLAR,all-concat,discontinuous,2,91,0,,2,,0.0,
74,HORIZANT,adverse reactions,all,27,26,25,1.0,2,0.9615384615384616,0.9259259259259259,0.9433962264150944
75,HORIZANT,adverse reactions,exact-meddra,26,26,24,,2,,0.9230769230769231,
76,HORIZANT,adverse reactions,non-meddra,1,26,1,,0,,1.0,
77,HORIZANT,warnings and precautions,all,35,27,15,12.0,20,0.5555555555555556,0.42857142857142855,0.48387096774193544
78,HORIZANT,warnings and precautions,exact-meddra,17,27,11,,6,,0.6470588235294118,
79,HORIZANT,warnings and precautions,non-meddra,18,27,4,,14,,0.2222222222222222,
80,HORIZANT,warnings and precautions,negated,1,27,1,,0,,1.0,
81,HORIZANT,warnings and precautions,discontinuous,11,27,0,,11,,0.0,
82,HORIZANT,all-concat,all,57,38,24,14.0,33,0.631578947368421,0.42105263157894735,0.5052631578947367
83,HORIZANT,all-concat,exact-meddra,38,38,22,,16,,0.5789473684210527,
84,HORIZANT,all-concat,non-meddra,19,38,2,,17,,0.10526315789473684,
85,HORIZANT,all-concat,negated,1,38,0,,1,,0.0,
86,HORIZANT,all-concat,discontinuous,11,38,0,,11,,0.0,
87,IMBRUVICA,adverse reactions,all,70,61,56,5.0,14,0.9180327868852459,0.8,0.8549618320610688
88,IMBRUVICA,adverse reactions,exact-meddra,55,61,49,,6,,0.8909090909090909,
89,IMBRUVICA,adverse reactions,non-meddra,15,61,7,,8,,0.4666666666666667,
90,IMBRUVICA,adverse reactions,discontinuous,2,61,0,,2,,0.0,
91,IMBRUVICA,warnings and precautions,all,31,25,19,6.0,12,0.76,0.6129032258064516,0.6785714285714285
92,IMBRUVICA,warnings and precautions,exact-meddra,16,25,14,,2,,0.875,
93,IMBRUVICA,warnings and precautions,non-meddra,15,25,5,,10,,0.3333333333333333,
94,IMBRUVICA,all-concat,all,88,66,60,6.0,28,0.9090909090909091,0.6818181818181818,0.7792207792207791
95,IMBRUVICA,all-concat,exact-meddra,62,66,53,,9,,0.8548387096774194,
96,IMBRUVICA,all-concat,non-meddra,26,66,7,,19,,0.2692307692307692,
97,IMBRUVICA,all-concat,discontinuous,2,66,0,,2,,0.0,
98,ULORIC,adverse reactions,all,210,155,141,14.0,69,0.9096774193548387,0.6714285714285714,0.7726027397260273
99,ULORIC,adverse reactions,exact-meddra,187,155,135,,52,,0.7219251336898396,
100,ULORIC,adverse reactions,non-meddra,23,155,6,,17,,0.2608695652173913,
101,ULORIC,adverse reactions,discontinuous,18,155,0,,18,,0.0,
102,ULORIC,warnings and precautions,all,11,15,6,9.0,5,0.4,0.5454545454545454,0.4615384615384615
103,ULORIC,warnings and precautions,exact-meddra,2,15,1,,1,,0.5,
104,ULORIC,warnings and precautions,non-meddra,9,15,5,,4,,0.5555555555555556,
105,ULORIC,all-concat,all,218,157,143,14.0,75,0.910828025477707,0.6559633027522935,0.7626666666666667
106,ULORIC,all-concat,exact-meddra,188,157,136,,52,,0.723404255319149,
107,ULORIC,all-concat,non-meddra,30,157,7,,23,,0.23333333333333334,
108,ULORIC,all-concat,discontinuous,18,157,0,,18,,0.0,
109,CIMZIA,adverse reactions,all,99,71,65,6.0,34,0.9154929577464789,0.6565656565656566,0.764705882352941
110,CIMZIA,adverse reactions,exact-meddra,76,71,59,,17,,0.7763157894736842,
