,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,93,89,4.0,39,0.956989247311828,0.6953125,0.8054298642533937
1,KYPROLIS,adverse reactions,exact-meddra,104,93,81,,23,,0.7788461538461539,
2,KYPROLIS,adverse reactions,non-meddra,25,93,8,,17,,0.32,
3,KYPROLIS,adverse reactions,discontinuous,3,93,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,53,46,7.0,19,0.8679245283018868,0.7076923076923077,0.7796610169491526
5,KYPROLIS,warnings and precautions,exact-meddra,44,53,38,,6,,0.8636363636363636,
6,KYPROLIS,warnings and precautions,non-meddra,22,53,8,,14,,0.36363636363636365,
7,KYPROLIS,warnings and precautions,discontinuous,1,53,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,101,96,5.0,62,0.9504950495049505,0.6075949367088608,0.7413127413127412
9,KYPROLIS,all-concat,exact-meddra,119,101,89,,30,,0.7478991596638656,
10,KYPROLIS,all-concat,non-meddra,40,101,7,,33,,0.175,
11,KYPROLIS,all-concat,discontinuous,4,101,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,32,23,9.0,16,0.71875,0.5897435897435898,0.6478873239436619
13,MULTAQ,adverse reactions,exact-meddra,26,32,19,,7,,0.7307692307692307,
14,MULTAQ,adverse reactions,non-meddra,13,32,4,,9,,0.3076923076923077,
15,MULTAQ,adverse reactions,discontinuous,5,32,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,20,13,7.0,12,0.65,0.52,0.5777777777777778
17,MULTAQ,warnings and precautions,exact-meddra,13,20,10,,3,,0.7692307692307693,
18,MULTAQ,warnings and precautions,non-meddra,12,20,3,,9,,0.25,
19,MULTAQ,warnings and precautions,discontinuous,3,20,0,,3,,0.0,
20,MULTAQ,boxed warnings,all,3,3,2,1.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,MULTAQ,boxed warnings,exact-meddra,3,3,2,,1,,0.6666666666666666,
22,MULTAQ,all-concat,all,57,36,23,13.0,34,0.6388888888888888,0.40350877192982454,0.49462365591397844
23,MULTAQ,all-concat,exact-meddra,32,36,18,,14,,0.5625,
24,MULTAQ,all-concat,non-meddra,25,36,5,,20,,0.2,
25,MULTAQ,all-concat,discontinuous,8,36,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,30,29,1.0,1,0.9666666666666667,0.9666666666666667,0.9666666666666667
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,30,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,9,1,8.0,11,0.1111111111111111,0.08333333333333333,0.09523809523809525
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,1,,9,,0.1,
38,TEFLARO,warnings and precautions,negated,1,9,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,9,0,,2,,0.0,
40,TEFLARO,all-concat,all,38,30,29,1.0,9,0.9666666666666667,0.7631578947368421,0.8529411764705883
41,TEFLARO,all-concat,exact-meddra,27,30,26,,1,,0.9629629629629629,
42,TEFLARO,all-concat,non-meddra,11,30,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,30,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,30,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,2,,1,,0.6666666666666666,
48,DATSCAN,warnings and precautions,all,3,4,3,1.0,0,0.75,1.0,0.8571428571428571
49,DATSCAN,warnings and precautions,exact-meddra,1,4,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,4,2,,0,,1.0,
51,DATSCAN,all-concat,all,12,10,10,0.0,2,1.0,0.8333333333333334,0.9090909090909091
52,DATSCAN,all-concat,exact-meddra,9,10,7,,2,,0.7777777777777778,
53,DATSCAN,all-concat,non-meddra,3,10,3,,0,,1.0,
54,TIVICAY,adverse reactions,all,45,38,26,12.0,19,0.6842105263157895,0.5777777777777777,0.6265060240963854
55,TIVICAY,adverse reactions,exact-meddra,30,38,23,,7,,0.7666666666666667,
56,TIVICAY,adverse reactions,non-meddra,15,38,3,,12,,0.2,
57,TIVICAY,adverse reactions,discontinuous,8,38,1,,7,,0.125,
58,TIVICAY,warnings and precautions,all,29,25,16,9.0,13,0.64,0.5517241379310345,0.5925925925925927
59,TIVICAY,warnings and precautions,exact-meddra,10,25,7,,3,,0.7,
60,TIVICAY,warnings and precautions,non-meddra,19,25,9,,10,,0.47368421052631576,
61,TIVICAY,warnings and precautions,discontinuous,2,25,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,39,28,11.0,43,0.717948717948718,0.39436619718309857,0.509090909090909
63,TIVICAY,all-concat,exact-meddra,37,39,23,,14,,0.6216216216216216,
64,TIVICAY,all-concat,non-meddra,34,39,5,,29,,0.14705882352941177,
65,TIVICAY,all-concat,discontinuous,10,39,2,,8,,0.2,
66,TAFINLAR,adverse reactions,all,112,67,62,5.0,50,0.9253731343283582,0.5535714285714286,0.6927374301675978
67,TAFINLAR,adverse reactions,exact-meddra,94,67,53,,41,,0.5638297872340425,
68,TAFINLAR,adverse reactions,non-meddra,18,67,9,,9,,0.5,
69,TAFINLAR,warnings and precautions,all,63,33,28,5.0,35,0.8484848484848485,0.4444444444444444,0.5833333333333334
70,TAFINLAR,warnings and precautions,exact-meddra,28,33,19,,9,,0.6785714285714286,
71,TAFINLAR,warnings and precautions,non-meddra,35,33,9,,26,,0.2571428571428571,
72,TAFINLAR,warnings and precautions,discontinuous,2,33,1,,1,,0.5,
73,TAFINLAR,all-concat,all,158,91,85,6.0,73,0.9340659340659341,0.5379746835443038,0.6827309236947791
74,TAFINLAR,all-concat,exact-meddra,110,91,71,,39,,0.6454545454545455,
75,TAFINLAR,all-concat,non-meddra,48,91,14,,34,,0.2916666666666667,
76,TAFINLAR,all-concat,discontinuous,2,91,0,,2,,0.0,
77,HORIZANT,adverse reactions,all,27,26,25,1.0,2,0.9615384615384616,0.9259259259259259,0.9433962264150944
78,HORIZANT,adverse reactions,exact-meddra,26,26,24,,2,,0.9230769230769231,
79,HORIZANT,adverse reactions,non-meddra,1,26,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,27,17,10.0,23,0.6296296296296297,0.425,0.5074626865671642
81,HORIZANT,warnings and precautions,exact-meddra,17,27,11,,6,,0.6470588235294118,
82,HORIZANT,warnings and precautions,non-meddra,23,27,6,,17,,0.2608695652173913,
83,HORIZANT,warnings and precautions,negated,2,27,1,,1,,0.5,
84,HORIZANT,warnings and precautions,discontinuous,12,27,1,,11,,0.08333333333333333,
85,HORIZANT,all-concat,all,62,38,26,12.0,36,0.6842105263157895,0.41935483870967744,0.5200000000000001
86,HORIZANT,all-concat,exact-meddra,38,38,22,,16,,0.5789473684210527,
87,HORIZANT,all-concat,non-meddra,24,38,4,,20,,0.16666666666666666,
88,HORIZANT,all-concat,negated,2,38,0,,2,,0.0,
89,HORIZANT,all-concat,discontinuous,12,38,1,,11,,0.08333333333333333,
90,IMBRUVICA,adverse reactions,all,70,61,56,5.0,14,0.9180327868852459,0.8,0.8549618320610688
91,IMBRUVICA,adverse reactions,exact-meddra,55,61,49,,6,,0.8909090909090909,
92,IMBRUVICA,adverse reactions,non-meddra,15,61,7,,8,,0.4666666666666667,
93,IMBRUVICA,adverse reactions,discontinuous,2,61,0,,2,,0.0,
94,IMBRUVICA,warnings and precautions,all,32,25,20,5.0,12,0.8,0.625,0.7017543859649122
95,IMBRUVICA,warnings and precautions,exact-meddra,16,25,14,,2,,0.875,
96,IMBRUVICA,warnings and precautions,non-meddra,16,25,6,,10,,0.375,
97,IMBRUVICA,all-concat,all,89,66,60,6.0,29,0.9090909090909091,0.6741573033707865,0.7741935483870969
98,IMBRUVICA,all-concat,exact-meddra,62,66,53,,9,,0.8548387096774194,
99,IMBRUVICA,all-concat,non-meddra,27,66,7,,20,,0.25925925925925924,
100,IMBRUVICA,all-concat,discontinuous,2,66,0,,2,,0.0,
101,ULORIC,adverse reactions,all,210,155,141,14.0,69,0.9096774193548387,0.6714285714285714,0.7726027397260273
102,ULORIC,adverse reactions,exact-meddra,187,155,135,,52,,0.7219251336898396,
103,ULORIC,adverse reactions,non-meddra,23,155,6,,17,,0.2608695652173913,
104,ULORIC,adverse reactions,discontinuous,18,155,0,,18,,0.0,
105,ULORIC,warnings and precautions,all,11,15,6,9.0,5,0.4,0.5454545454545454,0.4615384615384615
106,ULORIC,warnings and precautions,exact-meddra,2,15,1,,1,,0.5,
107,ULORIC,warnings and precautions,non-meddra,9,15,5,,4,,0.5555555555555556,
108,ULORIC,all-concat,all,218,157,143,14.0,75,0.910828025477707,0.6559633027522935,0.7626666666666667
109,ULORIC,all-concat,exact-meddra,188,157,136,,52,,0.723404255319149,
110,ULORIC,all-concat,non-meddra,30,157,7,,23,,0.23333333333333334,
111,ULORIC,all-concat,discontinuous,18,157,0,,18,,0.0,
