,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3743,465.0,1666,0.8894961977186312,0.6919948234424108,0.7784132265779349,0.8661549494654026,0.7168467822110153,0.7932840230547437
1,adverse reactions,discontinuous,27,,370,,0.06801007556675064,,,0.05942869685187508,
2,adverse reactions,exact-meddra,3324,,839,,0.7984626471294739,,,0.8152892633135477,
3,adverse reactions,negated,17,,56,,0.2328767123287671,,,0.18857142857142856,
4,adverse reactions,non-meddra,419,,828,,0.3360064153969527,,,0.4251518591006501,
5,all-concat,all,3973,599.0,3409,0.8689851268591426,0.5382010295312923,0.6647147398360381,0.8495982204389912,0.573940683676761,0.682783601801244
6,all-concat,discontinuous,39,,762,,0.04868913857677903,,,0.04255410089303968,
7,all-concat,exact-meddra,3487,,1340,,0.7223948622332712,,,0.7407878676170241,
8,all-concat,negated,23,,109,,0.17424242424242425,,,0.18401360544217685,
9,all-concat,non-meddra,486,,2070,,0.19014084507042253,,,0.25680624114422723,
10,boxed warnings,all,140,123.0,134,0.532319391634981,0.5109489051094891,0.521415270018622,0.484103250550619,0.43391326166093974,0.6056572947194195
11,boxed warnings,discontinuous,8,,29,,0.21621621621621623,,,0.19322344322344323,
12,boxed warnings,exact-meddra,98,,38,,0.7205882352941176,,,0.5198054068172914,
13,boxed warnings,negated,2,,3,,0.4,,,0.5,
14,boxed warnings,non-meddra,42,,96,,0.30434782608695654,,,0.2567927170868347,
15,warnings and precautions,all,1252,795.0,1475,0.6116267708842208,0.4591125779244591,0.5245077503142019,0.5591106061355404,0.4597162032925922,0.5033679156929932
16,warnings and precautions,discontinuous,31,,368,,0.07769423558897243,,,0.10104238854238853,
17,warnings and precautions,exact-meddra,834,,379,,0.6875515251442704,,,0.6483979628168178,
18,warnings and precautions,negated,12,,46,,0.20689655172413793,,,0.24652777777777776,
19,warnings and precautions,non-meddra,418,,1097,,0.2759075907590759,,,0.2997524620475873,
0,all,all,5135,1383.0,3275,0.7878183491868671,0.6105826397146255,0.6501201856548722,0.6784377212376127,0.5656046638381766,0.6468488122455078
