,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2264,3087.0,3145,0.4230984862642497,0.4185616564984285,0.420817843866171,0.6704772050630269,0.5206022526685974,0.522955486347856
1,adverse reactions,discontinuous,72,,325,,0.181360201511335,,,0.20505145522704785,
2,adverse reactions,exact-meddra,1880,,2283,,0.451597405717031,,,0.5665314337461916,
3,adverse reactions,negated,21,,52,,0.2876712328767123,,,0.2857142857142857,
4,adverse reactions,non-meddra,384,,863,,0.3079390537289495,,,0.37642593726719487,
5,boxed warnings,all,209,68.0,65,0.7545126353790613,0.7627737226277372,0.7586206896551725,0.7834425077846131,0.8350069413730404,0.7685112905790761
6,boxed warnings,discontinuous,16,,21,,0.43243243243243246,,,0.4482600732600733,
7,boxed warnings,exact-meddra,121,,15,,0.8897058823529411,,,0.9180706107701014,
8,boxed warnings,negated,2,,3,,0.4,,,0.375,
9,boxed warnings,non-meddra,88,,50,,0.6376811594202898,,,0.7224439775910365,
10,warnings and precautions,all,1010,2941.0,1717,0.2556314856998228,0.37037037037037035,0.30248577418388733,0.5204916360154117,0.4213034972095564,0.43548693355423235
11,warnings and precautions,discontinuous,77,,322,,0.19298245614035087,,,0.21255941770647652,
12,warnings and precautions,exact-meddra,586,,627,,0.4830997526793075,,,0.5687203917039924,
13,warnings and precautions,negated,23,,35,,0.39655172413793105,,,0.4756944444444444,
14,warnings and precautions,non-meddra,424,,1091,,0.27986798679867986,,,0.30694342632468746,
0,all,all,3483,6096.0,4927,0.3636078922643282,0.4141498216409037,0.3850524326003185,0.6270199224604913,0.5304132649196222,0.5285139872299901
