,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,14,10.0,4.0,118.0,0.7142857142857143,0.078125,0.14084507042253522
1,KYPROLIS,adverse reactions,exact-meddra,104,14,8.0,,96.0,,0.07692307692307693,
2,KYPROLIS,adverse reactions,non-meddra,25,14,2.0,,23.0,,0.08,
3,KYPROLIS,adverse reactions,negated,0,14,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,14,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,59,32.0,27.0,33.0,0.5423728813559322,0.49230769230769234,0.5161290322580645
6,KYPROLIS,warnings and precautions,exact-meddra,44,59,26.0,,18.0,,0.5909090909090909,
7,KYPROLIS,warnings and precautions,non-meddra,22,59,6.0,,16.0,,0.2727272727272727,
8,KYPROLIS,warnings and precautions,negated,0,59,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,59,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,MULTAQ,adverse reactions,all,39,48,9.0,39.0,30.0,0.1875,0.23076923076923078,0.20689655172413793
16,MULTAQ,adverse reactions,exact-meddra,26,48,8.0,,18.0,,0.3076923076923077,
17,MULTAQ,adverse reactions,non-meddra,13,48,1.0,,12.0,,0.07692307692307693,
18,MULTAQ,adverse reactions,negated,0,48,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,48,0.0,,5.0,,0.0,
20,MULTAQ,warnings and precautions,all,24,21,2.0,19.0,22.0,0.09523809523809523,0.08333333333333333,0.08888888888888889
21,MULTAQ,warnings and precautions,exact-meddra,13,21,1.0,,12.0,,0.07692307692307693,
22,MULTAQ,warnings and precautions,non-meddra,11,21,1.0,,10.0,,0.09090909090909091,
23,MULTAQ,warnings and precautions,negated,0,21,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,21,0.0,,3.0,,0.0,
25,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
26,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
27,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
28,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
29,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
30,JUBLIA,adverse reactions,all,5,20,5.0,15.0,0.0,0.25,1.0,0.4
31,JUBLIA,adverse reactions,exact-meddra,3,20,3.0,,0.0,,1.0,
32,JUBLIA,adverse reactions,non-meddra,2,20,2.0,,0.0,,1.0,
33,JUBLIA,adverse reactions,negated,0,20,0.0,,0.0,,,
34,JUBLIA,adverse reactions,discontinuous,0,20,0.0,,0.0,,,
35,JUBLIA,warnings and precautions,all,0,0,,,,,,
36,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
37,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
38,JUBLIA,warnings and precautions,negated,0,0,,,,,,
