,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,1668.0,3505.0,3669.0,0.3224434564082737,0.31253513209668354,0.3174119885823026,0.5377745308635689,0.40430292360429615,0.4461768706544245
1,adverse reactions,discontinuous,12.0,,376.0,,0.030927835051546393,,,0.022434101845866552,
2,adverse reactions,exact-meddra,1518.0,,2645.0,,0.36464088397790057,,,0.46324153957491887,
3,adverse reactions,negated,10.0,,22.0,,0.3125,,,0.2936507936507936,
4,adverse reactions,non-meddra,150.0,,1025.0,,0.1276595744680851,,,0.19777422974463832,
5,boxed warnings,all,100.0,142.0,162.0,0.4132231404958678,0.3816793893129771,0.39682539682539686,0.3871552385749062,0.41865587328048626,0.5281449296599163
6,boxed warnings,discontinuous,0.0,,33.0,,0.0,,,0.0,
7,boxed warnings,exact-meddra,81.0,,55.0,,0.5955882352941176,,,0.47993121762221935,
8,boxed warnings,negated,1.0,,2.0,,0.3333333333333333,,,0.3333333333333333,
9,boxed warnings,non-meddra,19.0,,107.0,,0.15079365079365079,,,0.21843434343434343,
10,warnings and precautions,all,469.0,3565.0,1983.0,0.11626177491323748,0.19127243066884175,0.14461917977181624,0.26986600939292277,0.2309264085290937,0.2774387543896787
11,warnings and precautions,discontinuous,9.0,,341.0,,0.025714285714285714,,,0.03128787878787879,
12,warnings and precautions,exact-meddra,369.0,,844.0,,0.30420445177246497,,,0.34718418539883666,
13,warnings and precautions,negated,6.0,,21.0,,0.2222222222222222,,,0.2549019607843137,
14,warnings and precautions,non-meddra,100.0,,1140.0,,0.08064516129032258,,,0.09704881726467876,
0,all,all,2237.0,7212.0,5814.0,0.23674462906127633,0.2778536827723264,0.239514985669851,0.40173107791782076,0.3353533054915867,0.3904760223557443
